feature,H_statistic,p_value,significant,n_groups
s2__visibility__clear__freq__crossbattle,73.49374303346147,4.148751629047384e-15,True,5
s2__visibility__fire__freq__crossbattle,57.530495006639484,9.574613171682615e-12,True,5
s2__composite__b03__winter_baseline,42.97610182654515,1.046670243184063e-08,True,5
s2__composite__b03__prebattle_baseline,42.97610182654515,1.046670243184063e-08,True,5
s2__composite__b8a__prebattle_baseline,41.63157449403726,1.988791942396368e-08,True,5
s2__composite__b8a__winter_baseline,41.63157449403726,1.988791942396368e-08,True,5
s2__composite__b02__winter_baseline,41.068631707352004,2.60130343155006e-08,True,5
s2__composite__b02__prebattle_baseline,41.068631707352004,2.60130343155006e-08,True,5
s2__composite__b04__prebattle_baseline,39.52225736898284,5.433777066617452e-08,True,5
s2__composite__b04__winter_baseline,39.52225736898284,5.433777066617452e-08,True,5
s2__composite__b08__winter_baseline,38.55586233761909,8.604477740763328e-08,True,5
s2__composite__b08__prebattle_baseline,38.55586233761909,8.604477740763328e-08,True,5
s2__composite__b07__prebattle_baseline,38.04907122959487,1.094741583457235e-07,True,5
s2__composite__b07__winter_baseline,38.04907122959487,1.094741583457235e-07,True,5
s2__composite__b05__prebattle_baseline,35.75355901936371,3.2519301443453647e-07,True,5
s2__composite__b05__winter_baseline,35.75355901936371,3.2519301443453647e-07,True,5
s2__composite__ndvi__winter_baseline,32.58711382699195,1.4510503069750062e-06,True,5
s2__composite__ndvi__prebattle_baseline,32.58711382699195,1.4510503069750062e-06,True,5
s2__visibility__fire__freq__postbattle,31.34117647095843,2.6079599978433538e-06,True,5
s2__visibility__clear__freq__postbattle,31.190928218842334,2.7987583157024663e-06,True,5
s2__composite__ndre__winter_baseline,30.054043497164095,4.771997433397288e-06,True,5
s2__composite__ndre__prebattle_baseline,30.054043497164095,4.771997433397288e-06,True,5
s2__visibility__cloud__freq__postbattle,28.320925026492585,1.0737463985903244e-05,True,5
s2__visibility__cloud__freq__crossbattle,27.070960366934198,1.923291134852465e-05,True,5
s2__composite__mndwi__prebattle_baseline,25.05868957735196,4.8961133218593194e-05,True,5
s2__composite__mndwi__winter_baseline,25.05868957735196,4.8961133218593194e-05,True,5
s2__composite__ndbi__winter_baseline,22.873910426402045,0.00013418610025668737,True,5
s2__composite__ndbi__prebattle_baseline,22.873910426402045,0.00013418610025668737,True,5
s2__composite__ndwi__prebattle_baseline,22.826460923241463,0.00013714557773420743,True,5
s2__composite__ndwi__winter_baseline,22.826460923241463,0.00013714557773420743,True,5
s2__composite__cire__winter_baseline,21.561302669350653,0.00024501457328025074,True,5
s2__composite__cire__prebattle_baseline,21.561302669350653,0.00024501457328025074,True,5
s2__composite__b11__prebattle_baseline,20.56637909366899,0.000385921884982871,True,5
s2__composite__b11__winter_baseline,20.56637909366899,0.000385921884982871,True,5
s2__composite__b12__winter_baseline,20.27580452694022,0.00044052280051539073,True,5
s2__composite__b12__prebattle_baseline,20.27580452694022,0.00044052280051539073,True,5
s2__obs_count__prebattle_baseline,9.458641322091728,0.050604048519149125,False,5
s2__obs_count__winter_baseline,9.458641322091728,0.050604048519149125,False,5
s2__qa__cloud_freq__postbattle,9.071548690429974,0.059335773661851755,False,5
s2__visibility__fire__freq__prebattle,7.157241138666679,0.12780842673640627,False,5
s2__visibility__clear__freq__prebattle,6.323944572245554,0.17622684585381398,False,5
s2__qa__cloud_freq__crossbattle,6.065696830251989,0.19429542167068972,False,5
s2__visibility__smoke__freq__postbattle,5.74913789915222,0.21868246523245483,False,5
s2__visibility__smoke__freq__prebattle,4.710237532082286,0.31834117418352187,False,5
s2__visibility__cloud__freq__prebattle,3.715956882350363,0.44580934094914915,False,5
s2__qa__cloud_freq__prebattle,3.3082810901971196,0.5076212630499555,False,5
