feature,H_statistic,p_value,significant,n_groups
s2__visibility__clear__freq__crossbattle,15.984630200307205,0.0003380505558472777,True,3
s2__visibility__fire__freq__crossbattle,15.984630200307205,0.0003380505558472777,True,3
s2__composite__b12__delta,6.725091779735008,0.034646939274726576,True,3
s2__composite__b05__delta,4.49547426925701,0.10563799887247921,False,3
s2__composite__b11__delta,4.258264331129322,0.11894046971152356,False,3
s2__composite__b03__delta,3.509475220277023,0.17295261735178924,False,3
s2__visibility__fire__freq__prebattle,2.955349648841865,0.2281676018098513,False,3
s2__composite__b02__delta,2.4965839104907013,0.28699457804066253,False,3
s2__composite__b05__post_winter_baseline,2.378905437588615,0.30438780421488953,False,3
s2__composite__b02__winter_baseline,2.2780495107190712,0.32013107574297556,False,3
s2__composite__b02__prebattle_baseline,2.2780495107190712,0.32013107574297556,False,3
s2__visibility__clear__freq__prebattle,2.185876541971657,0.33523004846972837,False,3
s2__visibility__cloud__freq__postbattle,2.1391608391603785,0.34315246727360227,False,3
s2__composite__ndre__post_winter_baseline,1.9898454706043935,0.36975201221789455,False,3
s2__composite__ndwi__delta,1.856897347248946,0.39516626696381274,False,3
s2__composite__b03__winter_baseline,1.8403748255903583,0.3984443605153581,False,3
s2__composite__b03__prebattle_baseline,1.8403748255903583,0.3984443605153581,False,3
s2__composite__cire__post_winter_baseline,1.7547853950585477,0.4158657872706718,False,3
s2__composite__b08__delta,1.7375825842367725,0.41945824544938615,False,3
s2__composite__b04__winter_baseline,1.670641782665979,0.43373527720820293,False,3
s2__composite__b04__prebattle_baseline,1.670641782665979,0.43373527720820293,False,3
s2__composite__b04__delta,1.6417450678291776,0.4400475305553414,False,3
s2__visibility__cloud__freq__prebattle,1.2711864406745104,0.5296212130349262,False,3
s2__composite__b12__winter_baseline,1.1506156311012887,0.5625316861534381,False,3
s2__composite__b12__prebattle_baseline,1.1506156311012887,0.5625316861534381,False,3
s2__composite__ndre__prebattle_baseline,1.1257906036959753,0.5695576330396335,False,3
s2__composite__ndre__winter_baseline,1.1257906036959753,0.5695576330396335,False,3
s2__composite__ndwi__prebattle_baseline,1.1150710593058193,0.572618527726247,False,3
s2__composite__ndwi__winter_baseline,1.1150710593058193,0.572618527726247,False,3
s2__composite__cire__delta,1.065930322312795,0.5868622460908082,False,3
s2__composite__b11__winter_baseline,1.033600342783135,0.5964259586959899,False,3
s2__composite__b11__prebattle_baseline,1.033600342783135,0.5964259586959899,False,3
s2__composite__ndre__delta,0.9232178092587446,0.6302687869514565,False,3
s2__composite__ndbi__delta,0.8713437592566606,0.6468299291962043,False,3
s2__composite__mndwi__delta,0.8219610335978018,0.6629998488342759,False,3
s2__qa__cloud_freq__prebattle,0.7388790117608255,0.6911215916865061,False,3
s2__composite__ndvi__delta,0.7162772837247076,0.6989761609318146,False,3
s2__visibility__fire__freq__postbattle,0.7015355642475252,0.7041472504505282,False,3
s2__composite__ndvi__winter_baseline,0.6666264505374215,0.7165457187765465,False,3
s2__composite__ndvi__prebattle_baseline,0.6666264505374215,0.7165457187765465,False,3
s2__composite__b08__winter_baseline,0.6357252690158048,0.7277027427946616,False,3
s2__composite__b08__prebattle_baseline,0.6357252690158048,0.7277027427946616,False,3
s2__composite__ndbi__post_winter_baseline,0.6269694552011629,0.7308955414470075,False,3
s2__composite__b12__post_winter_baseline,0.6083589873318829,0.7377284369841981,False,3
s2__visibility__clear__freq__postbattle,0.5542609567744414,0.7579555938348103,False,3
s2__qa__cloud_freq__postbattle,0.5324557792501429,0.7662644838761038,False,3
s2__composite__mndwi__prebattle_baseline,0.4993339257644607,0.7790601958341574,False,3
s2__composite__mndwi__winter_baseline,0.4993339257644607,0.7790601958341574,False,3
s2__composite__b02__post_winter_baseline,0.48578596084634906,0.784355450668442,False,3
s2__composite__b11__post_winter_baseline,0.47126427834751894,0.7900712567478049,False,3
s2__composite__b8a__post_winter_baseline,0.41967001152426064,0.8107179987339943,False,3
s2__composite__cire__prebattle_baseline,0.4038147376978145,0.8171706198916261,False,3
s2__composite__cire__winter_baseline,0.4038147376978145,0.8171706198916261,False,3
s2__composite__b07__delta,0.29127317767894295,0.8644718048089978,False,3
s2__composite__b03__post_winter_baseline,0.28881242924391004,0.8655360832255061,False,3
s2__composite__b04__post_winter_baseline,0.28693384327278204,0.8663494571356352,False,3
s2__composite__ndbi__prebattle_baseline,0.2814462239000477,0.8687298193049136,False,3
s2__composite__ndbi__winter_baseline,0.2814462239000477,0.8687298193049136,False,3
s2__composite__b07__post_winter_baseline,0.25502846480327435,0.8802808872339246,False,3
s2__composite__mndwi__post_winter_baseline,0.23922119087308147,0.8872658748358653,False,3
s2__composite__b05__winter_baseline,0.2152966588180334,0.8979433211700535,False,3
s2__composite__b05__prebattle_baseline,0.2152966588180334,0.8979433211700535,False,3
s2__composite__b8a__prebattle_baseline,0.1965458236846871,0.9064015022921686,False,3
s2__composite__b8a__winter_baseline,0.1965458236846871,0.9064015022921686,False,3
s2__composite__b8a__delta,0.16807970979597728,0.9193946129864139,False,3
s2__composite__ndwi__post_winter_baseline,0.07566911206674831,0.962872229115137,False,3
s2__composite__ndvi__post_winter_baseline,0.05269350768969616,0.9739972937396499,False,3
s2__composite__b08__post_winter_baseline,0.01927713324627359,0.990407735478762,False,3
s2__composite__b07__prebattle_baseline,0.009796241086643025,0.9951138556874541,False,3
s2__composite__b07__winter_baseline,0.009796241086643025,0.9951138556874541,False,3
