feature,H_statistic,p_value,significant,n_groups
s2__composite__ndre__post_winter_baseline,36.6951042357274,2.0815429862877076e-07,True,5
s2__composite__ndvi__post_winter_baseline,33.405252302025815,9.86686820497471e-07,True,5
s2__visibility__fire__freq__crossbattle,32.65608214070572,1.4046603756367742e-06,True,5
s2__composite__b12__delta,31.789087661141707,2.1126803448171636e-06,True,5
s2__composite__ndwi__post_winter_baseline,28.28308796446754,1.092887969617672e-05,True,5
s2__composite__mndwi__post_winter_baseline,27.28471431047558,1.7410472729538356e-05,True,5
s2__composite__b11__delta,27.061590489602366,1.931699967654538e-05,True,5
s2__composite__ndre__prebattle_baseline,25.837389578593843,3.41256279240531e-05,True,5
s2__composite__ndre__winter_baseline,25.837389578593843,3.41256279240531e-05,True,5
s2__composite__ndvi__prebattle_baseline,24.453816509587227,6.477084388015841e-05,True,5
s2__composite__ndvi__winter_baseline,24.453816509587227,6.477084388015841e-05,True,5
s2__composite__b11__post_winter_baseline,23.171995629692994,0.00011699107555779749,True,5
s2__composite__cire__prebattle_baseline,21.480640212328012,0.0002542249568921976,True,5
s2__composite__cire__winter_baseline,21.480640212328012,0.0002542249568921976,True,5
s2__composite__cire__post_winter_baseline,21.311498559202732,0.0002746673796464879,True,5
s2__composite__ndwi__winter_baseline,20.329339486512822,0.00042991826959683883,True,5
s2__composite__ndwi__prebattle_baseline,20.329339486512822,0.00042991826959683883,True,5
s2__composite__ndbi__post_winter_baseline,19.307639562344207,0.0006837615662797159,True,5
s2__composite__b12__post_winter_baseline,18.080309091633122,0.0011902855547599354,True,5
s2__visibility__fire__freq__prebattle,14.62582617316304,0.005543645361034574,True,5
s2__composite__b03__post_winter_baseline,12.623837283276037,0.013267830484585418,True,5
s2__composite__b02__post_winter_baseline,12.563431534239756,0.013618184954641224,True,5
s2__composite__mndwi__winter_baseline,11.045091127721776,0.026061898985097205,True,5
s2__composite__mndwi__prebattle_baseline,11.045091127721776,0.026061898985097205,True,5
s2__composite__b04__post_winter_baseline,10.897669215334659,0.0277384657410669,True,5
s2__visibility__clear__freq__prebattle,10.84343906713948,0.02838104995567095,True,5
s2__visibility__fire__freq__postbattle,9.588235294117705,0.04796544405124319,True,5
s2__composite__ndre__delta,9.33617378398867,0.05322456505737166,False,5
s2__composite__b03__prebattle_baseline,8.995574327174106,0.06121019696915551,False,5
s2__composite__b03__winter_baseline,8.995574327174106,0.06121019696915551,False,5
s2__composite__b11__winter_baseline,8.961065313085111,0.062080064743261124,False,5
s2__composite__b11__prebattle_baseline,8.961065313085111,0.062080064743261124,False,5
s2__composite__ndbi__prebattle_baseline,8.457497670891598,0.07618605682035097,False,5
s2__composite__ndbi__winter_baseline,8.457497670891598,0.07618605682035097,False,5
s2__composite__b02__winter_baseline,8.355758694912163,0.07938198962395536,False,5
s2__composite__b02__prebattle_baseline,8.355758694912163,0.07938198962395536,False,5
s2__composite__b08__post_winter_baseline,8.03016757654959,0.09047934743400735,False,5
s2__composite__b04__prebattle_baseline,7.86204212625279,0.09676450998417865,False,5
