feature,H_statistic,p_value,significant,n_groups
s2__composite__b07__prebattle_baseline,202.4359809396682,1.1248966110992246e-42,True,5
s2__composite__b07__winter_baseline,202.4359809396682,1.1248966110992246e-42,True,5
s2__composite__b8a__winter_baseline,183.21835838797685,1.5180742698394455e-38,True,5
s2__composite__b8a__prebattle_baseline,183.21835838797685,1.5180742698394455e-38,True,5
s2__composite__b05__prebattle_baseline,145.7840116966463,1.62930181441351e-30,True,5
s2__composite__b05__winter_baseline,145.7840116966463,1.62930181441351e-30,True,5
s2__composite__b07__delta,105.58397929993589,6.3598637916716e-22,True,5
s2__composite__b08__prebattle_baseline,87.47433647747741,4.5274917812929956e-18,True,5
s2__composite__b08__winter_baseline,87.47433647747741,4.5274917812929956e-18,True,5
s2__composite__b8a__delta,86.36426659417566,7.78904967982181e-18,True,5
s2__qa__cloud_freq__postbattle,74.60084621353793,2.420112995518177e-15,True,5
s2__composite__b12__post_winter_baseline,60.07573141186051,2.796485201508904e-12,True,5
s2__composite__ndbi__winter_baseline,58.42674118137413,6.208597881253188e-12,True,5
s2__composite__ndbi__prebattle_baseline,58.42674118137413,6.208597881253188e-12,True,5
s2__composite__b05__delta,57.61776415607329,9.179249461681393e-12,True,5
s2__qa__cloud_freq__crossbattle,50.010087166832186,3.5933964791689764e-10,True,5
s2__composite__b07__post_winter_baseline,48.14132439107533,8.818811056543534e-10,True,5
s2__composite__b08__delta,47.69419438070547,1.0929818234007175e-09,True,5
s2__composite__b04__prebattle_baseline,44.36897132776803,5.377714698266976e-09,True,5
s2__composite__b04__winter_baseline,44.36897132776803,5.377714698266976e-09,True,5
s2__composite__b8a__post_winter_baseline,41.63895141386976,1.981804887906831e-08,True,5
s2__composite__b03__prebattle_baseline,41.10490139141836,2.5567056637872396e-08,True,5
s2__composite__b03__winter_baseline,41.10490139141836,2.5567056637872396e-08,True,5
s2__composite__b12__delta,39.279230528895525,6.099932952075646e-08,True,5
s2__composite__b05__post_winter_baseline,35.34277915333128,3.949932370574754e-07,True,5
s2__composite__b11__post_winter_baseline,33.503279679418455,9.420929042919917e-07,True,5
s2__composite__b04__delta,31.997227445833346,1.9155956718631647e-06,True,5
s2__composite__b08__post_winter_baseline,29.764605664979037,5.465268140201408e-06,True,5
s2__composite__mndwi__winter_baseline,28.31097126580012,1.0787493776177568e-05,True,5
s2__composite__mndwi__prebattle_baseline,28.31097126580012,1.0787493776177568e-05,True,5
s2__visibility__clear__freq__postbattle,27.666150866645204,1.4574809159704369e-05,True,5
s2__composite__ndvi__post_winter_baseline,22.39788597534914,0.00016698715243340556,True,5
s2__composite__ndwi__post_winter_baseline,18.861715595831324,0.0008366629230520586,True,5
s2__visibility__smoke__freq__prebattle,18.122464461407265,0.0011679063408828662,True,5
s2__composite__b02__prebattle_baseline,16.593716941556018,0.0023176954522807513,True,5
s2__composite__b02__winter_baseline,16.593716941556018,0.0023176954522807513,True,5
s2__composite__ndbi__delta,16.148570612767816,0.0028261478355102463,True,5
s2__composite__ndre__delta,15.080206764378426,0.004537721483375433,True,5
s2__composite__ndbi__post_winter_baseline,12.118967586041407,0.016488174346177387,True,5
s2__composite__mndwi__post_winter_baseline,11.904068831121739,0.0180790751749325,True,5
s2__qa__cloud_freq__prebattle,11.150584033740797,0.024922780192453173,True,5
s2__composite__b02__post_winter_baseline,11.080271735339062,0.025676530163249323,True,5
s2__composite__b03__delta,10.96492987725206,0.02696099441391368,True,5
s2__composite__b11__winter_baseline,9.881700942373298,0.042468265711951766,True,5
s2__composite__b11__prebattle_baseline,9.881700942373298,0.042468265711951766,True,5
s2__visibility__clear__freq__prebattle,9.237191660698876,0.05543666672515769,False,5
s2__composite__ndre__post_winter_baseline,8.889786152221426,0.06391412094250443,False,5
s2__composite__b11__delta,8.808107127057863,0.06607900339683485,False,5
s2__composite__cire__post_winter_baseline,8.365434558553089,0.07907268476018073,False,5
s2__composite__b12__winter_baseline,7.218847911310085,0.12476528062854482,False,5
s2__composite__b12__prebattle_baseline,7.218847911310085,0.12476528062854482,False,5
s2__composite__ndvi__delta,7.094386987644516,0.13098358542747254,False,5
s2__composite__ndvi__prebattle_baseline,6.869333825252235,0.1429565696001969,False,5
s2__composite__ndvi__winter_baseline,6.869333825252235,0.1429565696001969,False,5
s2__composite__cire__delta,6.456272727840794,0.16756649124156425,False,5
s2__composite__ndre__winter_baseline,6.308942311049754,0.1772337113310414,False,5
s2__composite__ndre__prebattle_baseline,6.308942311049754,0.1772337113310414,False,5
s2__composite__ndwi__delta,6.133790846993459,0.1893770059445431,False,5
s2__composite__ndwi__winter_baseline,6.010554984424949,0.19836140632063828,False,5
s2__composite__ndwi__prebattle_baseline,6.010554984424949,0.19836140632063828,False,5
s2__visibility__cloud__freq__postbattle,5.965750317176887,0.20172070265863698,False,5
s2__composite__b03__post_winter_baseline,5.755105597370452,0.21819883035425192,False,5
s2__composite__cire__prebattle_baseline,5.5703981756236365,0.2336103778824964,False,5
s2__composite__cire__winter_baseline,5.5703981756236365,0.2336103778824964,False,5
s2__visibility__fire__freq__postbattle,5.069944737810786,0.2801957295205127,False,5
s2__composite__mndwi__delta,4.977303416398912,0.2896342448532948,False,5
s2__composite__b04__post_winter_baseline,4.439590561028838,0.34977069356297735,False,5
s2__visibility__cloud__freq__prebattle,3.0740397630568115,0.5455123881163412,False,5
s2__composite__b02__delta,1.3812462959313159,0.8474478628451045,False,5
s2__obs_count__prebattle_baseline,1.263529411755371,0.8675322127043918,False,5
s2__visibility__fire__freq__prebattle,1.263529411755371,0.8675322127043918,False,5
s2__obs_count__winter_baseline,1.263529411755371,0.8675322127043918,False,5
s2__obs_count__delta,1.263529411755371,0.8675322127043918,False,5
