feature,H_statistic,p_value,significant,n_groups
s2__composite__ndre__post_winter_baseline,64.16243939099206,3.8626452781689496e-13,True,5
s2__composite__cire__post_winter_baseline,63.88930998758383,4.4095835295453206e-13,True,5
s2__composite__ndre__winter_baseline,47.318512358038674,1.3088671500798512e-09,True,5
s2__composite__ndre__prebattle_baseline,47.318512358038674,1.3088671500798512e-09,True,5
s2__composite__ndvi__post_winter_baseline,46.80061771498913,1.677916373449934e-09,True,5
s2__composite__cire__prebattle_baseline,44.31935644576083,5.506891858648479e-09,True,5
s2__composite__cire__winter_baseline,44.31935644576083,5.506891858648479e-09,True,5
s2__composite__ndwi__post_winter_baseline,39.03641313199421,6.846837008978211e-08,True,5
s2__composite__ndvi__winter_baseline,37.984874375192135,1.128639048237819e-07,True,5
s2__composite__ndvi__prebattle_baseline,37.984874375192135,1.128639048237819e-07,True,5
s2__composite__ndwi__winter_baseline,37.29484978946414,1.5661447673726434e-07,True,5
s2__composite__ndwi__prebattle_baseline,37.29484978946414,1.5661447673726434e-07,True,5
s2__visibility__fire__freq__postbattle,31.983389607499184,1.928110365255852e-06,True,5
s2__composite__b04__post_winter_baseline,29.620059762844313,5.84814909869144e-06,True,5
s2__composite__b05__post_winter_baseline,28.482105515663132,9.958738695737913e-06,True,5
s2__visibility__fire__freq__crossbattle,27.666666666666533,1.4571304145163412e-05,True,5
s2__visibility__clear__freq__crossbattle,27.666666666666533,1.4571304145163412e-05,True,5
s2__composite__ndbi__winter_baseline,27.033633718734677,1.9570071978414413e-05,True,5
s2__composite__ndbi__prebattle_baseline,27.033633718734677,1.9570071978414413e-05,True,5
s2__composite__b02__post_winter_baseline,23.349796150844238,0.00010779550829669408,True,5
s2__composite__b03__post_winter_baseline,23.261817522263605,0.00011225226259752946,True,5
s2__composite__mndwi__post_winter_baseline,22.650728258692766,0.00014868138966557995,True,5
s2__visibility__clear__freq__postbattle,20.129031871199977,0.0004709433673253831,True,5
s2__composite__ndbi__post_winter_baseline,19.51859258852471,0.0006214058531038024,True,5
s2__composite__b8a__delta,16.182045690166206,0.002784365055044893,True,5
s2__composite__ndre__delta,15.466842578027467,0.003824742647355068,True,5
s2__composite__b8a__winter_baseline,15.3400180736179,0.004045544189266863,True,5
s2__composite__b8a__prebattle_baseline,15.3400180736179,0.004045544189266863,True,5
s2__composite__b08__prebattle_baseline,14.895024050794362,0.0049239704975146716,True,5
s2__composite__b08__winter_baseline,14.895024050794362,0.0049239704975146716,True,5
s2__composite__b08__delta,14.269756303885234,0.006482056942220296,True,5
s2__composite__ndbi__delta,13.851249497925778,0.007785255928812083,True,5
s2__composite__b02__winter_baseline,13.827529287780676,0.007866350551326153,True,5
s2__composite__b02__prebattle_baseline,13.827529287780676,0.007866350551326153,True,5
s2__composite__b04__prebattle_baseline,13.740296406772032,0.008171757232500684,True,5
s2__composite__b04__winter_baseline,13.740296406772032,0.008171757232500684,True,5
s2__composite__b07__delta,13.25204353783885,0.010107723413869315,True,5
s2__visibility__fire__freq__prebattle,13.169398366218024,0.01047706988256953,True,5
s2__composite__b05__delta,12.942307277602838,0.011561158374762182,True,5
s2__visibility__smoke__freq__prebattle,11.900000000003525,0.01811059160291174,True,5
s2__qa__cloud_freq__postbattle,11.900000000003525,0.01811059160291174,True,5
s2__composite__mndwi__winter_baseline,11.020748273582512,0.02633181931685078,True,5
s2__composite__mndwi__prebattle_baseline,11.020748273582512,0.02633181931685078,True,5
s2__composite__ndvi__delta,10.32775753908993,0.03525413259781626,True,5
s2__composite__ndwi__delta,10.109769136279056,0.038618677163087076,True,5
s2__composite__b07__winter_baseline,9.473872066832087,0.05028689574984245,False,5
s2__composite__b07__prebattle_baseline,9.473872066832087,0.05028689574984245,False,5
s2__composite__b08__post_winter_baseline,9.115884312024,0.058267300165374916,False,5
s2__composite__b05__prebattle_baseline,8.759902373090092,0.06738910739022481,False,5
s2__composite__b05__winter_baseline,8.759902373090092,0.06738910739022481,False,5
s2__composite__b03__winter_baseline,8.52216215116273,0.07421829897703411,False,5
s2__composite__b03__prebattle_baseline,8.52216215116273,0.07421829897703411,False,5
s2__qa__cloud_freq__prebattle,7.896551724132694,0.09544198940442909,False,5
s2__visibility__cloud__freq__prebattle,7.896551724132694,0.09544198940442909,False,5
s2__composite__b12__post_winter_baseline,7.173507601480886,0.12699834046300656,False,5
s2__composite__b8a__post_winter_baseline,6.972333770343995,0.1373575019880178,False,5
s2__composite__cire__delta,6.429353745518824,0.1692964522425442,False,5
s2__composite__b12__winter_baseline,6.336615330011759,0.17538047060342307,False,5
s2__composite__b12__prebattle_baseline,6.336615330011759,0.17538047060342307,False,5
s2__composite__b04__delta,5.624261583820171,0.22902078940232404,False,5
s2__composite__b02__delta,4.686622101976326,0.32098868605300734,False,5
s2__visibility__clear__freq__prebattle,4.681214104538558,0.32159750183960734,False,5
s2__composite__b07__post_winter_baseline,4.214256763592061,0.3777852252316949,False,5
s2__composite__mndwi__delta,3.9473954958991726,0.4131719054915963,False,5
s2__composite__b12__delta,3.1987967129147137,0.52512532028575,False,5
s2__composite__b11__prebattle_baseline,2.8321655533532066,0.5862932222296955,False,5
s2__composite__b11__winter_baseline,2.8321655533532066,0.5862932222296955,False,5
s2__composite__b03__delta,2.3180920653393096,0.6774770779585344,False,5
s2__composite__b11__post_winter_baseline,1.7783575376450926,0.7764395039708811,False,5
s2__composite__b11__delta,1.3478123069437515,0.8532128391879715,False,5
