feature,H_statistic,p_value,significant,n_groups
s2__composite__ndvi__delta,469.21189130710513,3.0487276313530424e-100,True,5
s2__composite__ndwi__delta,465.45523410900273,1.9787464923984524e-99,True,5
s2__composite__ndvi__post_winter_baseline,457.72011095010345,9.306883685978216e-98,True,5
s2__composite__b04__post_winter_baseline,444.10436340551684,8.172769818017113e-95,True,5
s2__composite__mndwi__post_winter_baseline,443.56169040560127,1.0707315109048731e-94,True,5
s2__composite__b12__delta,407.0178140747739,8.470652843297295e-87,True,5
s2__composite__ndwi__post_winter_baseline,406.0364060257893,1.3803322139065806e-86,True,5
s2__composite__b03__post_winter_baseline,355.41965518060044,1.1850889082311182e-75,True,5
s2__composite__b02__post_winter_baseline,348.0246598661511,4.682458894150408e-74,True,5
s2__obs_count__post_winter_baseline,346.8397705300703,8.439112444841488e-74,True,5
s2__obs_count__delta,346.8397705300703,8.439112444841488e-74,True,5
s2__qa__cloud_freq__postbattle,345.89222228413774,1.3516771999254757e-73,True,5
s2__composite__b11__delta,337.51567298845805,8.694260815769043e-72,True,5
s2__visibility__cloud__freq__postbattle,335.8900044967705,1.9505523437421872e-71,True,5
s2__visibility__clear__freq__postbattle,328.6923008345077,6.97859250830604e-70,True,5
s2__composite__b08__post_winter_baseline,222.99542232772347,4.249159008854045e-47,True,5
s2__composite__ndre__post_winter_baseline,215.89693421291045,1.43152036225163e-45,True,5
s2__composite__b12__winter_baseline,207.63141121251914,8.586937118504258e-44,True,5
s2__composite__b12__prebattle_baseline,207.63141121251914,8.586937118504258e-44,True,5
s2__composite__b08__delta,207.50359575178598,9.14804264654268e-44,True,5
s2__composite__b05__post_winter_baseline,195.06875356155072,4.3146556663246213e-41,True,5
s2__composite__ndre__delta,181.99778440116032,2.7762965654478194e-38,True,5
s2__composite__b11__post_winter_baseline,168.6915193457053,1.996567284768542e-35,True,5
s2__composite__cire__post_winter_baseline,167.5249143124737,3.5532895957590337e-35,True,5
s2__composite__cire__delta,151.75894877909747,8.546206618397106e-32,True,5
s2__composite__b12__post_winter_baseline,133.48370827347676,7.002258119129505e-28,True,5
s2__composite__b8a__post_winter_baseline,117.4405862542512,1.8802805336724702e-24,True,5
s2__composite__ndbi__post_winter_baseline,106.01136677156356,5.156602585587485e-22,True,5
s2__composite__mndwi__delta,105.1120226959992,8.017196083258583e-22,True,5
s2__qa__cloud_freq__crossbattle,92.7919475378236,3.359124187394432e-19,True,5
s2__composite__b02__delta,87.14396205792869,5.320972452574347e-18,True,5
s2__composite__b07__post_winter_baseline,86.38591706680029,7.707073994416954e-18,True,5
s2__visibility__clear__freq__crossbattle,83.03052217731562,3.969136592921508e-17,True,5
s2__composite__b8a__delta,78.16643573213412,4.2592852370382636e-16,True,5
s2__visibility__cloud__freq__crossbattle,77.50235609705855,5.887449704097726e-16,True,5
s2__composite__b03__delta,73.52159169404766,4.092892633377853e-15,True,5
s2__composite__ndbi__delta,72.72886721222488,6.0198483481026054e-15,True,5
s2__composite__b07__delta,65.5319336708385,1.9879277616366154e-13,True,5
s2__composite__b04__delta,64.39945442165676,3.4432667501651903e-13,True,5
s2__composite__b05__delta,60.910799328682366,1.8667372305461367e-12,True,5
s2__composite__b04__winter_baseline,57.693713914262176,8.848462353204497e-12,True,5
s2__composite__b04__prebattle_baseline,57.693713914262176,8.848462353204497e-12,True,5
s2__composite__b11__winter_baseline,43.09291327366466,9.89853850113116e-09,True,5
s2__composite__b11__prebattle_baseline,43.09291327366466,9.89853850113116e-09,True,5
s2__composite__ndvi__prebattle_baseline,41.67188241564285,1.9509117503900903e-08,True,5
s2__composite__ndvi__winter_baseline,41.67188241564285,1.9509117503900903e-08,True,5
s2__composite__ndre__winter_baseline,38.79330845594725,7.685976194978721e-08,True,5
s2__composite__ndre__prebattle_baseline,38.79330845594725,7.685976194978721e-08,True,5
s2__composite__b03__prebattle_baseline,37.85720521897306,1.199193273111451e-07,True,5
s2__composite__b03__winter_baseline,37.85720521897306,1.199193273111451e-07,True,5
s2__composite__b08__winter_baseline,31.722123232083057,2.1802855600360063e-06,True,5
s2__composite__b08__prebattle_baseline,31.722123232083057,2.1802855600360063e-06,True,5
s2__composite__cire__prebattle_baseline,28.761619153002655,8.739225606958976e-06,True,5
s2__composite__cire__winter_baseline,28.761619153002655,8.739225606958976e-06,True,5
s2__composite__mndwi__winter_baseline,26.191271875932102,2.8954912001587525e-05,True,5
s2__composite__mndwi__prebattle_baseline,26.191271875932102,2.8954912001587525e-05,True,5
s2__composite__b8a__prebattle_baseline,24.073003545995242,7.722799621267257e-05,True,5
s2__composite__b8a__winter_baseline,24.073003545995242,7.722799621267257e-05,True,5
s2__composite__ndbi__winter_baseline,23.017368254595137,0.00012561850348770775,True,5
s2__composite__ndbi__prebattle_baseline,23.017368254595137,0.00012561850348770775,True,5
s2__composite__b02__prebattle_baseline,18.991807371969944,0.000788862415947024,True,5
s2__composite__b02__winter_baseline,18.991807371969944,0.000788862415947024,True,5
s2__composite__b07__winter_baseline,18.06568928637399,0.0011981453398047714,True,5
s2__composite__b07__prebattle_baseline,18.06568928637399,0.0011981453398047714,True,5
s2__composite__ndwi__winter_baseline,16.397084342647414,0.0025300982083574647,True,5
s2__composite__ndwi__prebattle_baseline,16.397084342647414,0.0025300982083574647,True,5
s2__visibility__fire__freq__crossbattle,13.340816106180942,0.009725166800121794,True,5
s2__composite__b05__prebattle_baseline,12.20650324742133,0.01587993415898306,True,5
s2__composite__b05__winter_baseline,12.20650324742133,0.01587993415898306,True,5
s2__visibility__clear__freq__prebattle,10.320556571882133,0.03536062616345698,True,5
s2__visibility__cloud__freq__prebattle,7.891345369811208,0.09564042470541058,False,5
s2__visibility__smoke__freq__prebattle,3.4834665431080456,0.4803967421719433,False,5
s2__visibility__fire__freq__prebattle,1.9148854889228095,0.7514099940761582,False,5
s2__qa__cloud_freq__prebattle,1.160691145037529,0.8845271835540206,False,5
s2__visibility__fire__freq__postbattle,1.160691145037529,0.8845271835540206,False,5
