feature,H_statistic,p_value,significant,n_groups
s2__composite__ndvi__post_winter_baseline,802.2669545678145,2.4792169829004567e-172,True,5
s2__composite__ndwi__post_winter_baseline,751.213861561159,2.830550486891829e-161,True,5
s2__composite__mndwi__prebattle_baseline,680.0172968144808,7.394104612795568e-146,True,5
s2__composite__mndwi__post_winter_baseline,666.601075305343,5.936804627867763e-143,True,5
s2__composite__mndwi__winter_baseline,663.6946849467591,2.5279904172505967e-142,True,5
s2__composite__ndre__post_winter_baseline,658.4765099538674,3.4077679401178464e-141,True,5
s2__composite__cire__post_winter_baseline,656.4999987619136,9.12772121128678e-141,True,5
s2__composite__ndvi__prebattle_baseline,625.0048957528325,6.000013702926991e-134,True,5
s2__composite__ndwi__prebattle_baseline,609.3499136554486,1.4675987566453693e-130,True,5
s2__composite__ndvi__winter_baseline,593.1927572069948,4.607412137648456e-127,True,5
s2__composite__ndwi__winter_baseline,574.1876978130624,5.9739229553421564e-123,True,5
s2__composite__b02__post_winter_baseline,518.0233639763478,8.465422238889331e-111,True,5
s2__composite__b02__prebattle_baseline,517.945195833718,8.801512998153353e-111,True,5
s2__composite__cire__delta,498.49373839492546,1.4184980028342085e-106,True,5
s2__composite__ndre__prebattle_baseline,487.8909057787465,2.7855137493103182e-104,True,5
s2__composite__b04__post_winter_baseline,470.8009010108916,1.3820749891261352e-100,True,5
s2__composite__ndvi__delta,465.8568301041738,1.6201590189908997e-99,True,5
s2__composite__cire__prebattle_baseline,451.9627422789572,1.6350374946579846e-96,True,5
s2__composite__ndre__winter_baseline,443.2499626823221,1.2504532155943776e-94,True,5
s2__composite__b02__winter_baseline,434.411899337332,1.0174690567909326e-92,True,5
s2__composite__b03__prebattle_baseline,427.2147847720411,3.657066609761954e-91,True,5
s2__composite__cire__winter_baseline,401.8073392256112,1.1318505999629053e-85,True,5
s2__composite__ndre__delta,390.15047556088734,3.735282269384547e-83,True,5
s2__composite__b03__post_winter_baseline,386.74944241412896,2.0279881998046477e-82,True,5
s2__composite__ndbi__delta,385.6649969668375,3.4780560045701147e-82,True,5
s2__composite__b03__winter_baseline,355.56944067941123,1.100037243790527e-75,True,5
s2__composite__b04__prebattle_baseline,336.36693105867647,1.538887563723226e-71,True,5
s2__composite__b07__delta,293.01253470245433,3.482948063332442e-62,True,5
s2__composite__b04__winter_baseline,281.7543497097025,9.326804345267099e-60,True,5
s2__composite__b8a__delta,254.0294372641816,8.819997937805069e-54,True,5
s2__composite__b08__delta,251.6596904936294,2.8576827489669355e-53,True,5
s2__composite__b12__delta,217.2522524427008,7.314537311199713e-46,True,5
s2__composite__b8a__post_winter_baseline,206.85469602677048,1.261501376997993e-43,True,5
s2__composite__ndbi__post_winter_baseline,181.5130621372074,3.528388082771012e-38,True,5
s2__composite__b05__prebattle_baseline,178.20073623044473,1.815216194032929e-37,True,5
s2__composite__b11__delta,175.1185724561532,8.331424427965845e-37,True,5
s2__composite__ndwi__delta,174.5768044045396,1.0890109501250802e-36,True,5
s2__composite__b05__winter_baseline,153.38173795354248,3.8366198559897135e-32,True,5
s2__composite__b05__post_winter_baseline,153.02594593296612,4.5731183513066104e-32,True,5
s2__composite__b08__post_winter_baseline,145.76155259021965,1.6474508559834888e-30,True,5
s2__composite__b11__winter_baseline,143.30226153543853,5.540534501889907e-30,True,5
s2__composite__b07__post_winter_baseline,130.14221853933296,3.630679483812261e-27,True,5
s2__composite__b04__delta,125.54303878696709,3.4938340348940817e-26,True,5
s2__composite__b03__delta,123.85339949668423,8.024370490995184e-26,True,5
s2__composite__b02__delta,119.35699093145732,7.328136238734114e-25,True,5
s2__composite__b11__prebattle_baseline,112.71067844786074,1.922033717099253e-23,True,5
s2__composite__b12__prebattle_baseline,110.15886538761002,6.731470181404102e-23,True,5
s2__composite__b8a__winter_baseline,103.06975548384882,2.1834069935521962e-21,True,5
s2__composite__mndwi__delta,102.42883833670939,2.9898597218817315e-21,True,5
s2__composite__b8a__prebattle_baseline,96.28907752578085,6.061327428708265e-20,True,5
s2__composite__b05__delta,93.65630573175763,2.2002661695805013e-19,True,5
s2__composite__b08__winter_baseline,92.41192369981353,4.0457830319020535e-19,True,5
s2__composite__b08__prebattle_baseline,88.25844073052446,3.0858935134493454e-18,True,5
s2__composite__b12__winter_baseline,84.20902685120856,2.2323634488589127e-17,True,5
s2__composite__b07__winter_baseline,78.50090647770777,3.618391222724472e-16,True,5
s2__composite__ndbi__winter_baseline,76.9426192015645,7.733998164811873e-16,True,5
s2__composite__b07__prebattle_baseline,73.50362096040026,4.1288517801983004e-15,True,5
s2__composite__b12__post_winter_baseline,69.0351109789392,3.6279324301106895e-14,True,5
s2__composite__ndbi__prebattle_baseline,53.413149663408745,6.983365296846532e-11,True,5
s2__composite__b11__post_winter_baseline,39.786142202779,4.792380305834374e-08,True,5
s2__visibility__cloud__freq__postbattle,12.646608058836279,0.013138053226995959,True,5
s2__qa__cloud_freq__postbattle,12.604142765233636,0.013381082493992153,True,5
s2__visibility__clear__freq__postbattle,12.548552145158116,0.01370586036976473,True,5
s2__obs_count__delta,9.387673005259584,0.05210719561429481,False,5
s2__obs_count__post_winter_baseline,8.635716735550904,0.07087853030179286,False,5
s2__visibility__cloud__freq__prebattle,8.44532468564218,0.07656195140540452,False,5
s2__visibility__clear__freq__prebattle,8.305633913153017,0.08100264993633816,False,5
s2__obs_count__winter_baseline,8.109049280720297,0.0876642738944331,False,5
s2__obs_count__prebattle_baseline,8.0897402514396,0.08834565901202099,False,5
s2__qa__cloud_freq__prebattle,7.986026288507748,0.09209141258360942,False,5
s2__visibility__smoke__freq__prebattle,7.962759987801251,0.09295190835489102,False,5
s2__visibility__fire__freq__prebattle,2.38734219892965,0.6649159362736339,False,5
s2__visibility__fire__freq__postbattle,1.8543846938005013,0.7625187766511916,False,5
s2__visibility__smoke__freq__postbattle,1.1115191933985176,0.8924402773377615,False,5
s2__visibility__fire__freq__crossbattle,0.6822020037948606,0.9535055034749466,False,5
s2__visibility__clear__freq__crossbattle,0.6822020037948606,0.9535055034749466,False,5
