feature,H_statistic,p_value,significant,n_groups
s2__composite__ndvi__delta,35.85543782110847,3.098766710692198e-07,True,5
s2__composite__ndre__post_winter_baseline,34.509225566716914,5.85854143624833e-07,True,5
s2__composite__ndre__delta,31.037900115377592,3.0073783239794505e-06,True,5
s2__composite__cire__post_winter_baseline,30.74402959431011,3.452398556497457e-06,True,5
s2__composite__ndwi__delta,30.39835624060925,4.060446509583583e-06,True,5
s2__composite__ndvi__post_winter_baseline,27.99280109867326,1.251490354317104e-05,True,5
s2__composite__cire__delta,26.216586456441416,2.8616404188966305e-05,True,5
s2__composite__mndwi__post_winter_baseline,22.177176940910364,0.00018478333812774487,True,5
s2__composite__ndwi__post_winter_baseline,21.699693366290266,0.00022997688507189973,True,5
s2__composite__mndwi__delta,15.923613709384759,0.0031233941803757983,True,5
s2__composite__b11__post_winter_baseline,10.88710867058367,0.0278624874134881,True,5
s2__visibility__fire__freq__crossbattle,10.834139897093117,0.028492672519838173,True,5
s2__composite__mndwi__winter_baseline,10.74630141089999,0.029568172725371954,True,5
s2__composite__mndwi__prebattle_baseline,10.74630141089999,0.029568172725371954,True,5
s2__composite__b03__delta,10.401602738114955,0.034179718665905565,True,5
s2__composite__b02__delta,10.242306565158518,0.03653798922586334,True,5
s2__qa__cloud_freq__postbattle,9.635854798535624,0.047029354052640075,True,5
s2__composite__b02__post_winter_baseline,9.596666690710117,0.04779841383775087,True,5
s2__composite__b04__delta,9.39251324369047,0.052003336668471796,False,5
s2__obs_count__delta,9.365341134630405,0.05258894908377271,False,5
s2__visibility__clear__freq__postbattle,8.933122502915694,0.06279301180114068,False,5
s2__obs_count__post_winter_baseline,8.829587965857531,0.06550301225144095,False,5
s2__composite__ndbi__prebattle_baseline,8.768750666057612,0.0671467987382821,False,5
s2__composite__ndbi__winter_baseline,8.768750666057612,0.0671467987382821,False,5
s2__composite__b04__post_winter_baseline,8.485785048386946,0.07531927734315999,False,5
s2__composite__b03__post_winter_baseline,8.262023792713595,0.08243798165329391,False,5
s2__visibility__cloud__freq__postbattle,8.111173935091195,0.08758960034732619,False,5
s2__composite__b12__post_winter_baseline,7.825679091073857,0.09817659304684188,False,5
s2__composite__ndbi__delta,7.6164471943863195,0.10668273999007304,False,5
s2__visibility__clear__freq__crossbattle,7.290261437908173,0.12132150327822641,False,5
s2__composite__b02__prebattle_baseline,7.141571821955093,0.12859327672203213,False,5
s2__composite__b02__winter_baseline,7.141571821955093,0.12859327672203213,False,5
s2__composite__b11__delta,6.832336539046927,0.14501822471601075,False,5
s2__composite__b03__prebattle_baseline,6.157576529062931,0.18768536394528948,False,5
s2__composite__b03__winter_baseline,6.157576529062931,0.18768536394528948,False,5
s2__composite__b05__post_winter_baseline,5.603713345525768,0.23076229430421857,False,5
s2__obs_count__winter_baseline,4.833548880544047,0.30480669799589316,False,5
s2__obs_count__prebattle_baseline,4.833548880544047,0.30480669799589316,False,5
s2__composite__b08__delta,4.706717418346568,0.31873467380351567,False,5
s2__composite__b12__delta,4.6411379704565325,0.32613859957673863,False,5
s2__composite__b05__delta,4.482734041014669,0.34459968817563486,False,5
s2__composite__b12__prebattle_baseline,4.261733336223765,0.3717414061781689,False,5
s2__composite__b12__winter_baseline,4.261733336223765,0.3717414061781689,False,5
s2__composite__b04__prebattle_baseline,4.203929174346172,0.37910997722770656,False,5
s2__composite__b04__winter_baseline,4.203929174346172,0.37910997722770656,False,5
s2__composite__b8a__post_winter_baseline,4.188755469622026,0.3810628701783996,False,5
s2__composite__b08__prebattle_baseline,4.105275008309928,0.3919458714504473,False,5
s2__composite__b08__winter_baseline,4.105275008309928,0.3919458714504473,False,5
s2__composite__b07__delta,3.0300632202467073,0.5528070584804634,False,5
s2__visibility__clear__freq__prebattle,2.787758930340969,0.5939475827631986,False,5
s2__composite__ndvi__prebattle_baseline,2.4900129947011678,0.646425009543049,False,5
s2__composite__ndvi__winter_baseline,2.4900129947011678,0.646425009543049,False,5
s2__composite__ndwi__winter_baseline,2.465513085844949,0.6508216724723804,False,5
s2__composite__ndwi__prebattle_baseline,2.465513085844949,0.6508216724723804,False,5
s2__composite__b11__prebattle_baseline,2.3765527171072685,0.6668686523304964,False,5
s2__composite__b11__winter_baseline,2.3765527171072685,0.6668686523304964,False,5
s2__composite__b8a__delta,2.359812925377237,0.6699015659843155,False,5
s2__composite__b08__post_winter_baseline,2.2266307450139546,0.6941568109815175,False,5
s2__composite__b07__winter_baseline,2.001680814611116,0.7354497138093377,False,5
s2__composite__b07__prebattle_baseline,2.001680814611116,0.7354497138093377,False,5
s2__composite__b05__winter_baseline,1.8889548637188653,0.7561737029001219,False,5
s2__composite__b05__prebattle_baseline,1.8889548637188653,0.7561737029001219,False,5
s2__composite__b8a__prebattle_baseline,1.7374503883079384,0.7839040039134668,False,5
s2__composite__b8a__winter_baseline,1.7374503883079384,0.7839040039134668,False,5
s2__composite__b07__post_winter_baseline,1.448913384590879,0.8356506362944915,False,5
s2__composite__ndbi__post_winter_baseline,1.3418783366862361,0.8542312615922647,False,5
s2__composite__ndre__winter_baseline,1.1408538624609619,0.8877372955381821,False,5
s2__composite__ndre__prebattle_baseline,1.1408538624609619,0.8877372955381821,False,5
s2__visibility__cloud__freq__crossbattle,0.6823529411758488,0.953487199594125,False,5
s2__visibility__fire__freq__postbattle,0.6823529411758488,0.953487199594125,False,5
s2__visibility__fire__freq__prebattle,0.6823529411758488,0.953487199594125,False,5
s2__composite__cire__prebattle_baseline,0.5815520169399078,0.9650914512431253,False,5
s2__composite__cire__winter_baseline,0.5815520169399078,0.9650914512431253,False,5
