feature,VIF
s2__composite__b07__delta,37282.703
s2__composite__b07__post_winter_baseline,29694.188
s2__composite__b8a__delta,25890.766
s2__composite__b04__delta,25771.453
s2__composite__b04__post_winter_baseline,24456.584
s2__composite__b8a__post_winter_baseline,20636.182
s2__composite__b03__delta,19065.018
s2__composite__b03__post_winter_baseline,18416.264
s2__composite__b05__delta,14169.946
s2__composite__b05__post_winter_baseline,13148.288
s2__composite__ndwi__prebattle_baseline,8101.022
s2__composite__mndwi__prebattle_baseline,7692.442
s2__composite__mndwi__post_winter_baseline,7608.715
s2__composite__ndwi__post_winter_baseline,7493.174
s2__composite__b08__delta,6257.8203
s2__composite__ndbi__prebattle_baseline,5753.5034
s2__composite__b04__prebattle_baseline,5624.2764
s2__composite__b08__post_winter_baseline,5486.336
s2__composite__mndwi__delta,5334.568
s2__composite__b07__prebattle_baseline,5324.41
s2__composite__ndbi__post_winter_baseline,5154.2905
s2__composite__ndwi__delta,4572.6943
s2__composite__ndbi__delta,4239.883
s2__composite__ndvi__post_winter_baseline,4059.3313
s2__composite__b8a__prebattle_baseline,3636.1543
s2__composite__b03__prebattle_baseline,3556.7556
s2__composite__b11__delta,2834.947
s2__composite__b11__post_winter_baseline,2804.6165
s2__composite__ndvi__prebattle_baseline,2601.1187
s2__composite__ndvi__delta,2366.9888
s2__composite__ndre__post_winter_baseline,1982.4194
s2__composite__cire__post_winter_baseline,1953.565
s2__composite__b05__prebattle_baseline,1951.7468
s2__composite__b08__prebattle_baseline,1460.4122
s2__composite__ndre__delta,1264.8685
s2__composite__cire__delta,1252.9661
s2__composite__ndre__prebattle_baseline,1158.7275
s2__composite__cire__prebattle_baseline,1087.664
s2__composite__b02__delta,895.7403
s2__composite__b02__post_winter_baseline,873.9499
s2__composite__b12__delta,604.7151
s2__composite__b12__post_winter_baseline,547.4699
s2__composite__b11__prebattle_baseline,396.38086
s2__composite__b02__prebattle_baseline,164.00015
s2__composite__b12__prebattle_baseline,73.25016
