cell,analysis,parquet,tier_selection,cities,n_buildings,n_features_tested,summary_metrics,top_features,note,tags,metric,value,city,feature
cell04_auc,feature_auc_mannwhitney,bda_product_prepost,"[0, 1, 2]","['Avdiivka', 'Bucha', 'Chernihiv', 'Chornobaivka', 'Dmytrivka', 'Hostomel', 'Irpin', 'Kharkiv', 'Kherson', 'Kramatorsk', 'Lysychansk', 'Makariv', 'Mariupol', 'Moschun', 'Okhtyrka', 'Rubizhne', 'Sievie",62043,79,"{'mean_best_auc': 0.5564584087883205, 'max_best_auc': 0.7820823358212458, 'n_significant_p05': 636}","[{'feature': 's2__composite__ndvi__post_winter_baseline', 'mean_auc': 0.6221098519413852}, {'feature': 's2__composite__ndvi__prebattle_baseline', 'mean_auc': 0.6172587769502932}, {'feature': 's2__comp",Per-feature AUC + Mann-Whitney U (Cell 4),"['auc', 'mann_whitney', 'feature_selection']",,,,
cell11_separability,feature_separability_jm_bhattacharyya,bda_product_prepost,"[0, 1, 2]","['Avdiivka', 'Bucha', 'Chernihiv', 'Chornobaivka', 'Dmytrivka', 'Hostomel', 'Irpin', 'Kharkiv', 'Kherson', 'Kramatorsk', 'Lysychansk', 'Makariv', 'Mariupol', 'Moschun', 'Okhtyrka', 'Rubizhne', 'Sievie",62043,79,"{'mean_jm': 0.07167819527441582, 'n_excellent': 0, 'n_good': 1, 'n_poor': 1436}","[{'feature': 's2__visibility__fire__freq__crossbattle', 'mean_jm': 0.39157580335934955}, {'feature': 's2__qa__cloud_freq__crossbattle', 'mean_jm': 0.3189947009086609}, {'feature': 's2__visibility__cle",J-M + Bhattacharyya + Chi-square separability (Cell 11),"['separability', 'jm_distance', 'bhattacharyya']",,,,
P1,,block_stats,,,,,,,,,best_auc,0.5847471670116043,ALL,s1__vh__blk02__max
P2,,coh_drop,,,,,,,,,best_auc,0.522711340757578,ALL,s1__coh__lu_transition
P2b,,card_drop,,,,,,,,,best_auc,0.524623323497453,ALL,s1__vv__date_first_drop
P2c,,ms_change,,,,,,,,,best_auc,0.5,ALL,s2__date_worst_swir_rise
P2d,,ms_maha,,,,,,,,,best_auc,0.5994520021450802,ALL,s2__mahalanobis_running_max
P2e,,lu_change,,,,,,,,,best_auc,0.5629339314404107,ALL,s2__lu__loss_fraction
P3,,prepost_single_card,,,,,,,,,best_auc,0.553762518453015,ALL,post_vv
P4,,composite_prepost_landuse,,,,,,,,,best_auc,0.5755173822594708,ALL,landuse__prebattle_baseline
P5,,rolling_stats_roll3,,,,,,,,,best_auc,0.5567008719045307,ALL,s1__vv__baseline__mean
P6,,rolling_stats_roll7,,,,,,,,,best_auc,0.5567008719045307,ALL,s1__vv__baseline__mean
P7,,rolling_stats_roll13,,,,,,,,,best_auc,0.5567008719045307,ALL,s1__vv__baseline__mean
P8,,fusion_composite_cohdrop,,,,,,,,,best_auc,0.6282288903013679,ALL,s2__composite__ndvi__prebattle_baseline
P9,,fusion_composite_blockstats,,,,,,,,,best_auc,0.6221098519413852,ALL,s2__composite__ndvi__post_winter_baseline
P10,,scene_ms,,,,,,,,,best_auc_prebattle,0.567698723237062,ALL,s2__b02
P10,,scene_ms,,,,,,,,,best_auc_crossbattle,0.6459146880149893,ALL,s2__b02
P10,,scene_ms,,,,,,,,,best_auc_postbattle,0.6427824600231101,ALL,s2__b02
P11,,scene_card,,,,,,,,,best_auc_prebattle,0.5398867748035344,ALL,s1__vh
P11,,scene_card,,,,,,,,,best_auc_crossbattle,0.5482368023956391,ALL,s1__vh
P11,,scene_card,,,,,,,,,best_auc_postbattle,0.5317586882482963,ALL,s1__vh
P12,,scene_coh,,,,,,,,,best_auc_prebattle,0.5231540214678387,ALL,s1__coh_vh
P12,,scene_coh,,,,,,,,,best_auc_crossbattle,0.5212833549117777,ALL,s1__coh_vh
P12,,scene_coh,,,,,,,,,best_auc_postbattle,0.5403316594650215,ALL,s1__coh_vh
P13,,scene_indices,,,,,,,,,best_auc_prebattle,0.6031956733555663,ALL,s2__ndvi
P13,,scene_indices,,,,,,,,,best_auc_crossbattle,0.6568188509096867,ALL,s2__ndvi
P13,,scene_indices,,,,,,,,,best_auc_postbattle,0.6414956481108343,ALL,s2__mndwi
P15,,rolling_coh,,,,,,,,,best_auc_prebattle,0.5123554396333797,ALL,s1__coh_vv__roll3
P15,,rolling_coh,,,,,,,,,best_auc_crossbattle,0.5380977932482113,ALL,s1__coh_vv__roll13
P16,,rolling_card,,,,,,,,,best_auc_prebattle,0.5419223699515019,ALL,s1__vh__roll3
P16,,rolling_card,,,,,,,,,best_auc_crossbattle,0.5657892369895315,ALL,s1__vh__roll7
P16,,rolling_card,,,,,,,,,best_auc_postbattle,0.5360291747758956,ALL,s1__vh__roll3
P10,,fusion_ms_card,,,,,,,,,best_auc_prebattle,0.567698723237062,ALL,s2__b02
P10,,fusion_ms_card,,,,,,,,,best_auc_crossbattle,0.6459146880149893,ALL,s2__b02
P10,,fusion_ms_card,,,,,,,,,best_auc_postbattle,0.6427824600231101,ALL,s2__b02
P10,,fusion_ms_card_cohdrop,,,,,,,,,best_auc_prebattle,0.571385831173021,ALL,s2__b02
P10,,fusion_ms_card_cohdrop,,,,,,,,,best_auc_crossbattle,0.667493550051675,ALL,s2__b02
P10,,fusion_ms_card_cohdrop,,,,,,,,,best_auc_postbattle,0.6572223886453485,ALL,s2__visibility
P10,,fusion_card_cohdrop,,,,,,,,,best_auc_prebattle,0.5454395014883602,ALL,s1__vh
P10,,fusion_card_cohdrop,,,,,,,,,best_auc_crossbattle,0.5597146850122565,ALL,s1__coh__scenes_observed
P10,,fusion_card_cohdrop,,,,,,,,,best_auc_postbattle,0.5401478761192376,ALL,s1__vh
P10,,fusion_ms_cohdrop,,,,,,,,,best_auc_prebattle,0.571385831173021,ALL,s2__b02
P10,,fusion_ms_cohdrop,,,,,,,,,best_auc_crossbattle,0.667493550051675,ALL,s2__b02
P10,,fusion_ms_cohdrop,,,,,,,,,best_auc_postbattle,0.6572223886453485,ALL,s2__visibility
P10,,fusion_indices_card,,,,,,,,,best_auc_prebattle,0.6031956733555663,ALL,s2__ndvi
P10,,fusion_indices_card,,,,,,,,,best_auc_crossbattle,0.6568188509096867,ALL,s2__ndvi
P10,,fusion_indices_card,,,,,,,,,best_auc_postbattle,0.6414956481108343,ALL,s2__mndwi
P10,,fusion_indices_card_cohdrop,,,,,,,,,best_auc_prebattle,0.6041154668655812,ALL,s2__ndvi
P10,,fusion_indices_card_cohdrop,,,,,,,,,best_auc_crossbattle,0.6785866306488489,ALL,s2__mndwi
P10,,fusion_indices_card_cohdrop,,,,,,,,,best_auc_postbattle,0.6449169816523433,ALL,s2__mndwi
cell16,,block_accum_card,,,,,,,,,best_single_feature_auc,0.5279213948744103,ALL,s1__vh__blk04__rise_count
cell16,,block_accum_coh,,,,,,,,,best_single_feature_auc,0.5530885716393684,ALL,s1__coh_vv__blk06__max_abs_delta
cell16,,block_accum_ms,,,,,,,,,best_single_feature_auc,0.5240066981630059,ALL,s2__b12__blk_pre02__running_max
cell16,,block_stats,,,,,,,,,best_single_feature_auc,0.5743417406735916,ALL,s1__vh__blk01__running_max
cell16,,card_drop,,,,,,,,,best_single_feature_auc,0.5122277241483576,ALL,s1__vv__drop_count
cell16,,coh_drop,,,,,,,,,best_single_feature_auc,0.5268884519455989,ALL,s1__coh__scenes_observed
cell16,,composite_prepost_bands,,,,,,,,,best_single_feature_auc,0.6717933405232004,ALL,s2__composite__ndvi__post_winter_baseline
cell16,,composite_prepost_landuse,,,,,,,,,best_single_feature_auc,0.6185551527513443,ALL,landuse__post_winter_baseline
cell16,,composite_vs_scenes_landuse,,,,,,,,,best_single_feature_auc,0.6280988907141247,ALL,pre_landuse
cell16,,fusion_card_cohdrop,,,,,,,,,best_single_feature_auc,0.5487884415575375,ALL,s1__vh
cell16,,fusion_composite_blockstats,,,,,,,,,best_single_feature_auc,0.6717933405232004,ALL,s2__composite__ndvi__post_winter_baseline
cell16,,fusion_composite_cohdrop,,,,,,,,,best_single_feature_auc,0.6732249617536231,ALL,s2__composite__ndvi__post_winter_baseline
cell16,,fusion_indices_card,,,,,,,,,best_single_feature_auc,0.6221633942511268,ALL,s2__ndvi
cell16,,fusion_indices_card_cohdrop,,,,,,,,,best_single_feature_auc,0.6272482401263625,ALL,s2__mndwi
cell16,,fusion_ms_card,,,,,,,,,best_single_feature_auc,0.6060048060917672,ALL,s2__b02
cell16,,fusion_ms_card_cohdrop,,,,,,,,,best_single_feature_auc,0.6128850391594273,ALL,s2__b02
cell16,,fusion_ms_cohdrop,,,,,,,,,best_single_feature_auc,0.6128850391594273,ALL,s2__b02
cell16,,lu_change,,,,,,,,,best_single_feature_auc,0.5689839130240137,ALL,s2__lu__loss_fraction
cell16,,ms_change,,,,,,,,,best_single_feature_auc,0.5,ALL,s2__date_worst_swir_rise
cell16,,ms_maha,,,,,,,,,best_single_feature_auc,0.5090577961887078,ALL,s2__mahalanobis_running_max
cell16,,prepost_single_card,,,,,,,,,best_single_feature_auc,0.5374460911883243,ALL,post_vh
cell16,,rolling_accum_card,,,,,,,,,best_single_feature_auc,0.5668982290132669,ALL,s1__vh__roll13__running_max
cell16,,rolling_accum_coh,,,,,,,,,best_single_feature_auc,0.5336503582999776,ALL,s1__coh_vv__roll13__running_min
cell16,,rolling_accum_ms,,,,,,,,,best_single_feature_auc,0.6507470355731225,ALL,s2__b12__roll13__max_abs_delta
cell16,,rolling_card,,,,,,,,,best_single_feature_auc,0.5622203743205619,ALL,s1__vh__roll13
cell16,,rolling_coh,,,,,,,,,best_single_feature_auc,0.5380977932482113,ALL,s1__coh_vv__roll13
cell16,,rolling_stats_roll13,,,,,,,,,best_single_feature_auc,0.5474339004806356,ALL,s1__vh__baseline__max
cell16,,rolling_stats_roll3,,,,,,,,,best_single_feature_auc,0.5474339004806356,ALL,s1__vh__baseline__max
cell16,,rolling_stats_roll7,,,,,,,,,best_single_feature_auc,0.5474339004806356,ALL,s1__vh__baseline__max
cell16,,scene_card,,,,,,,,,best_single_feature_auc,0.5426086034759401,ALL,s1__vh
cell16,,scene_coh,,,,,,,,,best_single_feature_auc,0.5235284116099358,ALL,s1__coh_vh
cell16,,scene_indices,,,,,,,,,best_single_feature_auc,0.6221633942511268,ALL,s2__ndvi
cell16,,scene_landuse,,,,,,,,,best_single_feature_auc,0.5865689860642848,ALL,s2__landuse
cell16,,scene_ms,,,,,,,,,best_single_feature_auc,0.6060048060917672,ALL,s2__b02
cell16,,scene_nbr,,,,,,,,,best_single_feature_auc,0.5455439769705783,ALL,s2__nbr
cell17_rolling_block,rolling_block_auc_comparison,rolling_stats+block_stats,"[0, 1, 2]","['Avdiivka', 'Bucha', 'Chernihiv', 'Chornobaivka', 'Dmytrivka', 'Hostomel', 'Irpin', 'Kharkiv', 'Kherson', 'Kramatorsk', 'Lysychansk', 'Makariv', 'Mariupol', 'Moschun', 'Okhtyrka', 'Rubizhne', 'Sievie",62043,298,"{'mean_auc_raw': None, 'mean_auc_rolling': 0.5, 'mean_auc_block': 0.522903848173643}","[{'feature': 's1__vh__blk02__max', 'mean_auc': 0.6016966004139253}, {'feature': 's1__vv__blk02__median', 'mean_auc': 0.5823805115990519}, {'feature': 's1__vv__blk02__mean', 'mean_auc': 0.5804619054429",Rolling + block feature AUC vs raw P1 (Cell 17),"['rolling', 'block', 'temporal', 'auc']",,,,
