city,feature,jm_distance,bhattacharyya
Avdiivka,s1__vh__baseline__kurtosis,0.01943326,0.009764133
Avdiivka,s1__vh__baseline__max,0.035354733,0.017835522
Avdiivka,s1__vh__baseline__mean,0.0123637915,0.0062010465
Avdiivka,s1__vh__baseline__median,0.01081419,0.0054217624
Avdiivka,s1__vh__baseline__min,0.0036485195,0.0018258655
Avdiivka,s1__vh__baseline__skewness,0.01761043,0.008844193
Avdiivka,s1__vh__baseline__std,0.0027641058,0.0013829859
Avdiivka,s1__vv__baseline__kurtosis,0.007064104,0.0035382956
Avdiivka,s1__vv__baseline__max,0.017518282,0.008797695
Avdiivka,s1__vv__baseline__mean,0.03336656,0.016823957
Avdiivka,s1__vv__baseline__median,0.03524077,0.017777458
Avdiivka,s1__vv__baseline__min,0.037163496,0.018756555
Avdiivka,s1__vv__baseline__skewness,0.016757846,0.008414277
Avdiivka,s1__vv__baseline__std,0.013187885,0.006615826
Avdiivka,s1__coh__baseline__max,0.0021685362,0.0010847965
Avdiivka,s1__coh__baseline__mean,0.01887691,0.009483257
Avdiivka,s1__coh__baseline__median,0.019219398,0.009656174
Avdiivka,s1__coh__baseline__min,0.025163054,0.012661286
Avdiivka,s1__coh__baseline__std,0.0055873394,0.0027975575
Avdiivka,s1__coh__post_baseline__count,0.5381172,0.3134219
Avdiivka,s1__coh__post_baseline__max,0.0028560162,0.0014289779
Avdiivka,s1__coh__post_baseline__mean,0.008548737,0.004283528
Avdiivka,s1__coh__post_baseline__median,0.005957365,0.0029831764
Avdiivka,s1__coh__post_baseline__min,0.0033257008,0.0016642653
Avdiivka,s1__coh__post_baseline__std,0.012106419,0.0060715564
Avdiivka,s1__vh__blk01__kurtosis,0.0012956858,0.00064803666
Avdiivka,s1__vh__blk01__max,0.020141602,0.010121884
Avdiivka,s1__vh__blk01__mean,0.014782667,0.0074187825
Avdiivka,s1__vh__blk01__median,0.01425755,0.0071543595
Avdiivka,s1__vh__blk01__min,0.003590703,0.0017970048
Avdiivka,s1__vh__blk01__skewness,0.0027668476,0.0013843834
Avdiivka,s1__vh__blk01__std,0.0007352829,0.00036769325
Avdiivka,s1__vh__blk_pre01__kurtosis,0.01943326,0.009764133
Avdiivka,s1__vh__blk_pre01__max,0.035354733,0.017835522
