city,feature,auc_best,mann_whitney_p,direction
Avdiivka,s1__vv__z_running_min,0.5548997038829698,0.057635998487170645,higher=damaged
Avdiivka,s1__vv__drop_count,0.5123955966118703,0.6370575467058275,lower=damaged
Avdiivka,s1__vv__date_first_drop,0.532484333343171,0.2110611280522776,higher=damaged
Avdiivka,s1__vv__date_worst_drop,0.5034727346063413,0.9045390750977765,higher=damaged
Avdiivka,s1__vv__max_z_drop,0.5548800283327923,0.05772561513807902,lower=damaged
Avdiivka,s1__vv__scenes_observed,0.5134384007712816,0.6187489081498943,higher=damaged
Avdiivka,s1__vv__lu_transition,0.5109937136617183,0.5070532205763254,higher=damaged
Bucha,s1__vv__z_running_min,0.5045875586392876,0.4547459911022176,lower=damaged
Bucha,s1__vv__drop_count,0.5017029972752043,0.4162095806742546,lower=damaged
Bucha,s1__vv__date_first_drop,0.5058112587432231,0.11942985973917765,higher=damaged
Bucha,s1__vv__date_worst_drop,0.500421360150566,0.9454677060218567,lower=damaged
Bucha,s1__vv__max_z_drop,0.5045875586392876,0.45474598729103943,higher=damaged
Bucha,s1__vv__scenes_observed,0.5054390572768899,0.3753835655098403,lower=damaged
Bucha,s1__vv__lu_transition,0.5,1.0,higher=damaged
Chernihiv,s1__vv__z_running_min,0.5075556836512436,0.47285487488627864,higher=damaged
Chernihiv,s1__vv__drop_count,0.5011340645419996,0.7252641835396876,lower=damaged
Chernihiv,s1__vv__date_first_drop,0.500668705058919,0.9013840068839422,lower=damaged
Chernihiv,s1__vv__date_worst_drop,0.5150253583894574,0.15152852634638375,higher=damaged
Chernihiv,s1__vv__max_z_drop,0.5082978665232805,0.43048629952144923,lower=damaged
Chernihiv,s1__vv__scenes_observed,0.5,1.0,higher=damaged
Chernihiv,s1__vv__lu_transition,0.500584404932241,0.9470674013202606,lower=damaged
Chornobaivka,s1__vv__z_running_min,0.5557543231961837,0.4868062832298953,lower=damaged
Chornobaivka,s1__vv__drop_count,0.509540846750149,0.8821524732417027,higher=damaged
Chornobaivka,s1__vv__date_first_drop,0.605247465712582,0.11336274843962724,higher=damaged
Chornobaivka,s1__vv__date_worst_drop,0.546809779367919,0.5597055796203828,higher=damaged
Chornobaivka,s1__vv__max_z_drop,0.5557543231961836,0.4868062832298953,higher=damaged
Chornobaivka,s1__vv__scenes_observed,0.5,1.0,higher=damaged
Chornobaivka,s1__vv__lu_transition,0.5951103160405486,0.199237612523691,lower=damaged
Dmytrivka,s1__vv__z_running_min,0.5005090963539716,0.9374185337503521,higher=damaged
Dmytrivka,s1__vv__drop_count,0.5034828179980535,0.18581504472305788,lower=damaged
Dmytrivka,s1__vv__date_first_drop,0.5094916523171371,0.0125412223324134,lower=damaged
Dmytrivka,s1__vv__date_worst_drop,0.5138623942502059,0.03235921704848574,lower=damaged
Dmytrivka,s1__vv__max_z_drop,0.5000404282398743,0.9951203642871121,higher=damaged
Dmytrivka,s1__vv__scenes_observed,0.5226807416835119,0.00045959919925817944,higher=damaged
Dmytrivka,s1__vv__lu_transition,0.5009009009009009,0.4199127195790441,higher=damaged
Hostomel,s1__vv__z_running_min,0.5021718889614729,0.8049552953390128,higher=damaged
Hostomel,s1__vv__drop_count,0.5070512868645457,0.037536769236054944,higher=damaged
Hostomel,s1__vv__date_first_drop,0.5116947867156234,0.012531582327864303,lower=damaged
Hostomel,s1__vv__date_worst_drop,0.5038183781059911,0.6632142171174045,lower=damaged
Hostomel,s1__vv__max_z_drop,0.5052433608568585,0.551044566970204,lower=damaged
Hostomel,s1__vv__scenes_observed,0.5,1.0,higher=damaged
Hostomel,s1__vv__lu_transition,0.5030310083922139,0.5580990903700419,higher=damaged
Irpin,s1__vv__z_running_min,0.514300478300888,0.3243810385399253,lower=damaged
Irpin,s1__vv__drop_count,0.5017603760434567,0.7997213485591379,higher=damaged
Irpin,s1__vv__date_first_drop,0.5137292040200684,0.12270008125667815,lower=damaged
Irpin,s1__vv__date_worst_drop,0.5075037109551653,0.6041449372591221,lower=damaged
Irpin,s1__vv__max_z_drop,0.5119621775193263,0.4097388452774108,higher=damaged
Irpin,s1__vv__scenes_observed,0.5002048340843916,0.7232925359346676,higher=damaged
Irpin,s1__vv__lu_transition,0.5012994993535755,0.8693720397568019,lower=damaged
Kharkiv,s1__vv__z_running_min,0.5056423977843496,0.7425043909841278,lower=damaged
Kharkiv,s1__vv__drop_count,0.5063535652255551,0.5839960589626583,higher=damaged
Kharkiv,s1__vv__date_first_drop,0.5128948974322864,0.28628681541285494,lower=damaged
Kharkiv,s1__vv__date_worst_drop,0.5142116133877858,0.40724108460804864,lower=damaged
Kharkiv,s1__vv__max_z_drop,0.5059721635450406,0.7280324638919984,higher=damaged
Kharkiv,s1__vv__scenes_observed,0.5459137210721494,0.00507448273857713,lower=damaged
Kharkiv,s1__vv__lu_transition,0.5134288597850069,0.32532205134970027,higher=damaged
Kherson,s1__vv__z_running_min,0.5641025641025641,0.4236639317635743,lower=damaged
Kherson,s1__vv__drop_count,0.5038759689922482,0.9519240644145371,higher=damaged
Kherson,s1__vv__date_first_drop,0.6168753726893261,0.06750385471682994,higher=damaged
Kherson,s1__vv__date_worst_drop,0.546809779367919,0.5597055796203828,higher=damaged
Kherson,s1__vv__max_z_drop,0.5641025641025641,0.4236639317635743,higher=damaged
Kherson,s1__vv__scenes_observed,0.5,1.0,higher=damaged
Kherson,s1__vv__lu_transition,0.5951103160405486,0.199237612523691,lower=damaged
Kramatorsk,s1__vv__z_running_min,0.6162580645161291,0.05172853899614575,lower=damaged
Kramatorsk,s1__vv__drop_count,0.5317419354838708,0.5799746500090812,higher=damaged
Kramatorsk,s1__vv__date_first_drop,0.5869677419354838,0.11868047471428796,lower=damaged
Kramatorsk,s1__vv__date_worst_drop,0.5691612903225807,0.24750515479834678,higher=damaged
Kramatorsk,s1__vv__max_z_drop,0.616258064516129,0.05172853899614575,higher=damaged
Kramatorsk,s1__vv__scenes_observed,0.6108387096774193,0.04417029362175636,higher=damaged
Kramatorsk,s1__vv__lu_transition,0.5509677419354839,0.1599940161723078,lower=damaged
Lysychansk,s1__vv__z_running_min,0.506672953289131,0.2237380530610551,higher=damaged
Lysychansk,s1__vv__drop_count,0.5005711583973822,0.7657650397566885,lower=damaged
Lysychansk,s1__vv__date_first_drop,0.5006879535539799,0.7498776464358552,lower=damaged
Lysychansk,s1__vv__date_worst_drop,0.505179073917732,0.34499648231649116,higher=damaged
Lysychansk,s1__vv__max_z_drop,0.5068693993419973,0.21039921837800712,lower=damaged
Lysychansk,s1__vv__scenes_observed,0.5048282960789917,0.37709055124016,lower=damaged
Lysychansk,s1__vv__lu_transition,0.5209702891693746,0.00013117139157823077,higher=damaged
Makariv,s1__vv__z_running_min,0.5255009107468124,0.42930770826129705,higher=damaged
Makariv,s1__vv__drop_count,0.5051679586563307,0.4275206746271786,lower=damaged
Makariv,s1__vv__date_first_drop,0.5008472063371034,0.9575918749430186,lower=damaged
Makariv,s1__vv__date_worst_drop,0.5444995128563561,0.1674640241542078,lower=damaged
Makariv,s1__vv__max_z_drop,0.5257550726479434,0.42471390377342766,lower=damaged
Makariv,s1__vv__scenes_observed,0.535625026475198,0.2594573099197399,lower=damaged
Makariv,s1__vv__lu_transition,0.504341932477655,0.585694017071594,lower=damaged
Mariupol,s1__vv__z_running_min,0.5069311465142188,0.13551690756567417,lower=damaged
Mariupol,s1__vv__drop_count,0.5051813139539264,0.10205032395154987,higher=damaged
Mariupol,s1__vv__date_first_drop,0.507502494228947,0.03126441157805588,lower=damaged
Mariupol,s1__vv__date_worst_drop,0.5018983410357893,0.6822538753446279,lower=damaged
Mariupol,s1__vv__max_z_drop,0.5073661502435152,0.112667040087291,higher=damaged
Mariupol,s1__vv__scenes_observed,0.5,1.0,higher=damaged
Mariupol,s1__vv__lu_transition,0.5525912131796922,5.6388686767048686e-30,higher=damaged
Moschun,s1__vv__z_running_min,0.500570125427594,0.9179779287894594,lower=damaged
Moschun,s1__vv__drop_count,0.5011402508551881,0.6614488495667794,lower=damaged
Moschun,s1__vv__date_first_drop,0.5011402508551881,0.661449021440695,higher=damaged
Moschun,s1__vv__date_worst_drop,0.5017103762827821,0.7554999126899382,higher=damaged
Moschun,s1__vv__max_z_drop,0.500570125427594,0.9179778990732491,higher=damaged
Moschun,s1__vv__scenes_observed,0.5,1.0,higher=damaged
Moschun,s1__vv__lu_transition,0.5039908779931584,0.4094450753451139,higher=damaged
Okhtyrka,s1__vv__z_running_min,0.5411483253588516,0.24485706746794966,higher=damaged
Okhtyrka,s1__vv__drop_count,0.5062799043062202,0.5672827672111593,higher=damaged
Okhtyrka,s1__vv__date_first_drop,0.5196172248803828,0.22594083825040356,lower=damaged
