city,feature,jm_distance,bhattacharyya
Avdiivka,s1__vv__z_running_min,0.0702095,0.035735734
Avdiivka,s1__vv__drop_count,0.00089240074,0.00044622016
Avdiivka,s1__vv__date_first_drop,0.07677162,0.03914201
Avdiivka,s1__vv__date_worst_drop,0.000792861,0.00039656876
Avdiivka,s1__vv__max_z_drop,0.07007313,0.035665013
Avdiivka,s1__vv__scenes_observed,0.0007355213,0.00036788086
Avdiivka,s1__vv__lu_transition,0.009128571,0.004574689
Bucha,s1__vv__z_running_min,0.046432972,0.023490176
Bucha,s1__vv__date_first_drop,0.11031139,0.056735083
Bucha,s1__vv__date_worst_drop,0.044348717,0.022423906
Bucha,s1__vv__max_z_drop,0.03952086,0.019958276
Bucha,s1__vv__scenes_observed,0.016339898,0.008203535
Chernihiv,s1__vv__z_running_min,0.025691867,0.012929197
Chernihiv,s1__vv__drop_count,0.001067996,0.0005340534
Chernihiv,s1__vv__date_first_drop,0.22135413,0.11729486
Chernihiv,s1__vv__date_worst_drop,0.0053590536,0.0026830775
Chernihiv,s1__vv__max_z_drop,0.029369235,0.014793586
Chernihiv,s1__vv__lu_transition,0.0011856556,0.0005930789
Chornobaivka,s1__vv__z_running_min,0.029789686,0.015006962
Chornobaivka,s1__vv__drop_count,0.17221987,0.090044975
Chornobaivka,s1__vv__date_first_drop,0.09455323,0.04843062
Chornobaivka,s1__vv__date_worst_drop,0.038248062,0.01930931
Chornobaivka,s1__vv__max_z_drop,0.028878331,0.014544344
Chornobaivka,s1__vv__lu_transition,0.050562143,0.025606114
Dmytrivka,s1__vv__z_running_min,0.70055795,0.4312122
Dmytrivka,s1__vv__drop_count,0.35050344,0.19267698
Dmytrivka,s1__vv__date_first_drop,1.6309769,1.6900432
Dmytrivka,s1__vv__date_worst_drop,0.72465014,0.44992664
Dmytrivka,s1__vv__max_z_drop,0.72006583,0.44633862
Dmytrivka,s1__vv__scenes_observed,0.19231486,0.101100095
Hostomel,s1__vv__z_running_min,0.021989822,0.011055873
Hostomel,s1__vv__drop_count,0.056962967,0.028894978
Hostomel,s1__vv__date_first_drop,0.0038808584,0.0019422232
Hostomel,s1__vv__date_worst_drop,0.00111413,0.00055714796
Hostomel,s1__vv__max_z_drop,0.028055668,0.014127133
Hostomel,s1__vv__lu_transition,0.0019490719,0.00097498565
Irpin,s1__vv__z_running_min,0.042156577,0.02130356
Irpin,s1__vv__drop_count,0.0043735504,0.0021891356
Irpin,s1__vv__date_first_drop,0.014658213,0.0073560816
Irpin,s1__vv__date_worst_drop,0.0011731386,0.00058677426
Irpin,s1__vv__max_z_drop,0.03561604,0.017968412
Irpin,s1__vv__lu_transition,0.08294749,0.0423583
Kharkiv,s1__vv__z_running_min,0.023635864,0.011888319
Kharkiv,s1__vv__drop_count,0.14499545,0.075260006
Kharkiv,s1__vv__date_first_drop,0.022474408,0.011300861
Kharkiv,s1__vv__date_worst_drop,0.0046468973,0.002326196
Kharkiv,s1__vv__max_z_drop,0.022325277,0.011225433
Kharkiv,s1__vv__scenes_observed,0.008776784,0.0043980144
Kharkiv,s1__vv__lu_transition,0.020947218,0.01052889
Kherson,s1__vv__z_running_min,0.00618577,0.0030976543
Kherson,s1__vv__drop_count,0.11781156,0.060712032
Kherson,s1__vv__date_first_drop,0.1323489,0.068465576
Kherson,s1__vv__date_worst_drop,0.038248062,0.01930931
Kherson,s1__vv__max_z_drop,0.005545974,0.0027768635
Kherson,s1__vv__lu_transition,0.050562143,0.025606114
Kramatorsk,s1__vv__z_running_min,0.046230912,0.023386804
Kramatorsk,s1__vv__drop_count,0.0058419704,0.0029252542
Kramatorsk,s1__vv__date_first_drop,0.35332227,0.19438747
Kramatorsk,s1__vv__date_worst_drop,0.025948048,0.013058897
Kramatorsk,s1__vv__max_z_drop,0.046230912,0.023386804
Kramatorsk,s1__vv__scenes_observed,0.0405854,0.020501457
Kramatorsk,s1__vv__lu_transition,0.021950126,0.0110358
Lysychansk,s1__vv__z_running_min,0.007104039,0.00355832
Lysychansk,s1__vv__drop_count,0.0024385452,0.0012200369
Lysychansk,s1__vv__date_first_drop,0.0005207062,0.0002603674
Lysychansk,s1__vv__date_worst_drop,0.0008716583,0.00043591505
Lysychansk,s1__vv__max_z_drop,0.0069559813,0.0034840694
Lysychansk,s1__vv__scenes_observed,0.0006598234,0.0003299865
Lysychansk,s1__vv__lu_transition,0.0032231808,0.0016128962
Makariv,s1__vv__z_running_min,0.011911511,0.0059736455
Makariv,s1__vv__date_first_drop,0.31575644,0.17183068
Makariv,s1__vv__date_worst_drop,0.04060924,0.020513602
Makariv,s1__vv__max_z_drop,0.0049830675,0.0024946833
Makariv,s1__vv__scenes_observed,0.0078042746,0.0039097564
Makariv,s1__vv__lu_transition,0.055366993,0.028073931
Mariupol,s1__vv__z_running_min,0.05167246,0.026175825
Mariupol,s1__vv__drop_count,0.0005213022,0.0002606229
Mariupol,s1__vv__date_first_drop,0.0069696903,0.0034908764
Mariupol,s1__vv__date_worst_drop,0.001942873,0.0009718695
Mariupol,s1__vv__max_z_drop,0.05588305,0.028339358
Mariupol,s1__vv__lu_transition,0.006724477,0.0033678575
Okhtyrka,s1__vv__z_running_min,0.71179724,0.43989915
Okhtyrka,s1__vv__drop_count,0.0137120485,0.006879608
Okhtyrka,s1__vv__date_first_drop,0.5945865,0.3528156
Okhtyrka,s1__vv__date_worst_drop,0.015227079,0.0076427204
Okhtyrka,s1__vv__max_z_drop,0.7573401,0.475893
Okhtyrka,s1__vv__lu_transition,0.018048406,0.009065184
Rubizhne,s1__vv__z_running_min,0.099871516,0.051225707
Rubizhne,s1__vv__drop_count,0.003242731,0.0016227067
Rubizhne,s1__vv__date_first_drop,0.0029993057,0.001500694
