timestep,best_auc,best_feature,n_obs
-5,0.5406456660824012,s1__vh,51800
-4,0.5461173911953966,s1__vh,51800
-3,0.5428943165347124,s1__vh,51800
-2,0.5532968925782462,s1__vh,51800
-1,0.5460336898935265,s1__vh,51800
0,0.5428203403511132,s1__vh,51800
1,0.5438601317300984,s1__vh,51800
2,0.5440007230779579,s1__vh,51800
3,0.5498220964975111,s1__vh,41990
4,0.556156894215647,s1__vh,37192
5,0.5874089094233312,s1__vh,28219
6,0.5911586543591256,s1__vh,28219
7,0.5979163055187662,s1__vh,23801
8,0.5872420986312415,s1__vh,23801
9,0.6474928430186229,s1__vv,1186
10,0.6539710179145884,s1__vv,1186
11,0.661639563596297,s1__vv,1186
12,0.6282206416196913,s1__vv,1186
13,0.6595047664020305,s1__vv,1186
14,0.6706214522523586,s1__vv,1186
15,0.651536168580114,s1__vv,1186
16,0.6458597723538845,s1__vv,1186
17,0.6525494594142589,s1__vv,1186
18,0.6663125067634703,s1__vv,1186
19,0.5972513256401932,s1__vh,1186
20,0.6554417652903619,s1__vv,1186
21,0.588574408011884,s1__vv,1186
22,0.6263022754773779,s1__vv,1186
23,0.6337789845448554,s1__vv,1186
24,0.6502474200434829,s1__vv,1186
25,0.6466959832364312,s1__vv,1186
26,0.6330805025135515,s1__vv,1186
27,0.6204291237493729,s1__vv,1186
28,0.6091058446221802,s1__vv,1186
29,0.626302275477378,s1__vv,1186
30,0.6229869452724571,s1__vv,1186
31,0.6178122755757558,s1__vv,1186
32,0.6342905488494722,s1__vv,1186
33,0.6358547550885891,s1__vv,1186
34,0.6099322177296382,s1__vv,1186
35,0.6280238861179156,s1__vv,1186
36,0.6357170262373462,s1__vv,1186
37,0.6205766903757046,s1__vv,1186
38,0.6456236657517536,s1__vv,1186
39,0.6294602012808783,s1__vv,1186
40,0.6276598884396305,s1__vv,1186
41,0.6167301203159894,s1__vv,1186
42,0.5958543615775856,s1__vh,1186
43,0.6310342452950841,s1__vv,1186
44,0.6123621481765684,s1__vv,1186
45,0.603645879447904,s1__vv,1186
46,0.6140640832669283,s1__vv,1186
47,0.6090664935218251,s1__vv,1186
48,0.5801335969857057,s1__vh,1186
49,0.5567492055996617,s1__vv,1186
50,0.5833997383151827,s1__vh,1186
51,0.5990418007063523,s1__vv,1186
52,0.6163857981878818,s1__vv,1186
53,0.5799958681344628,s1__vv,1186
54,0.5692136666371534,s1__vv,1186
55,0.5748015228875837,s1__vv,1186
56,0.5357406368975594,s1__coh__date_first_drop,1186
57,0.548593690051058,s1__vv,1186
58,0.5466458105834784,s1__vh,1186
59,0.5357406368975594,s1__coh__date_first_drop,1186
