city,feature,jm_distance,bhattacharyya
Avdiivka,s2__qa__cloud_freq__crossbattle,1.0935812,0.79140097
Avdiivka,s2__visibility__clear__freq__crossbattle,0.024136662,0.012141736
Avdiivka,s2__visibility__cloud__freq__crossbattle,0.15770471,0.08213498
Avdiivka,s2__visibility__smoke__freq__crossbattle,0.13623774,0.07055
Avdiivka,s2__composite__b02__post_winter_baseline,0.1455605,0.075564735
Avdiivka,s2__composite__b03__post_winter_baseline,0.1389103,0.07198501
Avdiivka,s2__composite__b04__post_winter_baseline,0.12776542,0.06601446
Avdiivka,s2__composite__b05__post_winter_baseline,0.06555748,0.033327967
Avdiivka,s2__composite__b07__post_winter_baseline,0.06952584,0.035381503
Avdiivka,s2__composite__b08__post_winter_baseline,0.10315919,0.052957498
Avdiivka,s2__composite__b11__post_winter_baseline,0.07643139,0.038965024
Avdiivka,s2__composite__b12__post_winter_baseline,0.042889595,0.021678116
Avdiivka,s2__composite__b8a__post_winter_baseline,0.059834957,0.030374097
Avdiivka,s2__composite__cire__post_winter_baseline,0.113945365,0.058660045
Avdiivka,s2__composite__mndwi__post_winter_baseline,0.13442469,0.069577694
Avdiivka,s2__composite__ndbi__post_winter_baseline,0.10503209,0.053945266
Avdiivka,s2__composite__ndre__post_winter_baseline,0.1557604,0.08108007
Avdiivka,s2__composite__ndvi__post_winter_baseline,0.1607027,0.08376361
Avdiivka,s2__composite__ndwi__post_winter_baseline,0.19211423,0.10098903
Avdiivka,s2__obs_count__post_winter_baseline,0.000880599,0.00044043502
Avdiivka,s2__qa__cloud_freq__postbattle,0.00068843365,0.0003442836
Avdiivka,s2__visibility__clear__freq__postbattle,0.000346303,0.0001731924
Avdiivka,s2__visibility__cloud__freq__postbattle,0.00013303757,6.649637e-05
Avdiivka,s2__visibility__smoke__freq__postbattle,0.13623774,0.07055
Avdiivka,s2__qa__cloud_freq__prebattle,0.029034853,0.014623864
Avdiivka,s2__visibility__clear__freq__prebattle,0.03712797,0.0187385
Avdiivka,s2__visibility__cloud__freq__prebattle,0.029672384,0.014947341
Avdiivka,s2__composite__b02__prebattle_baseline,0.0625056,0.031751648
Avdiivka,s2__composite__b03__prebattle_baseline,0.03162825,0.015940502
Avdiivka,s2__composite__b04__prebattle_baseline,0.03661716,0.018478258
Avdiivka,s2__composite__b05__prebattle_baseline,0.14203238,0.07366398
Avdiivka,s2__composite__b07__prebattle_baseline,0.17090392,0.08932528
Avdiivka,s2__composite__b08__prebattle_baseline,0.14097178,0.073093325
Avdiivka,s2__composite__b11__prebattle_baseline,0.17262578,0.09026707
Avdiivka,s2__composite__b12__prebattle_baseline,0.13433623,0.06953026
Avdiivka,s2__composite__b8a__prebattle_baseline,0.19928241,0.10496192
Avdiivka,s2__composite__cire__prebattle_baseline,0.14444304,0.07496234
Avdiivka,s2__composite__mndwi__prebattle_baseline,0.15094948,0.07847494
Avdiivka,s2__composite__ndbi__prebattle_baseline,0.0026261806,0.0013139469
Avdiivka,s2__composite__ndre__prebattle_baseline,0.19719326,0.1038024
Avdiivka,s2__composite__ndvi__prebattle_baseline,0.17649245,0.09238522
Avdiivka,s2__composite__ndwi__prebattle_baseline,0.2137537,0.113030724
Avdiivka,s2__obs_count__prebattle_baseline,0.028607368,0.01440694
Avdiivka,s2__composite__b02__winter_baseline,0.0625056,0.031751648
Avdiivka,s2__composite__b03__winter_baseline,0.03162825,0.015940502
Avdiivka,s2__composite__b04__winter_baseline,0.03661716,0.018478258
Avdiivka,s2__composite__b05__winter_baseline,0.14203238,0.07366398
Avdiivka,s2__composite__b07__winter_baseline,0.17090392,0.08932528
Avdiivka,s2__composite__b08__winter_baseline,0.14097178,0.073093325
Avdiivka,s2__composite__b11__winter_baseline,0.17262578,0.09026707
