timestep,best_auc,best_feature,n_obs
-6.0,0.5784341132928716,s2__ndvi,23265
-5.0,0.6218351364843223,s2__ndvi,31016
-4.0,0.6236004252471146,s2__ndvi,39428
-3.0,0.5991927749873895,s2__ndvi,62043
-7.0,0.6295161364956787,s2__mndwi,6164
-2.0,0.5981542579676277,s2__savi,62043
-1.0,0.6126133522059435,s2__ndvi,62043
0.0,0.6616874781309786,s2__mndwi,62043
1.0,0.6454781366208562,s2__mndwi,62043
2.0,0.6539710179145884,s1__vv,62043
3.0,0.6558508323359808,s2__savi,62043
4.0,0.6706214522523586,s1__vv,56158
5.0,0.6449442250018287,s2__savi,55710
6.0,0.6603615897634117,s2__mndwi,46741
7.0,0.6843946913148653,s2__ndvi,43788
8.0,0.7322760125795387,s2__ndvi,30566
9.0,0.7445772465692784,s2__savi,1650
10.0,0.7559991515419803,s2__savi,1650
11.0,0.7599878264718902,s2__savi,1650
12.0,0.7562804338202744,s2__ndvi,1650
13.0,0.7960940895262929,s2__ndvi,1366
14.0,0.7897313667970447,s2__ndvi,1366
15.0,0.7785473707083876,s2__ndvi,1366
16.0,0.7262874837027379,s2__mndwi,1366
17.0,0.7245355280312907,s2__mndwi,1366
18.0,0.7663244241634073,s2__ndvi,1366
19.0,0.6516120708387657,s2__ndvi,1366
20.0,0.668989026510213,s2__ndvi,1366
21.0,0.8268387096774195,s2__ui,180
22.0,0.816258064516129,s2__ui,180
23.0,0.806709677419355,s2__ui,180
24.0,0.8227096774193549,s2__ui,180
25.0,0.8219354838709677,s2__ui,180
26.0,0.7971612903225807,s2__savi,180
27.0,0.7138064516129032,s2__ndvi,180
28.0,0.7610322580645161,s2__ndvi,180
29.0,0.752,s2__savi,180
30.0,0.7798709677419354,s2__bsi,180
31.0,0.7796129032258063,s2__bsi,180
32.0,0.7661935483870967,s2__ndbi,180
33.0,0.799225806451613,s2__ndbi,180
34.0,0.7997419354838711,s2__ndbi,180
35.0,0.8046451612903226,s2__ndbi,180
36.0,0.8064516129032258,s2__ui,180
37.0,0.824258064516129,s2__ndbi,180
38.0,0.8010322580645162,s2__ui,180
39.0,0.8149677419354838,s2__ui,180
40.0,0.8296774193548386,s2__ui,180
41.0,0.8461935483870968,s2__ui,180
42.0,0.8281290322580646,s2__ui,180
43.0,0.8495483870967742,s2__ndbi,180
44.0,0.8190967741935484,s2__ui,180
45.0,0.8446451612903226,s2__ui,180
46.0,0.7790967741935484,s2__ndvi,180
47.0,0.7700645161290323,s2__savi,180
48.0,0.7852903225806451,s2__ndvi,180
49.0,0.7705806451612903,s2__ndvi,180
50.0,0.7452903225806451,s2__ndvi,180
51.0,0.7481290322580645,s2__ui,180
52.0,0.768,s2__ndbi,180
53.0,0.7509677419354839,s2__ndvi,180
54.0,0.7829677419354839,s2__savi,180
55.0,0.7785806451612903,s2__ndvi,180
56.0,0.783483870967742,s2__savi,180
57.0,0.7860645161290323,s2__ndvi,180
58.0,0.7881290322580645,s2__savi,180
59.0,0.7863225806451613,s2__savi,180
60.0,0.8134193548387096,s2__savi,180
61.0,0.7979354838709678,s2__ndvi,180
62.0,0.791741935483871,s2__savi,180
63.0,0.8167741935483871,s2__ndvi,180
64.0,0.8154838709677419,s2__savi,180
65.0,0.8216774193548387,s2__savi,180
66.0,0.8170322580645161,s2__savi,180
67.0,0.8371612903225806,s2__ui,180
68.0,0.743741935483871,s2__ndvi,180
69.0,0.7569032258064516,s2__ndvi,180
70.0,0.7623225806451613,s2__ndvi,180
71.0,0.7850322580645162,s2__ndvi,180
72.0,0.7525161290322581,s2__ndvi,180
73.0,0.7661935483870967,s2__ndvi,180
