timestep,best_auc,best_feature,n_obs
-6.0,0.543460467512255,s2__b02,20470
-5.0,0.5814776412540794,s2__b02,23219
-4.0,0.590728332361451,s2__b02,28678
-3.0,0.5697648551016299,s2__b02,51293
-7.0,0.6295289855072463,s2__b02,5984
-2.0,0.5711201259269648,s2__b8a,51293
-1.0,0.6026547831654339,s2__b04,51293
0.0,0.6514418375500013,s2__b02,51293
1.0,0.6695129641973109,s2__b02,51293
2.0,0.6777174276668956,s2__b02,45408
3.0,0.6560557414598543,s2__b02,38287
4.0,0.6609928139384429,s2__b02,38287
5.0,0.6435102449994855,s2__b02,30325
6.0,0.678486655870351,s2__b02,24059
7.0,0.6096274428364896,s2__b8a,24059
8.0,0.7071309592716193,s2__b02,23801
9.0,0.7878926501982312,s2__b8a,1186
10.0,0.7877106513590887,s2__b08,1186
11.0,0.7803028067172328,s2__b8a,1186
12.0,0.7835197591712659,s2__b02,1186
13.0,0.7938199096892247,s2__b02,1186
14.0,0.788291080089327,s2__b02,1186
15.0,0.7586793770720814,s2__b02,1186
16.0,0.8003817056734449,s2__b02,1186
17.0,0.8003620301232672,s2__b02,1186
