city,feature,auc_best,mann_whitney_p,direction
Avdiivka,s2__lu__date_first_loss,0.5979006187960532,9.551929371554312e-13,higher=damaged
Avdiivka,s2__lu__date_persistent_loss,0.5617074442444097,0.024803052026024973,higher=damaged
Avdiivka,s2__lu__loss_count,0.5994795816978031,0.0005453196962522505,lower=damaged
Avdiivka,s2__lu__loss_fraction,0.6775029759269643,6.732694732243375e-10,lower=damaged
Avdiivka,s2__lu__final_class,0.5051845074717902,0.8479565896229504,higher=damaged
Avdiivka,s2__lu__modal_post_class,0.6671979065214612,6.805295475923674e-19,higher=damaged
Avdiivka,s2__lu__urban_retained,0.5,1.0,higher=damaged
Avdiivka,s2__lu__scenes_observed,0.5226809904671958,0.42196074909651016,higher=damaged
Bucha,s2__lu__date_first_loss,0.5130112503160201,0.2603080446382372,higher=damaged
Bucha,s2__lu__date_persistent_loss,0.5060605634989748,0.3233180401869633,higher=damaged
Bucha,s2__lu__loss_count,0.5043505435545943,0.6956206536090375,lower=damaged
Bucha,s2__lu__loss_fraction,0.5116839658417371,0.35555318597784236,lower=damaged
Bucha,s2__lu__final_class,0.511459240428102,0.061792077632336,higher=damaged
Bucha,s2__lu__modal_post_class,0.5032497401612406,0.18930633904724403,lower=damaged
Bucha,s2__lu__urban_retained,0.5,1.0,higher=damaged
Bucha,s2__lu__scenes_observed,0.515453383522009,0.03836573313986122,lower=damaged
Chernihiv,s2__lu__date_first_loss,0.5343101515579575,0.012293163530121417,lower=damaged
Chernihiv,s2__lu__date_persistent_loss,0.5112563452933189,0.36013216880618504,lower=damaged
Chernihiv,s2__lu__loss_count,0.5348888605356932,0.005643322891511127,lower=damaged
Chernihiv,s2__lu__loss_fraction,0.5553942967546729,3.550092293795909e-05,lower=damaged
Chernihiv,s2__lu__final_class,0.5189880339387754,0.11048132996010529,higher=damaged
Chernihiv,s2__lu__modal_post_class,0.5169841971438206,0.07101253099925041,higher=damaged
Chernihiv,s2__lu__urban_retained,0.5,1.0,higher=damaged
Chernihiv,s2__lu__scenes_observed,0.5190290448112133,0.05638272233054362,higher=damaged
