city,feature,auc_best,mann_whitney_p,direction
Avdiivka,s2__mahalanobis_running_max,0.713848635992484,7.126639225272267e-12,higher=damaged
Avdiivka,s2__mahalanobis_exceedance_count,0.5022872827081427,0.5144321112091577,lower=damaged
Avdiivka,s2__date_first_exceedance,0.5347076705132368,1.6634555633360503e-05,higher=damaged
Avdiivka,s2__date_worst_exceedance,0.5617467953447648,0.02554083449343414,higher=damaged
Avdiivka,s2__scenes_observed,0.5132072130566951,0.4230656790288789,lower=damaged
Avdiivka,s2__lu_transition,0.572514240179441,0.008219315985978724,lower=damaged
Bucha,s2__mahalanobis_running_max,0.6165025702969185,1.2829127909220213e-07,higher=damaged
Bucha,s2__mahalanobis_exceedance_count,0.5025773195876289,0.00597872207312968,higher=damaged
Bucha,s2__date_first_exceedance,0.5025773195876289,0.00597872207312968,lower=damaged
Bucha,s2__date_worst_exceedance,0.5005688362032641,0.9422802836168804,lower=damaged
Bucha,s2__scenes_observed,0.539502514115565,0.00020961842318346075,higher=damaged
Bucha,s2__lu_transition,0.5008795893143065,0.7664002315115447,higher=damaged
Chernihiv,s2__mahalanobis_running_max,0.673406499767605,2.534032058790033e-26,higher=damaged
Chernihiv,s2__mahalanobis_exceedance_count,0.5082226799238108,0.03759333378661904,lower=damaged
Chernihiv,s2__date_first_exceedance,0.5090201135545489,0.05975894639609533,higher=damaged
Chernihiv,s2__date_worst_exceedance,0.5009523635932814,0.9311377067425171,higher=damaged
Chernihiv,s2__scenes_observed,0.5168805307718246,0.12902079861771196,higher=damaged
Chernihiv,s2__lu_transition,0.5118350542710546,0.28416882599499393,higher=damaged
Chornobaivka,s2__mahalanobis_running_max,0.59391771019678,0.2667427032845783,higher=damaged
Chornobaivka,s2__mahalanobis_exceedance_count,0.5426356589147288,0.27854692644194856,lower=damaged
Chornobaivka,s2__date_first_exceedance,0.5465116279069768,0.2556482258607047,higher=damaged
Chornobaivka,s2__date_worst_exceedance,0.5050685748360166,0.9539397981427572,higher=damaged
Chornobaivka,s2__scenes_observed,0.5,1.0,higher=damaged
Chornobaivka,s2__lu_transition,0.5214669051878356,0.7642639259997718,lower=damaged
Dmytrivka,s2__mahalanobis_running_max,0.5850395547902473,1.4075925006735966e-07,higher=damaged
Dmytrivka,s2__mahalanobis_exceedance_count,0.5,1.0,higher=damaged
Dmytrivka,s2__date_first_exceedance,0.5003603603603604,0.7185832756768695,higher=damaged
Dmytrivka,s2__date_worst_exceedance,0.5156452297172519,0.034891372047428475,higher=damaged
Dmytrivka,s2__scenes_observed,0.5013226522921814,0.4019479068535825,lower=damaged
Dmytrivka,s2__lu_transition,0.5038187217688603,0.3111578254194767,lower=damaged
Hostomel,s2__mahalanobis_running_max,0.5673425323144874,7.225801478360177e-08,higher=damaged
Hostomel,s2__mahalanobis_exceedance_count,0.5006803708626069,0.13636526676097543,higher=damaged
Hostomel,s2__date_first_exceedance,0.5009095945223263,0.6060002481976305,lower=damaged
Hostomel,s2__date_worst_exceedance,0.5225502686025741,0.030208119169647663,lower=damaged
Hostomel,s2__scenes_observed,0.5092575906611903,0.10033722989874404,lower=damaged
Hostomel,s2__lu_transition,0.5188547410294082,0.06239987183319775,lower=damaged
Irpin,s2__mahalanobis_running_max,0.5667699261001186,0.00013103720678139913,higher=damaged
Irpin,s2__mahalanobis_exceedance_count,0.500194193352735,0.9054281841824889,higher=damaged
Irpin,s2__date_first_exceedance,0.5057040972137244,0.08791983290333542,higher=damaged
Irpin,s2__date_worst_exceedance,0.5194632282915772,0.21354584635189244,lower=damaged
Irpin,s2__scenes_observed,0.5069543831833877,0.43264177006288485,higher=damaged
Irpin,s2__lu_transition,0.5218134998962529,0.12154349224246006,higher=damaged
Kharkiv,s2__mahalanobis_running_max,0.5328310566586866,0.08721716140140393,lower=damaged
Kharkiv,s2__mahalanobis_exceedance_count,0.5,1.0,higher=damaged
