city,feature,jm_distance,bhattacharyya
Avdiivka,s1__vh__baseline__kurtosis,0.01943326,0.009764133
Avdiivka,s1__vh__baseline__max,0.035354733,0.017835522
Avdiivka,s1__vh__baseline__mean,0.0123637915,0.0062010465
Avdiivka,s1__vh__baseline__median,0.01081419,0.0054217624
Avdiivka,s1__vh__baseline__min,0.0036485195,0.0018258655
Avdiivka,s1__vh__baseline__skewness,0.01761043,0.008844193
Avdiivka,s1__vh__baseline__std,0.0027641058,0.0013829859
Avdiivka,s1__vv__baseline__kurtosis,0.007064104,0.0035382956
Avdiivka,s1__vv__baseline__max,0.017518282,0.008797695
Avdiivka,s1__vv__baseline__mean,0.03336656,0.016823957
Avdiivka,s1__vv__baseline__median,0.03524077,0.017777458
Avdiivka,s1__vv__baseline__min,0.037163496,0.018756555
Avdiivka,s1__vv__baseline__skewness,0.016757846,0.008414277
Avdiivka,s1__vv__baseline__std,0.013187885,0.006615826
Avdiivka,s1__coh__baseline__max,0.0021685362,0.0010847965
Avdiivka,s1__coh__baseline__mean,0.01887691,0.009483257
Avdiivka,s1__coh__baseline__median,0.019219398,0.009656174
Avdiivka,s1__coh__baseline__min,0.025163054,0.012661286
Avdiivka,s1__coh__baseline__std,0.0055873394,0.0027975575
Borodyanka,s1__vh__baseline__kurtosis,0.007674575,0.0038446775
Borodyanka,s1__vh__baseline__max,0.015408993,0.0077343346
Borodyanka,s1__vh__baseline__mean,0.01925981,0.009676613
Borodyanka,s1__vh__baseline__median,0.016683698,0.008376914
Borodyanka,s1__vh__baseline__min,0.034677386,0.017490698
Borodyanka,s1__vh__baseline__skewness,0.0014609098,0.00073068973
Borodyanka,s1__vh__baseline__std,0.039444685,0.019919472
Borodyanka,s1__vv__baseline__kurtosis,0.0050513744,0.002528822
Borodyanka,s1__vv__baseline__max,0.092828155,0.04752577
Borodyanka,s1__vv__baseline__mean,0.09078026,0.046452526
Borodyanka,s1__vv__baseline__median,0.07706618,0.039295096
Borodyanka,s1__vv__baseline__min,0.09311354,0.047675356
Borodyanka,s1__vv__baseline__skewness,0.013164282,0.006603827
Borodyanka,s1__vv__baseline__std,0.022066474,0.011094538
Borodyanka,s1__coh__baseline__max,0.023509622,0.011824371
Borodyanka,s1__coh__baseline__mean,0.041079998,0.020753859
