feature,VIF
s1__vh__baseline__count,inf
s1__vv__roll3__assessment__count,inf
s1__vh__roll3__assessment__count,inf
s1__vv__baseline__count,inf
s1__coh__baseline__mean,125203.1
s1__coh__baseline__median,31184.416
s1__coh__baseline__max,12614.448
s1__vh__baseline__mean,11222.218
s1__coh__baseline__min,5611.109
s1__vh__baseline__min,4963.6733
s1__vh__baseline__max,2502.1948
s1__vh__baseline__median,2145.973
s1__vv__baseline__mean,1974.4869
s1__vv__baseline__min,1257.3796
s1__vv__baseline__median,445.44434
s1__vv__baseline__max,421.45337
s1__coh__baseline__std,382.55237
s1__vv__baseline__std,292.18417
s1__vh__baseline__std,276.3319
s1__coh__baseline__count,270.6701
s1__vh__baseline__kurtosis,10.007215
s1__vv__baseline__kurtosis,9.0393505
s1__vh__baseline__skewness,5.2125688
s1__vv__baseline__skewness,4.385822
