timestep,best_auc,best_feature,n_obs
-5,0.5337579870947435,s1__vh,62408
-4,0.5398965388344313,s1__vh,62550
-3,0.5396787338495813,s1__vh,62550
-2,0.5479314682391345,s1__vh,62550
-1,0.5393962446880334,s1__vh,62550
0,0.5356873112462938,s1__vh,63243
1,0.5376852008913866,s1__vh,63243
2,0.5354389554333319,s1__vh,63243
3,0.5363716798004172,s1__vh,52740
4,0.5496724149591681,s1__vh,47351
5,0.5754055165737834,s1__vh,35568
6,0.5771399145436689,s1__vh,35568
7,0.5813524158492176,s1__vh,31150
8,0.581651870369762,s1__vh,26148
9,0.5395266143826605,s1__vv,3533
10,0.5343029296964038,s1__vh,3533
11,0.5401161063349164,s1__vv,3533
12,0.5263620801048824,s1__vh,3533
13,0.5374932601420126,s1__vv,3533
14,0.5527736775337543,s1__vv,3533
15,0.5431767485510288,s1__vv,3533
16,0.5511333179279436,s1__vv,3533
17,0.5323921897818251,s1__vh,3533
18,0.5545555152081063,s1__vv,3533
19,0.5704542939353696,s1__vv,1650
20,0.6004777187546111,s1__vv,1650
21,0.5578934262948207,s1__vh,1650
22,0.5843431828242585,s1__vv,1650
23,0.6131165797479357,s1__vv,1366
24,0.6207219687092569,s1__vv,1366
25,0.6203552803129074,s1__vv,1366
26,0.6140197196870926,s1__vv,1366
27,0.6068013906996957,s1__vv,1366
28,0.5932271295089091,s1__vv,1366
29,0.6183113320295524,s1__vv,1366
30,0.6184878857018687,s1__vv,1366
31,0.6044111255975663,s1__vv,1366
32,0.6257469578444155,s1__vv,1366
33,0.618114406779661,s1__vv,1366
34,0.6107263146458062,s1__vv,1366
35,0.6159142764015646,s1__vv,1366
36,0.6182162646675359,s1__vv,1366
37,0.609646621034333,s1__vv,1366
38,0.6254549652325075,s1__vv,1366
39,0.6119486093003043,s1__vv,1366
40,0.6054636571056062,s1__vv,1366
41,0.5981910039113429,s1__vv,1366
42,0.5775885484571925,s1__vv,1366
43,0.6172112668405041,s1__vv,1366
44,0.5986323880921338,s1__vv,1366
45,0.5846167427205563,s1__vv,1366
46,0.577975608431117,s1__vv,1366
47,0.586232887874837,s1__vv,1366
48,0.5578281182094742,s1__vh,1366
49,0.5422031182094741,s1__vv,1366
50,0.5549081920903955,s1__vh,1366
51,0.5928264884832681,s1__vv,1366
52,0.6050765971316818,s1__vv,1366
53,0.5828579965232508,s1__vv,1366
54,0.5760131464580618,s1__vv,1366
55,0.5660310734463276,s1__vv,1366
56,0.5625814863102999,s1__vh,1366
57,0.5454286179921772,s1__vh,1366
58,0.5627444589308996,s1__vh,1366
59,0.533375434593655,s1__vh,1366
60,0.5881290322580646,s1__vv,180
61,0.6258064516129032,s1__vh,180
62,0.6018064516129031,s1__vv,180
63,0.5870967741935483,s1__vv,180
64,0.591483870967742,s1__vh,180
65,0.5736774193548386,s1__vv,180
66,0.5703225806451613,s1__vv,180
67,0.592516129032258,s1__vh,180
68,0.5718709677419355,s1__vv,180
69,0.5899354838709677,s1__vh,180
70,0.5780645161290322,s1__vh,180
71,0.6188387096774194,s1__vh,180
72,0.592516129032258,s1__vh,180
73,0.6369032258064516,s1__vh,180
74,0.599741935483871,s1__vh,180
75,0.5721290322580646,s1__vv,180
76,0.6585806451612903,s1__vh,180
77,0.6353548387096775,s1__vh,180
78,0.6000000000000001,s1__vv,180
79,0.5698064516129031,s1__vv,180
80,0.5886451612903225,s1__vv,180
81,0.5935483870967742,s1__vv,180
82,0.5907096774193548,s1__vv,180
83,0.6206451612903225,s1__vv,180
84,0.5754838709677419,s1__vh,180
85,0.5909677419354838,s1__vh,180
86,0.5458064516129032,s1__vv,180
87,0.5881290322580646,s1__vv,180
88,0.6353548387096775,s1__vh,180
89,0.616774193548387,s1__vh,180
90,0.6038709677419355,s1__vv,180
91,0.5507096774193547,s1__vv,180
92,0.5891612903225806,s1__vv,180
93,0.5460645161290323,s1__vv,180
94,0.6178064516129032,s1__vh,180
95,0.5922580645161291,s1__vv,180
96,0.5610322580645162,s1__vv,180
97,0.5816774193548386,s1__vh,180
98,0.608774193548387,s1__vv,180
99,0.632,s1__vv,180
100,0.6451612903225806,s1__vv,180
101,0.6064516129032258,s1__vh,180
102,0.5754838709677419,s1__vv,180
103,0.6389677419354838,s1__vv,180
104,0.5876129032258064,s1__vv,180
105,0.5994838709677419,s1__vv,180
106,0.583741935483871,s1__vh,180
107,0.5801290322580646,s1__vv,180
108,0.5940645161290322,s1__vh,180
109,0.592516129032258,s1__vv,180
110,0.5803870967741935,s1__vv,180
111,0.5803870967741935,s1__vv,180
112,0.6056774193548388,s1__vv,180
113,0.5698064516129032,s1__vv,180
114,0.5901935483870968,s1__vh,180
115,0.5592258064516129,s1__vh,180
116,0.6792258064516129,s1__vh,180
117,0.5901935483870968,s1__vh,180
118,0.657032258064516,s1__vh,180
119,0.6505806451612903,s1__vh,180
