feature,H_statistic,p_value,significant,n_groups
s2__composite__mndwi__winter_baseline__p50,204.91187210158265,2.5261807681832903e-42,True,6
s2__composite__mndwi__prebattle_baseline__p50,204.91187210158265,2.5261807681832903e-42,True,6
s2__composite__mndwi__prebattle_baseline__p90,203.12946303856165,6.079583794432939e-42,True,6
s2__composite__mndwi__winter_baseline__p90,203.12946303856165,6.079583794432939e-42,True,6
s2__composite__mndwi__winter_baseline__mean,202.6965528157091,7.524937603424887e-42,True,6
s2__composite__mndwi__prebattle_baseline__mean,202.6965528157091,7.524937603424887e-42,True,6
s2__composite__mndwi__prebattle_baseline__max,194.72554936036133,3.815144105974547e-40,True,6
s2__composite__mndwi__winter_baseline__max,194.72554936036133,3.815144105974547e-40,True,6
s2__composite__b12__post_winter_baseline__min,182.6800580334072,1.432178874765375e-37,True,6
s2__composite__b12__post_winter_baseline__p10,174.46609329941398,8.128319300599835e-36,True,6
s2__composite__b03__winter_baseline__std,167.73601001138988,2.2186588668103387e-34,True,6
s2__composite__b03__prebattle_baseline__std,167.73601001138988,2.2186588668103387e-34,True,6
s2__composite__b03__prebattle_baseline__max_abs_delta,166.30351101390397,4.4836623672322976e-34,True,6
s2__composite__b03__winter_baseline__max_abs_delta,166.30351101390397,4.4836623672322976e-34,True,6
s2__composite__b02__winter_baseline__std,164.39168069436613,1.1464094511026028e-33,True,6
s2__composite__b02__prebattle_baseline__std,164.39168069436613,1.1464094511026028e-33,True,6
s2__composite__b02__prebattle_baseline__max_abs_delta,162.8412173150034,2.454258770502453e-33,True,6
s2__composite__b02__winter_baseline__max_abs_delta,162.8412173150034,2.454258770502453e-33,True,6
s2__composite__mndwi__winter_baseline__std,162.54148668343225,2.8432858527959903e-33,True,6
s2__composite__mndwi__prebattle_baseline__std,162.54148668343225,2.8432858527959903e-33,True,6
s2__composite__mndwi__winter_baseline__max_abs_delta,161.8350703150786,4.021742666231835e-33,True,6
s2__composite__mndwi__prebattle_baseline__max_abs_delta,161.8350703150786,4.021742666231835e-33,True,6
s2__composite__ndwi__prebattle_baseline__max_abs_delta,153.3635966024945,2.5667744991544617e-31,True,6
s2__composite__ndwi__winter_baseline__max_abs_delta,153.3635966024945,2.5667744991544617e-31,True,6
s2__composite__b12__post_winter_baseline__mean,152.51721865147485,3.8870315971844477e-31,True,6
s2__composite__ndwi__prebattle_baseline__std,151.86668548866257,5.347260682787247e-31,True,6
s2__composite__ndwi__winter_baseline__std,151.86668548866257,5.347260682787247e-31,True,6
s2__composite__b12__post_winter_baseline__p50,151.67802304797482,5.86542791979219e-31,True,6
s2__composite__mndwi__winter_baseline__p10,151.67014657850365,5.8881202298202995e-31,True,6
s2__composite__mndwi__prebattle_baseline__p10,151.67014657850365,5.8881202298202995e-31,True,6
s2__composite__b11__post_winter_baseline__min,149.70995315071704,1.5390928825451917e-30,True,6
s2__composite__b04__prebattle_baseline__std,147.8387314809574,3.850447262816434e-30,True,6
s2__composite__b04__winter_baseline__std,147.8387314809574,3.850447262816434e-30,True,6
s2__composite__b12__prebattle_baseline__min,146.83284234618336,6.303034045340213e-30,True,6
s2__composite__b12__winter_baseline__min,146.83284234618336,6.303034045340213e-30,True,6
s2__composite__ndvi__prebattle_baseline__max_abs_delta,146.66708478872977,6.83624452923007e-30,True,6
s2__composite__ndvi__winter_baseline__max_abs_delta,146.66708478872977,6.83624452923007e-30,True,6
s2__composite__b04__prebattle_baseline__max_abs_delta,146.19079312054149,8.632822161588792e-30,True,6
