feature,H_statistic,p_value,significant,n_groups
s2__composite__ndvi__post_winter_baseline__min,162.28647207954006,4.726200611862348e-34,True,5
s2__composite__ndvi__post_winter_baseline__p10,159.39028329859792,1.975545949652869e-33,True,5
s2__composite__ndvi__post_winter_baseline__mean,158.4059880909282,3.211939209197661e-33,True,5
s2__composite__ndvi__post_winter_baseline__p50,153.17436150904282,4.2501081869634096e-32,True,5
s2__composite__ndvi__post_winter_baseline__p90,141.19734185803947,1.564198072864053e-29,True,5
s2__composite__ndre__post_winter_baseline__p50,136.92752536478093,1.2832874911141368e-28,True,5
s2__composite__ndre__post_winter_baseline__mean,136.12831203909096,1.9026781651429472e-28,True,5
s2__composite__ndre__post_winter_baseline__p10,133.6537557513316,6.439579696071756e-28,True,5
s2__composite__ndvi__post_winter_baseline__max,131.83907389379883,1.5742067908078784e-27,True,5
s2__composite__ndre__post_winter_baseline__p90,129.23899109217322,5.664251761118194e-27,True,5
s2__composite__ndre__post_winter_baseline__min,128.81481614685214,6.97983280295045e-27,True,5
s2__composite__ndwi__post_winter_baseline__mean,127.59815877014915,1.2705176667167615e-26,True,5
s2__composite__b02__post_winter_baseline__p50,126.43397835576774,2.2535146059714944e-26,True,5
s2__composite__ndre__post_winter_baseline__max,125.94527076966892,2.866329962707226e-26,True,5
s2__composite__ndwi__post_winter_baseline__p90,125.86972036319432,2.974919535155241e-26,True,5
s2__composite__cire__post_winter_baseline__mean,125.55001529181814,3.4818583359945353e-26,True,5
s2__composite__cire__post_winter_baseline__p50,125.1880432435297,4.160812061650978e-26,True,5
s2__composite__ndwi__post_winter_baseline__p50,124.44278849973973,6.00421023184909e-26,True,5
s2__composite__ndwi__post_winter_baseline__max,124.20248993798857,6.757871328947737e-26,True,5
s2__composite__cire__post_winter_baseline__p10,123.83721564986992,8.088526246855858e-26,True,5
s2__qa__cloud_freq__postbattle__p50,120.7376393501038,3.7162293293628925e-25,True,5
s2__qa__cloud_freq__postbattle__p90,119.39731133505741,7.184264929145524e-25,True,5
s2__composite__cire__post_winter_baseline__min,119.11379579918433,8.25907676496166e-25,True,5
s2__visibility__cloud__freq__postbattle__p50,118.80114010060228,9.631662200112252e-25,True,5
s2__visibility__cloud__freq__postbattle__min,118.21427571629756,1.2853524675591472e-24,True,5
s2__qa__cloud_freq__postbattle__min,118.18142334740614,1.3062831833017528e-24,True,5
s2__qa__cloud_freq__postbattle__p10,117.87849390209223,1.5160780639138343e-24,True,5
s2__visibility__cloud__freq__postbattle__p10,116.78910865506963,2.5900843648978226e-24,True,5
s2__composite__b02__post_winter_baseline__mean,116.41563950466892,3.1120326661642982e-24,True,5
s2__composite__cire__post_winter_baseline__p90,114.65412861605884,7.39677529510532e-24,True,5
s2__composite__ndwi__post_winter_baseline__p10,114.22440729383386,9.135923435029927e-24,True,5
s2__composite__mndwi__post_winter_baseline__p50,112.53673963212087,2.093496812526438e-23,True,5
s2__composite__b02__post_winter_baseline__p90,111.05964537683002,4.324959536154413e-23,True,5
s2__composite__mndwi__post_winter_baseline__mean,110.61332939174095,5.384935589219517e-23,True,5
s2__composite__cire__post_winter_baseline__max,109.53215690517757,9.157236653322979e-23,True,5
s2__composite__mndwi__post_winter_baseline__p90,109.38494508318477,9.843679678130567e-23,True,5
s2__visibility__clear__freq__postbattle__p90,109.32692011736256,1.0128173525859236e-22,True,5
s2__composite__ndwi__post_winter_baseline__min,107.20758855632863,2.8667561818057914e-22,True,5
s2__visibility__clear__freq__postbattle__p50,104.92907885319472,8.770126574594203e-22,True,5
s2__composite__mndwi__post_winter_baseline__max,100.59342423936518,7.353684587834403e-21,True,5
s2__composite__b02__post_winter_baseline__max,99.80530560606304,1.0821654683703674e-20,True,5
s2__visibility__cloud__freq__postbattle__p90,86.36968238003686,7.76846239342127e-18,True,5
s2__composite__b03__post_winter_baseline__p90,82.86172541855593,4.310094644516178e-17,True,5
s2__visibility__clear__freq__crossbattle__p90,82.21375108331547,5.913761432238825e-17,True,5
s2__composite__b04__post_winter_baseline__p90,80.78520019821907,1.1875157406023338e-16,True,5
s2__composite__b02__post_winter_baseline__std,80.55547955515867,1.3283599706361966e-16,True,5
s2__composite__mndwi__post_winter_baseline__p10,78.24865104652342,4.09193816410048e-16,True,5
s2__composite__b02__post_winter_baseline__max_abs_delta,77.77028637951543,5.166638076024207e-16,True,5
s2__composite__b03__post_winter_baseline__mean,75.10620158808223,1.8921469434540014e-15,True,5
s2__composite__b02__post_winter_baseline__p10,74.74332712326274,2.257893033532121e-15,True,5
s2__composite__b04__post_winter_baseline__mean,73.33265721003586,4.487134691956762e-15,True,5
s2__composite__mndwi__post_winter_baseline__min,73.15844432567529,4.8842001085510265e-15,True,5
s2__visibility__clear__freq__postbattle__p10,73.09930586221115,5.026820109084871e-15,True,5
s2__composite__b03__post_winter_baseline__max,72.81534517174482,5.771774901363433e-15,True,5
s2__composite__b04__post_winter_baseline__p50,72.37906244449641,7.136856944480933e-15,True,5
s2__visibility__clear__freq__crossbattle__p50,71.04633874894259,1.3647465913376367e-14,True,5
s2__composite__b04__post_winter_baseline__max,70.68940847656948,1.623420866624109e-14,True,5
s2__composite__ndbi__prebattle_baseline__p90,70.46441805128146,1.8110934005701865e-14,True,5
