feature,H_statistic,p_value,significant,n_groups
s2__visibility__fire__freq__crossbattle__p50,471.3850889070365,1.2228563163033932e-98,True,7
s2__composite__ndvi__post_winter_baseline__p10,367.3262000066106,2.9367847957300504e-76,True,7
s2__composite__ndvi__post_winter_baseline__min,358.88942049435366,1.9046894910382837e-74,True,7
s2__composite__ndwi__post_winter_baseline__p90,357.85406779313223,3.1779918262198324e-74,True,7
s2__composite__ndwi__post_winter_baseline__max,347.55748389561705,5.161937466193366e-72,True,7
s2__composite__ndvi__post_winter_baseline__p50,342.413807184383,6.559523175221007e-71,True,7
s2__composite__ndvi__post_winter_baseline__mean,339.412259477677,2.8909957216892323e-70,True,7
s2__composite__ndwi__prebattle_baseline__p90,335.30733662363957,2.1974238675009097e-69,True,7
s2__composite__ndwi__winter_baseline__p90,335.30733662363957,2.1974238675009097e-69,True,7
s2__visibility__fire__freq__crossbattle__p10,331.9551623204061,1.1512093125189106e-68,True,7
s2__composite__ndvi__prebattle_baseline__p10,329.69256277210275,3.52019645998458e-68,True,7
s2__composite__ndvi__winter_baseline__p10,329.69256277210275,3.52019645998458e-68,True,7
s2__composite__ndwi__post_winter_baseline__p50,329.28092314369576,4.313946336525087e-68,True,7
s2__composite__ndwi__post_winter_baseline__mean,322.17538821955895,1.4420820395600708e-66,True,7
s2__composite__ndwi__winter_baseline__max,320.6868612604245,3.00761421862932e-66,True,7
s2__composite__ndwi__prebattle_baseline__max,320.6868612604245,3.00761421862932e-66,True,7
s2__composite__ndvi__prebattle_baseline__min,316.1700414270567,2.7976512459515683e-65,True,7
s2__composite__ndvi__winter_baseline__min,316.1700414270567,2.7976512459515683e-65,True,7
s2__composite__ndvi__winter_baseline__p50,312.54609222754937,1.674073653033542e-64,True,7
s2__composite__ndvi__prebattle_baseline__p50,312.54609222754937,1.674073653033542e-64,True,7
s2__composite__ndbi__winter_baseline__p90,312.31020747939556,1.880808992166592e-64,True,7
s2__composite__ndbi__prebattle_baseline__p90,312.31020747939556,1.880808992166592e-64,True,7
s2__composite__mndwi__post_winter_baseline__p90,308.416650290713,1.2852670771830205e-63,True,7
s2__composite__ndvi__prebattle_baseline__mean,307.61448535354106,1.9095626221734526e-63,True,7
s2__composite__ndvi__winter_baseline__mean,307.61448535354106,1.9095626221734526e-63,True,7
s2__composite__cire__winter_baseline__p10,306.57755617358316,3.1855649639078384e-63,True,7
s2__composite__cire__prebattle_baseline__p10,306.57755617358316,3.1855649639078384e-63,True,7
s2__composite__cire__prebattle_baseline__p50,306.200000389212,3.838029487789118e-63,True,7
s2__composite__cire__winter_baseline__p50,306.200000389212,3.838029487789118e-63,True,7
s2__composite__cire__winter_baseline__mean,301.24035216075765,4.436000167862594e-62,True,7
s2__composite__cire__prebattle_baseline__mean,301.24035216075765,4.436000167862594e-62,True,7
s2__composite__ndwi__prebattle_baseline__p50,301.0687185835994,4.828025706885457e-62,True,7
s2__composite__ndwi__winter_baseline__p50,301.0687185835994,4.828025706885457e-62,True,7
s2__composite__cire__winter_baseline__min,300.71731633563763,5.7420629608611575e-62,True,7
s2__composite__cire__prebattle_baseline__min,300.71731633563763,5.7420629608611575e-62,True,7
s2__composite__mndwi__post_winter_baseline__max,297.8442226917501,2.3695698456092113e-61,True,7
s2__composite__mndwi__post_winter_baseline__mean,295.09827699190936,9.18233855631735e-61,True,7
s2__composite__ndwi__winter_baseline__mean,294.91360240795956,1.0058073951094834e-60,True,7
s2__composite__ndwi__prebattle_baseline__mean,294.91360240795956,1.0058073951094834e-60,True,7
s2__composite__ndbi__prebattle_baseline__p50,288.76478940825984,2.0870693671947784e-59,True,7
s2__composite__ndbi__winter_baseline__p50,288.76478940825984,2.0870693671947784e-59,True,7
s2__composite__ndbi__prebattle_baseline__max,288.6795564076543,2.1766587982387374e-59,True,7
s2__composite__ndbi__winter_baseline__max,288.6795564076543,2.1766587982387374e-59,True,7
s2__composite__ndbi__winter_baseline__mean,281.54967627663683,7.319047005280101e-58,True,7
s2__composite__ndbi__prebattle_baseline__mean,281.54967627663683,7.319047005280101e-58,True,7
s2__composite__mndwi__post_winter_baseline__p50,280.0941165117255,1.4998757796062394e-57,True,7
s2__composite__cire__prebattle_baseline__p90,275.8385445582304,1.2216269584971012e-56,True,7
s2__composite__cire__winter_baseline__p90,275.8385445582304,1.2216269584971012e-56,True,7
s2__composite__ndre__prebattle_baseline__p50,272.6622111561484,5.843647351774243e-56,True,7
s2__composite__ndre__winter_baseline__p50,272.6622111561484,5.843647351774243e-56,True,7
s2__composite__ndvi__post_winter_baseline__p90,271.8428601449319,8.750018460242575e-56,True,7
s2__composite__ndre__post_winter_baseline__p10,268.5376347347097,4.458437167260521e-55,True,7
s2__composite__ndre__post_winter_baseline__min,267.63582864286167,6.951961149692074e-55,True,7
s2__composite__ndre__prebattle_baseline__mean,267.51446327721953,7.380239660438232e-55,True,7
s2__composite__ndre__winter_baseline__mean,267.51446327721953,7.380239660438232e-55,True,7
s2__composite__ndre__prebattle_baseline__p10,267.15918917452836,8.791674279173216e-55,True,7
s2__composite__ndre__winter_baseline__p10,267.15918917452836,8.791674279173216e-55,True,7
s2__composite__b02__post_winter_baseline__p90,267.12269519385535,8.951140780685068e-55,True,7
s2__composite__cire__post_winter_baseline__p10,266.7352604588035,1.0833218446645434e-54,True,7
s2__visibility__fire__freq__crossbattle__min,265.4230973921599,2.0674682515303524e-54,True,7
s2__composite__ndre__prebattle_baseline__min,261.8746983702176,1.1867581821911807e-53,True,7
s2__composite__ndre__winter_baseline__min,261.8746983702176,1.1867581821911807e-53,True,7
s2__composite__b02__post_winter_baseline__max,261.1290232482422,1.7132694824283796e-53,True,7
s2__composite__cire__post_winter_baseline__min,260.96382384983673,1.858458252192829e-53,True,7
s2__composite__cire__prebattle_baseline__max,259.44714217492157,3.9216797747998495e-53,True,7
s2__composite__cire__winter_baseline__max,259.44714217492157,3.9216797747998495e-53,True,7
s2__composite__cire__post_winter_baseline__p50,259.0560324501097,4.7544498501159615e-53,True,7
s2__composite__ndvi__prebattle_baseline__p90,257.3354681743054,1.1091052568318092e-52,True,7
s2__composite__ndvi__winter_baseline__p90,257.3354681743054,1.1091052568318092e-52,True,7
s2__composite__ndre__post_winter_baseline__p50,256.08090432323735,2.0567712982093144e-52,True,7
s2__composite__cire__post_winter_baseline__mean,253.95257723972477,5.8634612978916235e-52,True,7
s2__composite__ndre__post_winter_baseline__mean,251.08548781109693,2.4040898683141577e-51,True,7
s2__composite__ndre__winter_baseline__p90,251.04315598311985,2.4546956443735226e-51,True,7
s2__composite__ndre__prebattle_baseline__p90,251.04315598311985,2.4546956443735226e-51,True,7
s2__composite__ndvi__post_winter_baseline__max,247.06448366524393,1.7385638901863467e-50,True,7
s2__composite__ndwi__post_winter_baseline__p10,239.82578866512452,6.115565550611442e-49,True,7
s2__composite__mndwi__post_winter_baseline__p10,234.65803091772906,7.759603701342536e-48,True,7
s2__composite__ndre__prebattle_baseline__max,234.29196205733493,9.289361934561075e-48,True,7
s2__composite__ndre__winter_baseline__max,234.29196205733493,9.289361934561075e-48,True,7
s2__composite__ndvi__prebattle_baseline__max,230.35078709208975,6.444550296673957e-47,True,7
s2__composite__ndvi__winter_baseline__max,230.35078709208975,6.444550296673957e-47,True,7
s2__composite__mndwi__winter_baseline__p90,229.48591622253653,9.857301316245205e-47,True,7
s2__composite__mndwi__prebattle_baseline__p90,229.48591622253653,9.857301316245205e-47,True,7
s2__composite__ndwi__winter_baseline__p10,229.171333141109,1.1505030571703444e-46,True,7
s2__composite__ndwi__prebattle_baseline__p10,229.171333141109,1.1505030571703444e-46,True,7
s2__composite__cire__post_winter_baseline__p90,228.87014193782034,1.3340075437520738e-46,True,7
s2__composite__mndwi__winter_baseline__max,226.11557384258808,5.1627402115293846e-46,True,7
s2__composite__mndwi__prebattle_baseline__max,226.11557384258808,5.1627402115293846e-46,True,7
s2__composite__mndwi__winter_baseline__p50,222.3680241460921,3.2528461843703537e-45,True,7
s2__composite__mndwi__prebattle_baseline__p50,222.3680241460921,3.2528461843703537e-45,True,7
s2__composite__mndwi__prebattle_baseline__mean,221.95977827637319,3.974946141244314e-45,True,7
s2__composite__mndwi__winter_baseline__mean,221.95977827637319,3.974946141244314e-45,True,7
s2__composite__ndre__post_winter_baseline__p90,220.93991723651945,6.558842323642637e-45,True,7
s2__composite__b02__post_winter_baseline__std,220.11452053769958,9.836447935890867e-45,True,7
s2__composite__cire__post_winter_baseline__max,217.84356112560417,2.9994746640664663e-44,True,7
s2__composite__b02__post_winter_baseline__max_abs_delta,217.42373876911657,3.6859405203543006e-44,True,7
s2__composite__b03__post_winter_baseline__max,213.64750143001956,2.352181102294188e-43,True,7
s2__composite__b02__post_winter_baseline__mean,213.0911516421539,3.0905587227855266e-43,True,7
s2__composite__b03__post_winter_baseline__p90,212.40977006913693,4.317590206598954e-43,True,7
s2__composite__ndwi__post_winter_baseline__min,209.55269251628852,1.7538680930842152e-42,True,7
s2__composite__mndwi__post_winter_baseline__min,208.62987411084356,2.7579574458389018e-42,True,7
s2__composite__ndwi__winter_baseline__min,205.60175700244042,1.2177498926425991e-41,True,7
s2__composite__ndwi__prebattle_baseline__min,205.60175700244042,1.2177498926425991e-41,True,7
s2__composite__ndre__post_winter_baseline__max,203.6085020903138,3.2360019796184855e-41,True,7
s2__composite__b04__post_winter_baseline__max,198.9518975306318,3.1716234623173375e-40,True,7
s2__composite__b04__post_winter_baseline__p90,196.49552641410418,1.0568032191354719e-39,True,7
s2__composite__b03__post_winter_baseline__std,194.69908347291755,2.5479493508038552e-39,True,7
s2__composite__b03__post_winter_baseline__max_abs_delta,193.51989979607987,4.5396782695374403e-39,True,7
s2__composite__ndbi__post_winter_baseline__p90,191.83036228596558,1.0384030679209119e-38,True,7
s2__composite__ndbi__post_winter_baseline__mean,191.6061681381341,1.1588946935628185e-38,True,7
s2__composite__mndwi__winter_baseline__p10,191.1905102034645,1.4204840040355842e-38,True,7
s2__composite__mndwi__prebattle_baseline__p10,191.1905102034645,1.4204840040355842e-38,True,7
s2__composite__b02__post_winter_baseline__p50,188.1481430498872,6.299296931528038e-38,True,7
s2__composite__ndbi__post_winter_baseline__p50,187.11201515775477,1.0460175930721515e-37,True,7
s2__visibility__clear__freq__crossbattle__p90,183.4116665706463,6.395835769041921e-37,True,7
s2__composite__ndbi__prebattle_baseline__p10,183.28828736335393,6.793766940023181e-37,True,7
s2__composite__ndbi__winter_baseline__p10,183.28828736335393,6.793766940023181e-37,True,7
s2__visibility__fire__freq__crossbattle__p90,182.60325145581805,9.498333970579574e-37,True,7
s2__composite__b03__prebattle_baseline__max_abs_delta,180.1873539707462,3.096079004402421e-36,True,7
s2__composite__b03__winter_baseline__max_abs_delta,180.1873539707462,3.096079004402421e-36,True,7
s2__composite__b02__winter_baseline__std,179.80705287365444,3.728881520085885e-36,True,7
s2__composite__b02__prebattle_baseline__std,179.80705287365444,3.728881520085885e-36,True,7
s2__composite__b02__prebattle_baseline__max_abs_delta,178.1296750972912,8.467722196012822e-36,True,7
s2__composite__b02__winter_baseline__max_abs_delta,178.1296750972912,8.467722196012822e-36,True,7
s2__composite__b03__winter_baseline__std,178.03937126987006,8.849939995761366e-36,True,7
s2__composite__b03__prebattle_baseline__std,178.03937126987006,8.849939995761366e-36,True,7
s2__composite__b02__prebattle_baseline__p90,174.88474044895742,4.1362558610700554e-35,True,7
s2__composite__b02__winter_baseline__p90,174.88474044895742,4.1362558610700554e-35,True,7
s2__composite__mndwi__prebattle_baseline__min,172.70950135583098,1.197314563504577e-34,True,7
s2__composite__mndwi__winter_baseline__min,172.70950135583098,1.197314563504577e-34,True,7
s2__composite__b04__prebattle_baseline__max_abs_delta,171.799545485596,1.8675295975949987e-34,True,7
s2__composite__b04__winter_baseline__max_abs_delta,171.799545485596,1.8675295975949987e-34,True,7
s2__composite__ndbi__post_winter_baseline__max,170.92826007476341,2.8582483953534445e-34,True,7
s2__composite__b04__post_winter_baseline__max_abs_delta,168.6662856110832,8.626737070389782e-34,True,7
s2__composite__b04__post_winter_baseline__std,168.3736896923945,9.95159624324898e-34,True,7
s2__composite__b02__prebattle_baseline__max,166.69221529137477,2.2615515869393976e-33,True,7
