feature,H_statistic,p_value,significant,n_groups
s2__composite__ndvi__post_winter_baseline__p10,1342.885410596093,1.6741465089133072e-289,True,5
s2__composite__ndvi__post_winter_baseline__p50,1309.5138436438035,2.8802139416699346e-282,True,5
s2__composite__ndvi__post_winter_baseline__mean,1273.6982692777378,1.6774631640726542e-274,True,5
s2__composite__ndvi__post_winter_baseline__min,1266.7411873627514,5.407408848913108e-273,True,5
s2__composite__ndwi__post_winter_baseline__p50,1262.6909305237418,4.084159276084608e-272,True,5
s2__composite__ndwi__post_winter_baseline__p90,1253.6970257456865,3.639190079936244e-270,True,5
s2__composite__ndwi__post_winter_baseline__mean,1235.515204891285,3.182750917912502e-266,True,5
s2__composite__ndwi__post_winter_baseline__max,1158.8677869810258,1.3146501453757672e-249,True,5
s2__composite__ndre__post_winter_baseline__p10,1139.048970889522,2.5997581629034807e-245,True,5
s2__composite__ndre__post_winter_baseline__p50,1126.8528938888655,1.1444860109868465e-242,True,5
s2__composite__ndre__post_winter_baseline__min,1124.4583823521307,3.7813759938055955e-242,True,5
s2__composite__ndre__post_winter_baseline__mean,1119.7025579616989,4.060004984154841e-241,True,5
s2__composite__ndvi__prebattle_baseline__p50,1111.536743821379,2.390767918081769e-239,True,5
s2__composite__cire__post_winter_baseline__p10,1107.02427528503,2.2732333151817564e-238,True,5
s2__composite__ndvi__prebattle_baseline__mean,1100.0945386241922,7.222623995738291e-237,True,5
s2__composite__ndvi__prebattle_baseline__p10,1093.8890969715487,1.5985907514066182e-235,True,5
s2__composite__cire__post_winter_baseline__p50,1090.5230776398535,8.576757287630384e-235,True,5
s2__composite__cire__post_winter_baseline__min,1087.0079428072195,4.9570737308448367e-234,True,5
s2__composite__cire__post_winter_baseline__mean,1076.0709477246726,1.163536416359781e-231,True,5
s2__composite__ndvi__prebattle_baseline__min,1022.709398917711,4.276086223141655e-220,True,5
s2__composite__ndre__post_winter_baseline__p90,1019.7445622592728,1.8775614915468196e-219,True,5
s2__composite__mndwi__post_winter_baseline__mean,970.5051873997514,8.797072229075645e-209,True,5
s2__composite__ndre__post_winter_baseline__max,969.212449982833,1.6767751752244964e-208,True,5
s2__composite__ndvi__post_winter_baseline__p90,969.0937167698297,1.7791162578244826e-208,True,5
s2__composite__mndwi__post_winter_baseline__p50,964.8780617986397,1.457916786031765e-207,True,5
s2__composite__cire__post_winter_baseline__p90,961.7140378384394,7.069167764604204e-207,True,5
s2__composite__ndwi__post_winter_baseline__p10,951.8312273818427,9.793020495360006e-205,True,5
s2__composite__ndwi__prebattle_baseline__p50,926.4733122320999,3.059256298442598e-199,True,5
s2__composite__ndwi__prebattle_baseline__mean,920.8214507387165,5.13156989203204e-198,True,5
s2__composite__cire__post_winter_baseline__max,900.8117776126818,1.111156151802091e-193,True,5
s2__composite__cire__prebattle_baseline__mean,888.0070678232943,6.608132409166815e-191,True,5
s2__composite__ndwi__prebattle_baseline__p90,876.0666469318817,2.552949442272332e-188,True,5
s2__composite__cire__prebattle_baseline__p50,875.504032903219,3.380134163132617e-188,True,5
s2__composite__ndvi__prebattle_baseline__p90,873.2651939003298,1.0327190500293608e-187,True,5
s2__composite__ndvi__winter_baseline__p50,872.3059580896806,1.666484879216465e-187,True,5
s2__composite__ndre__prebattle_baseline__mean,863.1302567883571,1.620681452743159e-185,True,5
s2__composite__ndre__prebattle_baseline__p50,852.7978981470226,2.806226865061468e-183,True,5
s2__composite__cire__prebattle_baseline__p90,845.6976538519027,9.689442108977922e-182,True,5
s2__composite__ndvi__post_winter_baseline__max,843.9862397083111,2.275359112423735e-181,True,5
s2__composite__ndvi__winter_baseline__p10,838.8000111554148,3.0238105679795645e-180,True,5
s2__composite__ndre__prebattle_baseline__p90,836.8798912049201,7.879713103656347e-180,True,5
s2__composite__ndwi__post_winter_baseline__min,834.7265988574115,2.306618062712846e-179,True,5
s2__composite__mndwi__post_winter_baseline__p10,833.2659176994409,4.7796903024230446e-179,True,5
s2__composite__cire__prebattle_baseline__max,824.3541828854414,4.072863485324047e-177,True,5
s2__composite__ndre__prebattle_baseline__max,821.0085612494755,2.1608791759095447e-176,True,5
s2__composite__ndbi__post_winter_baseline__max,817.452959774759,1.273031674989861e-175,True,5
s2__composite__ndbi__post_winter_baseline__p90,816.6940084677868,1.858835576439179e-175,True,5
s2__composite__cire__prebattle_baseline__p10,816.0293986323259,2.5894436685224337e-175,True,5
s2__composite__ndwi__winter_baseline__p50,812.6501377852425,1.3970304127293168e-174,True,5
s2__composite__ndvi__winter_baseline__mean,810.4406631134649,4.205403832980827e-174,True,5
s2__composite__ndwi__prebattle_baseline__max,805.5503544935227,4.820617694835291e-173,True,5
s2__composite__ndre__prebattle_baseline__p10,793.2346504779689,2.242588139674586e-170,True,5
s2__composite__cire__prebattle_baseline__min,777.2702049727047,6.43543031704031e-167,True,5
s2__composite__ndvi__winter_baseline__min,773.0333941417937,5.3237998355362924e-166,True,5
s2__composite__ndvi__prebattle_baseline__max,771.6343015367345,1.0696608957584303e-165,True,5
s2__composite__ndre__prebattle_baseline__min,764.856839275758,3.1414628470890926e-164,True,5
s2__composite__ndwi__winter_baseline__mean,763.5401687815273,6.057549633098033e-164,True,5
s2__composite__mndwi__post_winter_baseline__p90,762.6864100311069,9.272646996125857e-164,True,5
s2__composite__ndwi__prebattle_baseline__p10,728.8768060203123,1.946376101078096e-156,True,5
s2__composite__mndwi__post_winter_baseline__min,728.6841533698793,2.142625472173858e-156,True,5
s2__composite__mndwi__prebattle_baseline__p90,725.9608351475296,8.330779269987516e-156,True,5
