feature,H_statistic,p_value,significant,n_groups
s2__composite__b12__winter_baseline__p50,27.454096462116368,1.60891984909744e-05,True,5
s2__composite__b12__prebattle_baseline__p50,27.454096462116368,1.60891984909744e-05,True,5
s2__composite__b12__prebattle_baseline__p90,25.165078326307135,4.660726720620723e-05,True,5
s2__composite__b12__winter_baseline__p90,25.165078326307135,4.660726720620723e-05,True,5
s2__composite__b12__winter_baseline__mean,23.90074480646571,8.361832540430593e-05,True,5
s2__composite__b12__prebattle_baseline__mean,23.90074480646571,8.361832540430593e-05,True,5
s2__composite__b12__prebattle_baseline__max,23.11409501570852,0.00012015049865998237,True,5
s2__composite__b12__winter_baseline__max,23.11409501570852,0.00012015049865998237,True,5
s2__composite__ndbi__winter_baseline__max,16.47620376243057,0.002442421189789127,True,5
s2__composite__ndbi__prebattle_baseline__max,16.47620376243057,0.002442421189789127,True,5
s2__composite__b12__winter_baseline__p10,16.267181940639635,0.002680821403535267,True,5
s2__composite__b12__prebattle_baseline__p10,16.267181940639635,0.002680821403535267,True,5
s2__composite__ndbi__prebattle_baseline__mean,15.989142289628223,0.0030337677332664802,True,5
s2__composite__ndbi__winter_baseline__mean,15.989142289628223,0.0030337677332664802,True,5
s2__composite__b12__prebattle_baseline__std,15.704189909057702,0.0034429011498912426,True,5
s2__composite__b12__winter_baseline__std,15.704189909057702,0.0034429011498912426,True,5
s2__visibility__fire__freq__postbattle__p50,15.508261009326743,0.0037552333270420898,True,5
s2__composite__b12__winter_baseline__max_abs_delta,15.248857970533065,0.004211947163162332,True,5
s2__composite__b12__prebattle_baseline__max_abs_delta,15.248857970533065,0.004211947163162332,True,5
s2__composite__ndbi__winter_baseline__p90,15.100405206735005,0.00449743689035475,True,5
s2__composite__ndbi__prebattle_baseline__p90,15.100405206735005,0.00449743689035475,True,5
s2__composite__cire__prebattle_baseline__p50,14.322975004482128,0.006332494415697122,True,5
s2__composite__cire__winter_baseline__p50,14.322975004482128,0.006332494415697122,True,5
s2__composite__ndbi__winter_baseline__p50,13.586735306485531,0.008737819704838718,True,5
s2__composite__ndbi__prebattle_baseline__p50,13.586735306485531,0.008737819704838718,True,5
s2__composite__ndbi__prebattle_baseline__p10,13.318052856863932,0.00982189157055129,True,5
s2__composite__ndbi__winter_baseline__p10,13.318052856863932,0.00982189157055129,True,5
s2__visibility__fire__freq__postbattle__p10,12.967892578652037,0.01143374672217541,True,5
s2__composite__b8a__prebattle_baseline__p10,12.81367166031662,0.012223041077496492,True,5
s2__composite__b8a__winter_baseline__p10,12.81367166031662,0.012223041077496492,True,5
s2__visibility__fire__freq__postbattle__min,12.478784306505013,0.01412435160445662,True,5
s2__composite__ndbi__prebattle_baseline__min,12.220503486910914,0.015784701092716215,True,5
