feature,H_statistic,p_value,significant,n_groups
s2__composite__mndwi__prebattle_baseline__mean,3259.1180581143203,0.0,True,6
s2__composite__mndwi__winter_baseline__mean,3259.0873852736895,0.0,True,6
s2__composite__mndwi__prebattle_baseline__p50,3146.581914092951,0.0,True,6
s2__composite__mndwi__winter_baseline__p50,3146.5667964604586,0.0,True,6
s2__composite__mndwi__prebattle_baseline__p90,3051.727069113013,0.0,True,6
s2__composite__mndwi__winter_baseline__p90,3051.51231308443,0.0,True,6
s2__composite__ndwi__post_winter_baseline__p90,2796.168040967208,0.0,True,6
s2__composite__mndwi__post_winter_baseline__mean,2781.5152914846135,0.0,True,6
s2__composite__mndwi__prebattle_baseline__max,2707.7279794078536,0.0,True,6
s2__composite__mndwi__winter_baseline__max,2707.572349654372,0.0,True,6
s2__composite__mndwi__post_winter_baseline__p50,2644.343337087652,0.0,True,6
s2__composite__ndwi__post_winter_baseline__mean,2627.8321446737,0.0,True,6
s2__composite__ndwi__post_winter_baseline__max,2621.805780089281,0.0,True,6
s2__composite__ndvi__post_winter_baseline__p10,2613.997744820462,0.0,True,6
s2__composite__ndwi__prebattle_baseline__p90,2591.3780430170295,0.0,True,6
s2__composite__ndwi__winter_baseline__p90,2591.223058033525,0.0,True,6
s2__composite__ndwi__post_winter_baseline__p50,2570.922435353766,0.0,True,6
s2__composite__ndvi__prebattle_baseline__p10,2569.800421065066,0.0,True,6
s2__composite__ndvi__winter_baseline__p10,2569.5277879781743,0.0,True,6
s2__composite__mndwi__post_winter_baseline__p90,2543.720196477382,0.0,True,6
s2__composite__mndwi__winter_baseline__p10,2518.560006197221,0.0,True,6
s2__composite__mndwi__prebattle_baseline__p10,2518.4029899252178,0.0,True,6
s2__composite__ndvi__post_winter_baseline__min,2473.3618171095886,0.0,True,6
s2__composite__ndvi__prebattle_baseline__min,2457.0746296815487,0.0,True,6
s2__composite__ndvi__winter_baseline__min,2456.9400095840388,0.0,True,6
s2__composite__ndwi__prebattle_baseline__max,2433.8314931983814,0.0,True,6
s2__composite__ndwi__winter_baseline__max,2433.730206992657,0.0,True,6
s2__composite__ndvi__post_winter_baseline__mean,2362.2143511233025,0.0,True,6
s2__composite__ndvi__post_winter_baseline__p50,2332.730565278205,0.0,True,6
s2__composite__mndwi__winter_baseline__min,2256.0260709231684,0.0,True,6
s2__composite__mndwi__prebattle_baseline__min,2255.9118659241426,0.0,True,6
s2__composite__mndwi__post_winter_baseline__max,2208.2600268833976,0.0,True,6
s2__composite__mndwi__post_winter_baseline__p10,2190.0782109693837,0.0,True,6
s2__composite__ndwi__prebattle_baseline__mean,2159.6295200617337,0.0,True,6
s2__composite__ndwi__winter_baseline__mean,2159.5204673214116,0.0,True,6
s2__composite__ndwi__prebattle_baseline__p50,2118.0469476610997,0.0,True,6
s2__composite__ndwi__winter_baseline__p50,2117.9580447942153,0.0,True,6
s2__composite__ndre__prebattle_baseline__min,2114.5206152536653,0.0,True,6
s2__composite__ndre__winter_baseline__min,2114.359123941539,0.0,True,6
s2__composite__ndre__post_winter_baseline__p10,2110.2938346249416,0.0,True,6
s2__composite__ndre__prebattle_baseline__p10,2105.386402172737,0.0,True,6
s2__composite__ndre__winter_baseline__p10,2105.1395204463097,0.0,True,6
s2__composite__ndre__post_winter_baseline__min,2076.9772594853625,0.0,True,6
s2__composite__cire__post_winter_baseline__p10,2064.9989055434107,0.0,True,6
s2__composite__cire__post_winter_baseline__min,2049.987937780581,0.0,True,6
s2__composite__ndre__post_winter_baseline__p50,2017.130083478075,0.0,True,6
s2__composite__ndre__post_winter_baseline__mean,2007.138984610676,0.0,True,6
s2__composite__mndwi__post_winter_baseline__min,1990.4971115205954,0.0,True,6
s2__composite__ndre__prebattle_baseline__mean,1965.8654736251196,0.0,True,6
s2__composite__ndre__winter_baseline__mean,1965.6701335637497,0.0,True,6
s2__composite__ndvi__prebattle_baseline__mean,1965.641774282633,0.0,True,6
s2__composite__ndvi__winter_baseline__mean,1965.39028661493,0.0,True,6
s2__composite__ndre__prebattle_baseline__p50,1960.0523347250648,0.0,True,6
s2__composite__ndre__winter_baseline__p50,1959.8615381127338,0.0,True,6
s2__composite__ndvi__prebattle_baseline__p50,1952.1866365700032,0.0,True,6
s2__composite__ndvi__winter_baseline__p50,1951.9597628074514,0.0,True,6
s2__composite__cire__post_winter_baseline__p50,1936.0916293405794,0.0,True,6
s2__composite__cire__post_winter_baseline__mean,1915.4677922106234,0.0,True,6
s2__composite__cire__prebattle_baseline__min,1841.2381485203618,0.0,True,6
s2__composite__cire__winter_baseline__min,1841.0454350702748,0.0,True,6
s2__composite__cire__prebattle_baseline__p10,1813.6491453565839,0.0,True,6
s2__composite__cire__winter_baseline__p10,1813.3686019092065,0.0,True,6
s2__composite__ndwi__post_winter_baseline__p10,1802.4629398992722,0.0,True,6
s2__composite__b02__winter_baseline__p90,1721.6795033805404,0.0,True,6
s2__composite__b02__prebattle_baseline__p90,1721.4389655505133,0.0,True,6
s2__composite__b02__winter_baseline__mean,1709.4198877647732,0.0,True,6
s2__composite__b02__prebattle_baseline__mean,1709.1454862259866,0.0,True,6
s2__composite__b02__winter_baseline__p50,1695.435638958796,0.0,True,6
s2__composite__b02__prebattle_baseline__p50,1695.150857011648,0.0,True,6
s2__composite__ndre__post_winter_baseline__p90,1670.6542595874166,0.0,True,6
s2__composite__b02__post_winter_baseline__p90,1654.5547090562652,0.0,True,6
s2__composite__ndre__prebattle_baseline__p90,1617.5732886063279,0.0,True,6
s2__composite__ndre__winter_baseline__p90,1617.3064135561783,0.0,True,6
s2__composite__cire__prebattle_baseline__mean,1602.4109282219163,0.0,True,6
s2__composite__cire__winter_baseline__mean,1602.170818153889,0.0,True,6
s2__composite__cire__prebattle_baseline__p50,1595.6154668443191,0.0,True,6
s2__composite__cire__winter_baseline__p50,1595.404046391578,0.0,True,6
s2__composite__ndvi__post_winter_baseline__p90,1571.9538364239204,0.0,True,6
s2__composite__ndwi__post_winter_baseline__min,1568.8806115523423,0.0,True,6
s2__composite__cire__post_winter_baseline__p90,1562.5926769891332,0.0,True,6
s2__composite__ndre__post_winter_baseline__max,1538.2263750033244,0.0,True,6
s2__composite__b02__winter_baseline__max,1503.3716445368016,0.0,True,6
s2__composite__b02__prebattle_baseline__max,1503.2731908152189,0.0,True,6
s2__composite__ndre__prebattle_baseline__max,1493.584885721251,0.0,True,6
s2__composite__ndre__winter_baseline__max,1493.3915639579673,0.0,True,6
s2__composite__b02__post_winter_baseline__max,1465.7454834207472,0.0,True,6
s2__composite__b8a__post_winter_baseline__min,1453.7640738947152,0.0,True,6
s2__composite__b02__post_winter_baseline__mean,1452.2544489292782,0.0,True,6
s2__composite__b03__winter_baseline__p90,1447.0369116945824,8.838231238255e-311,True,6
s2__composite__b03__prebattle_baseline__p90,1446.8350942400532,9.7745939750985e-311,True,6
s2__composite__cire__post_winter_baseline__max,1425.2692005724434,4.60578276147975e-306,True,6
s2__composite__b8a__post_winter_baseline__p10,1411.1304432085453,5.3334735549854665e-303,True,6
s2__composite__b02__post_winter_baseline__p50,1398.1908173437573,3.3948584157433215e-300,True,6
s2__composite__b04__prebattle_baseline__p90,1383.652556135274,4.7969552423312695e-297,True,6
s2__composite__b04__winter_baseline__p90,1383.5219646146734,5.1199044545833366e-297,True,6
s2__composite__b08__post_winter_baseline__min,1381.1408095575432,1.6795872881807893e-296,True,6
s2__composite__b08__post_winter_baseline__p10,1367.4745554107203,1.5357599094904116e-293,True,6
s2__composite__b02__post_winter_baseline__std,1344.0380065376883,1.837639411274066e-288,True,6
s2__composite__ndwi__prebattle_baseline__p10,1343.5628275879162,2.329239153308212e-288,True,6
s2__composite__ndwi__winter_baseline__p10,1343.423584659218,2.4967949828441233e-288,True,6
s2__composite__ndvi__post_winter_baseline__max,1341.4264440346396,6.762211421604042e-288,True,6
s2__composite__b03__post_winter_baseline__p90,1340.3290129254221,1.169123821472761e-287,True,6
s2__composite__b03__winter_baseline__p50,1336.6907200003577,7.180219081929233e-287,True,6
s2__composite__b03__prebattle_baseline__p50,1336.4010247854333,8.296658681412648e-287,True,6
s2__composite__b03__post_winter_baseline__std,1325.3069568990786,2.1014890323233212e-284,True,6
s2__composite__b03__winter_baseline__mean,1315.1319415280818,3.365042198189458e-282,True,6
s2__composite__b03__prebattle_baseline__mean,1314.86760430177,3.839369073544321e-282,True,6
s2__composite__b03__winter_baseline__max,1301.5547165290202,2.9410163987897822e-279,True,6
s2__composite__b03__prebattle_baseline__max,1301.4530022202819,3.094094648906081e-279,True,6
s2__composite__b02__post_winter_baseline__max_abs_delta,1263.9172448539653,4.190681703108911e-271,True,6
s2__composite__b04__prebattle_baseline__max,1257.804878162234,8.83924552014005e-270,True,6
s2__composite__b04__winter_baseline__max,1257.7181901432593,9.22984554787057e-270,True,6
s2__composite__cire__prebattle_baseline__p90,1250.2943358520502,3.7446690274816015e-268,True,6
s2__composite__cire__winter_baseline__p90,1249.9351943205106,4.4793312478691344e-268,True,6
s2__composite__b04__post_winter_baseline__p90,1248.8910639311493,7.540491871694631e-268,True,6
s2__composite__b03__post_winter_baseline__max_abs_delta,1245.297286039256,4.527978576317374e-267,True,6
s2__composite__b04__post_winter_baseline__std,1231.5846478638034,4.230233950679242e-264,True,6
s2__composite__b04__prebattle_baseline__mean,1217.8321630065777,4.030651275805926e-261,True,6
s2__composite__b04__winter_baseline__mean,1217.793726267941,4.1086687611792075e-261,True,6
s2__composite__b03__post_winter_baseline__max,1194.1552407855409,5.41981894166044e-256,True,6
s2__composite__b04__prebattle_baseline__p50,1180.4510457362412,5.038559214639706e-253,True,6
s2__composite__b04__winter_baseline__p50,1180.4155141336735,5.128641955474589e-253,True,6
s2__composite__b04__prebattle_baseline__std,1172.58313974756,2.5494784184240953e-251,True,6
s2__composite__b04__winter_baseline__std,1172.503875212842,2.6522804997436944e-251,True,6
s2__composite__b03__prebattle_baseline__std,1169.6861187798775,1.0812415730781835e-250,True,6
s2__composite__b03__winter_baseline__std,1169.5615358506066,1.1505521413663707e-250,True,6
s2__composite__b8a__post_winter_baseline__mean,1164.6580538770536,1.3272465613800903e-249,True,6
s2__composite__ndvi__prebattle_baseline__p90,1161.8976981153799,5.257897160743387e-249,True,6
s2__composite__ndvi__winter_baseline__p90,1161.5509512320718,6.250476277102758e-249,True,6
s2__composite__b04__post_winter_baseline__max_abs_delta,1152.8728411825061,4.736569526019061e-247,True,6
s2__composite__b8a__post_winter_baseline__p50,1129.3352174315328,5.931707133821995e-242,True,6
s2__composite__cire__prebattle_baseline__max,1129.2124953827674,6.306055455655338e-242,True,6
s2__composite__cire__winter_baseline__max,1128.9925384791393,7.037106758339341e-242,True,6
s2__composite__b04__post_winter_baseline__max,1122.118283605122,2.1684431121174187e-240,True,6
s2__composite__b03__prebattle_baseline__max_abs_delta,1099.273738753827,1.9204493041519384e-235,True,6
s2__composite__b03__winter_baseline__max_abs_delta,1099.1588929806412,2.033636608675432e-235,True,6
s2__composite__mndwi__post_winter_baseline__std,1098.4570401139295,2.8857813306462215e-235,True,6
s2__composite__ndwi__prebattle_baseline__min,1096.2150339674167,8.826332987204683e-235,True,6
s2__composite__ndwi__winter_baseline__min,1096.1491884269578,9.120936365694438e-235,True,6
s2__composite__b04__prebattle_baseline__max_abs_delta,1092.6655889040514,5.181119819649502e-234,True,6
s2__composite__b04__winter_baseline__max_abs_delta,1092.5765874703768,5.416229826132022e-234,True,6
s2__composite__b11__post_winter_baseline__min,1089.0338253399416,3.168737044044891e-233,True,6
s2__composite__b02__prebattle_baseline__std,1079.3570514615883,3.947910620879791e-231,True,6
s2__composite__b02__winter_baseline__std,1079.265029824585,4.1332732521972515e-231,True,6
s2__composite__b02__winter_baseline__p10,1067.3160295596242,1.5986281257878075e-228,True,6
s2__composite__b02__prebattle_baseline__p10,1066.8527001403793,2.0140758748469167e-228,True,6
s2__composite__b07__post_winter_baseline__min,1058.4562176615832,1.324985625048975e-226,True,6
s2__composite__b11__post_winter_baseline__p10,1029.0323710449775,3.1130611257315542e-220,True,6
