feature,H_statistic,p_value,significant,n_groups
s2__composite__ndvi__prebattle_baseline__p50,106.32816484336043,4.414116174387566e-22,True,5
s2__composite__ndvi__winter_baseline__p50,106.32816484336043,4.414116174387566e-22,True,5
s2__composite__ndvi__winter_baseline__mean,105.10743276825153,8.035272048036759e-22,True,5
s2__composite__ndvi__prebattle_baseline__mean,105.10743276825153,8.035272048036759e-22,True,5
s2__composite__b08__post_winter_baseline__mean,99.20286282136333,1.4539010364652658e-20,True,5
s2__composite__ndvi__winter_baseline__p90,96.5692023671792,5.2841530938137254e-20,True,5
s2__composite__ndvi__prebattle_baseline__p90,96.5692023671792,5.2841530938137254e-20,True,5
s2__composite__ndvi__post_winter_baseline__mean,96.54966387843126,5.334970541673805e-20,True,5
s2__composite__b08__post_winter_baseline__p50,95.60065661893088,8.491881512493394e-20,True,5
s2__composite__ndwi__post_winter_baseline__mean,94.69333252034035,1.3242520057697984e-19,True,5
s2__composite__ndwi__post_winter_baseline__p50,92.90758390980407,3.1742813129571672e-19,True,5
s2__composite__ndwi__post_winter_baseline__p10,92.76513608859186,3.4034959395119452e-19,True,5
s2__composite__b8a__post_winter_baseline__p90,92.71962120208532,3.480166568939074e-19,True,5
s2__composite__cire__prebattle_baseline__p50,91.61359841649282,5.979554298964176e-19,True,5
s2__composite__cire__winter_baseline__p50,91.61359841649282,5.979554298964176e-19,True,5
s2__composite__cire__winter_baseline__mean,90.94999649320891,8.273296310695051e-19,True,5
s2__composite__cire__prebattle_baseline__mean,90.94999649320891,8.273296310695051e-19,True,5
s2__composite__ndvi__post_winter_baseline__p90,90.72486665211247,9.236591622175312e-19,True,5
s2__composite__ndwi__post_winter_baseline__min,90.3573795300683,1.105569227163014e-18,True,5
s2__composite__b08__post_winter_baseline__p10,89.56710064351698,1.6272739890786627e-18,True,5
s2__composite__ndvi__post_winter_baseline__p50,89.56432391629397,1.629485391285634e-18,True,5
s2__composite__ndwi__winter_baseline__p50,89.11373012090428,2.0312024155263934e-18,True,5
s2__composite__ndwi__prebattle_baseline__p50,89.11373012090428,2.0312024155263934e-18,True,5
s2__composite__ndwi__prebattle_baseline__mean,88.33922661144074,2.9663817879847684e-18,True,5
s2__composite__ndwi__winter_baseline__mean,88.33922661144074,2.9663817879847684e-18,True,5
s2__composite__b8a__post_winter_baseline__mean,87.1194492018886,5.3851086570974704e-18,True,5
s2__composite__ndre__prebattle_baseline__p50,87.0308554123855,5.6234186901428155e-18,True,5
s2__composite__ndre__winter_baseline__p50,87.0308554123855,5.6234186901428155e-18,True,5
s2__composite__ndvi__post_winter_baseline__max,86.74266013851448,6.4740064147170505e-18,True,5
s2__composite__cire__post_winter_baseline__mean,86.66946784461612,6.709780129572908e-18,True,5
s2__composite__b8a__post_winter_baseline__p50,86.55380923171614,7.099967869686866e-18,True,5
s2__composite__ndvi__post_winter_baseline__p10,86.36027531431871,7.804256816579446e-18,True,5
s2__composite__cire__prebattle_baseline__p10,86.02708444069145,9.184220219066606e-18,True,5
s2__composite__cire__winter_baseline__p10,86.02708444069145,9.184220219066606e-18,True,5
s2__composite__ndre__post_winter_baseline__mean,85.4854600518306,1.1966691429446003e-17,True,5
s2__composite__ndvi__winter_baseline__p10,85.40487105128942,1.2447253319317302e-17,True,5
s2__composite__ndvi__prebattle_baseline__p10,85.40487105128942,1.2447253319317302e-17,True,5
s2__composite__ndre__post_winter_baseline__p50,85.28566124792421,1.3193708297763849e-17,True,5
s2__composite__b8a__post_winter_baseline__max,84.8429375518898,1.637927619323003e-17,True,5
s2__composite__cire__winter_baseline__p90,84.61633930355086,1.8296381625039874e-17,True,5
s2__composite__cire__prebattle_baseline__p90,84.61633930355086,1.8296381625039874e-17,True,5
s2__composite__ndre__winter_baseline__mean,84.51095831752843,1.9262812547925836e-17,True,5
s2__composite__ndre__prebattle_baseline__mean,84.51095831752843,1.9262812547925836e-17,True,5
s2__composite__cire__post_winter_baseline__p50,83.72877878489973,2.822431043042423e-17,True,5
s2__composite__ndre__post_winter_baseline__p90,83.63788990093815,2.950522502358078e-17,True,5
s2__composite__cire__post_winter_baseline__p90,83.38316326227388,3.34132254130595e-17,True,5
s2__composite__cire__post_winter_baseline__p10,82.79307211815666,4.457005749697408e-17,True,5
s2__composite__b08__post_winter_baseline__p90,81.88446496314432,6.944898447785017e-17,True,5
s2__composite__b11__winter_baseline__min,81.82288490191947,7.15680039656005e-17,True,5
s2__composite__b11__prebattle_baseline__min,81.82288490191947,7.15680039656005e-17,True,5
s2__composite__b11__winter_baseline__p10,81.73399705894957,7.474116687649948e-17,True,5
