city,feature,n,mean,std,skewness,kurtosis,shapiro_stat,shapiro_p,is_normal_005,pct_nan
Avdiivka,s2__qa__cloud_freq__crossbattle__p10,1186,2.8983977e-05,0.00076235295,28.949722,879.45294,0.016334223072848708,6.693055287021863e-61,False,0.0
Avdiivka,s2__qa__cloud_freq__crossbattle__p50,1186,7.904722e-05,0.0016425089,26.564539,779.5602,0.0239931949140213,9.226961322784281e-61,False,0.0
Avdiivka,s2__qa__cloud_freq__crossbattle__p90,1186,0.00016138807,0.0028322812,18.169613,339.89575,0.030946340094855973,1.237228951122516e-60,False,0.0
Avdiivka,s2__qa__cloud_freq__crossbattle__min,1186,1.3174536e-05,0.0003585979,30.444511,967.6653,0.01544441998230961,6.448891442224103e-61,False,0.0
Avdiivka,s2__qa__cloud_freq__crossbattle__max_abs_delta,1186,0.00014821353,0.002585871,17.76924,318.92804,0.03091129884214494,1.2353958160675582e-60,False,0.0
Avdiivka,s2__visibility__clear__freq__crossbattle__p10,1186,0.99588954,0.025041511,-14.543117,283.98126,0.14179514124975812,1.72153934268977e-58,False,0.0
Avdiivka,s2__visibility__clear__freq__crossbattle__p50,1186,0.99868256,0.013400208,-19.833714,514.72943,0.06978776773929607,6.587068689106175e-60,False,0.0
Avdiivka,s2__visibility__clear__freq__crossbattle__p90,1186,0.9996522,0.006352864,-23.971497,654.91327,0.02949680180261094,1.1636667332910866e-60,False,0.0
Avdiivka,s2__visibility__clear__freq__crossbattle__min,1186,0.99546796,0.026043864,-13.287122,243.93181,0.15517174209661033,3.237517429748474e-58,False,0.0
Avdiivka,s2__visibility__clear__freq__crossbattle__max_abs_delta,1186,0.00426855,0.022927547,10.875626,169.87584,0.1739550841824795,7.97338191338126e-58,False,0.0
Avdiivka,s2__visibility__cloud__freq__crossbattle__p10,1186,0.00012647556,0.0043556094,34.394775,1181.0007,0.010319536044120059,5.209184982928243e-61,False,0.0
Avdiivka,s2__visibility__cloud__freq__crossbattle__p50,1186,0.00063237775,0.007676927,16.152264,325.5691,0.05531511010930645,3.5085893301673873e-60,False,0.0
Avdiivka,s2__visibility__cloud__freq__crossbattle__p90,1186,0.0032462056,0.020764697,13.613007,248.85318,0.13563545247784103,1.2906946250687926e-58,False,0.0
Avdiivka,s2__visibility__cloud__freq__crossbattle__min,1186,0.0,0.0,,,1.0,1.0,True,0.0
Avdiivka,s2__visibility__cloud__freq__crossbattle__max_abs_delta,1186,0.0037942664,0.021910122,11.938207,200.94083,0.1567737469523166,3.493880486671539e-58,False,0.0
Avdiivka,s2__visibility__fire__freq__crossbattle__p10,1186,0.0,0.0,,,1.0,1.0,True,0.0
Avdiivka,s2__visibility__fire__freq__crossbattle__p50,1186,0.00010539629,0.0025654843,24.289948,588.00165,0.01801282793981962,7.179677200738041e-61,False,0.0
Avdiivka,s2__visibility__fire__freq__crossbattle__p90,1186,0.00029510958,0.0044374894,15.726786,253.47052,0.03936734819227705,1.7692038657260192e-60,False,0.0
Avdiivka,s2__visibility__fire__freq__crossbattle__min,1186,0.0,0.0,,,1.0,1.0,True,0.0
Avdiivka,s2__visibility__fire__freq__crossbattle__max_abs_delta,1186,0.00042158517,0.006780259,20.973166,516.18097,0.035911339274497855,1.5271846731459008e-60,False,0.0
Avdiivka,s2__visibility__smoke__freq__crossbattle__p10,1186,8.4317035e-05,0.0020523877,24.289946,588.00146,0.01801282793981962,7.179677200738041e-61,False,0.0
Avdiivka,s2__visibility__smoke__freq__crossbattle__p50,1186,0.00015809444,0.0031407364,19.807474,390.3359,0.02478174531628996,9.538217902812045e-61,False,0.0
Avdiivka,s2__visibility__smoke__freq__crossbattle__p90,1186,0.0005480607,0.005738225,10.638609,111.783134,0.06710061282207802,5.856369280082553e-60,False,0.0
Avdiivka,s2__visibility__smoke__freq__crossbattle__min,1186,0.0,0.0,,,1.0,1.0,True,0.0
Avdiivka,s2__visibility__smoke__freq__crossbattle__max_abs_delta,1186,0.00063237775,0.0062575336,9.789971,93.84351,0.07248990069148442,7.415950947778956e-60,False,0.0
Avdiivka,s2__composite__b02__post_winter_baseline__mean,1186,0.3409812,0.09424174,1.1781662,2.304974,0.9301620428332017,4.346841479782143e-23,False,0.0
Avdiivka,s2__composite__b02__post_winter_baseline__p10,1186,0.2907426,0.075666316,1.4882748,4.7248387,0.9108600223139081,8.619658820979402e-26,False,0.0
Avdiivka,s2__composite__b02__post_winter_baseline__p50,1186,0.33746663,0.09601298,1.2794868,2.618939,0.9194426282048263,1.1914130473403422e-24,False,0.0
