feature,VIF
s2__composite__ndwi__prebattle_baseline__mean,410.10062
s2__composite__b8a__prebattle_baseline__p10,376.2298
s2__composite__b11__prebattle_baseline__mean,370.1047
s2__composite__b11__prebattle_baseline__p10,335.04175
s2__composite__b8a__prebattle_baseline__min,282.49228
s2__composite__b07__prebattle_baseline__p10,273.3514
s2__composite__b11__prebattle_baseline__min,261.35583
s2__composite__b11__prebattle_baseline__p50,238.59402
s2__composite__b07__prebattle_baseline__min,230.94162
s2__composite__ndre__prebattle_baseline__mean,198.90472
s2__composite__b11__post_winter_baseline__min,193.92262
s2__composite__b04__post_winter_baseline__std,192.11066
s2__composite__b11__post_winter_baseline__p10,189.41896
s2__composite__ndre__post_winter_baseline__mean,186.19835
s2__composite__b03__post_winter_baseline__std,184.22128
s2__composite__b12__prebattle_baseline__p10,180.87473
s2__composite__b12__prebattle_baseline__min,177.77371
s2__composite__ndre__post_winter_baseline__p10,156.81107
s2__composite__ndwi__post_winter_baseline__mean,129.8707
s2__composite__ndvi__post_winter_baseline__mean,129.72609
s2__composite__ndre__prebattle_baseline__p50,125.485916
s2__composite__ndre__post_winter_baseline__p50,121.74695
s2__composite__ndvi__prebattle_baseline__mean,120.35306
s2__composite__b04__post_winter_baseline__max_abs_delta,120.278854
s2__composite__ndre__post_winter_baseline__min,105.657295
s2__composite__b03__post_winter_baseline__max_abs_delta,94.765114
s2__composite__b08__post_winter_baseline__std,89.418396
s2__composite__b08__post_winter_baseline__max_abs_delta,76.059555
s2__composite__ndwi__prebattle_baseline__p50,72.30842
s2__composite__mndwi__prebattle_baseline__mean,68.940475
s2__composite__ndwi__prebattle_baseline__p90,60.6659
s2__composite__ndvi__post_winter_baseline__p50,54.86354
s2__composite__b8a__prebattle_baseline__p50,53.798477
s2__composite__ndvi__post_winter_baseline__p10,53.379456
s2__composite__ndwi__prebattle_baseline__p10,53.30754
s2__composite__ndwi__post_winter_baseline__p90,52.415203
s2__composite__ndwi__post_winter_baseline__p50,50.81849
s2__composite__ndvi__prebattle_baseline__p50,46.943718
s2__composite__mndwi__prebattle_baseline__p10,42.08381
s2__composite__ndvi__prebattle_baseline__p10,39.391365
s2__composite__b02__post_winter_baseline__std,37.918983
s2__composite__ndre__prebattle_baseline__p90,35.903374
s2__composite__b08__prebattle_baseline__p10,35.450764
s2__composite__mndwi__prebattle_baseline__p50,33.33171
s2__composite__ndwi__post_winter_baseline__max,27.885157
s2__composite__mndwi__prebattle_baseline__min,26.24487
s2__composite__ndvi__post_winter_baseline__min,26.11248
s2__composite__b08__prebattle_baseline__min,22.929342
s2__composite__ndwi__prebattle_baseline__max,22.468452
s2__composite__ndvi__prebattle_baseline__min,19.764153
