feature,VIF
s2__composite__b02__post_winter_baseline__max_abs_delta,inf
s2__composite__b02__post_winter_baseline__max,inf
s2__composite__b02__post_winter_baseline__min,inf
s2__composite__ndre__post_winter_baseline__mean,1617.548828125
s2__composite__b05__post_winter_baseline__mean,1468.3367919921875
s2__composite__cire__post_winter_baseline__mean,1278.2640380859375
s2__composite__b03__post_winter_baseline__mean,1107.11474609375
s2__composite__ndvi__post_winter_baseline__mean,1046.54833984375
s2__composite__b04__post_winter_baseline__mean,1017.1708374023438
s2__composite__b02__post_winter_baseline__mean,792.3872680664062
s2__composite__b02__post_winter_baseline__std,753.5918579101562
s2__composite__b03__post_winter_baseline__max,672.8919677734375
s2__composite__b03__post_winter_baseline__std,658.9119262695312
s2__composite__b05__post_winter_baseline__p90,621.8389892578125
s2__composite__b03__post_winter_baseline__max_abs_delta,589.0049438476562
s2__composite__b04__post_winter_baseline__max,546.4534912109375
s2__composite__b04__post_winter_baseline__std,529.9686279296875
s2__composite__b03__post_winter_baseline__p90,526.9722900390625
s2__composite__ndwi__post_winter_baseline__mean,495.8685302734375
s2__composite__b04__post_winter_baseline__max_abs_delta,488.3343811035156
s2__composite__b02__post_winter_baseline__p90,436.2137145996094
s2__composite__b04__post_winter_baseline__p90,426.04473876953125
s2__composite__b05__post_winter_baseline__max,423.0047912597656
s2__composite__ndre__post_winter_baseline__p10,311.57196044921875
s2__composite__b05__post_winter_baseline__p50,305.3734130859375
s2__composite__ndre__post_winter_baseline__p50,268.26806640625
s2__composite__ndre__post_winter_baseline__p90,245.15548706054688
s2__composite__cire__post_winter_baseline__p10,239.63685607910156
s2__composite__b05__post_winter_baseline__std,236.54869079589844
s2__composite__cire__post_winter_baseline__p90,214.01693725585938
s2__composite__cire__post_winter_baseline__p50,204.4829864501953
s2__composite__b05__post_winter_baseline__max_abs_delta,193.9114227294922
s2__composite__ndre__post_winter_baseline__min,138.9521026611328
s2__composite__ndvi__post_winter_baseline__p50,134.16299438476562
s2__composite__b03__post_winter_baseline__p50,132.87936401367188
s2__composite__cire__post_winter_baseline__min,115.03614044189453
s2__composite__b02__post_winter_baseline__p50,113.61827850341797
s2__composite__b04__post_winter_baseline__p50,107.79016876220703
s2__composite__ndvi__post_winter_baseline__p10,107.02349090576172
s2__composite__ndvi__post_winter_baseline__p90,105.1085433959961
s2__composite__b02__post_winter_baseline__p10,95.63481903076172
s2__composite__mndwi__post_winter_baseline__max,95.59068298339844
s2__composite__mndwi__post_winter_baseline__max_abs_delta,92.2656478881836
s2__composite__mndwi__post_winter_baseline__p90,85.35157012939453
s2__composite__mndwi__post_winter_baseline__std,83.51069641113281
s2__composite__ndwi__post_winter_baseline__p90,79.4308090209961
s2__composite__ndwi__post_winter_baseline__p50,78.25121307373047
s2__composite__ndvi__post_winter_baseline__min,46.79954528808594
s2__composite__ndwi__post_winter_baseline__max,44.335845947265625
s2__composite__ndvi__post_winter_baseline__max,41.69215774536133
