feature,VIF
s2__composite__b07__prebattle_baseline__max_abs_delta,inf
s2__composite__b07__winter_baseline__max_abs_delta,inf
s2__composite__b8a__prebattle_baseline__max_abs_delta,inf
s2__composite__b8a__winter_baseline__max_abs_delta,inf
s2__composite__b07__post_winter_baseline__mean,1799.165283203125
s2__composite__b07__post_winter_baseline__p90,920.7626342773438
s2__composite__b12__prebattle_baseline__mean,617.67236328125
s2__composite__b12__prebattle_baseline__p10,464.2027587890625
s2__composite__b05__post_winter_baseline__max,450.1896057128906
s2__composite__b05__post_winter_baseline__mean,324.4544677734375
s2__composite__b12__prebattle_baseline__p50,306.3212585449219
s2__composite__b07__post_winter_baseline__max,306.1871032714844
s2__composite__b07__post_winter_baseline__p50,274.27197265625
s2__composite__b12__prebattle_baseline__min,269.0208435058594
s2__composite__b07__post_winter_baseline__std,250.35763549804688
s2__composite__b03__post_winter_baseline__std,231.42263793945312
s2__composite__b02__post_winter_baseline__std,229.31912231445312
s2__composite__b03__post_winter_baseline__max,229.13121032714844
s2__composite__b02__post_winter_baseline__max_abs_delta,219.35302734375
s2__composite__b03__post_winter_baseline__max_abs_delta,199.1904754638672
s2__composite__b8a__prebattle_baseline__std,186.83700561523438
s2__composite__b02__post_winter_baseline__max,185.1258544921875
s2__composite__b07__prebattle_baseline__std,160.71823120117188
s2__composite__b07__post_winter_baseline__max_abs_delta,155.82794189453125
s2__composite__b05__post_winter_baseline__max_abs_delta,148.4354705810547
s2__composite__b08__post_winter_baseline__mean,146.86195373535156
s2__composite__b05__post_winter_baseline__std,118.73892211914062
s2__composite__mndwi__post_winter_baseline__max_abs_delta,82.51792907714844
s2__composite__mndwi__post_winter_baseline__std,78.39747619628906
s2__composite__b07__prebattle_baseline__max,63.02461624145508
s2__composite__b07__prebattle_baseline__p50,49.810482025146484
s2__composite__b03__prebattle_baseline__min,46.314300537109375
s2__composite__ndwi__post_winter_baseline__std,45.87523651123047
s2__composite__ndwi__post_winter_baseline__max_abs_delta,43.31672286987305
s2__composite__b08__post_winter_baseline__p50,41.79810333251953
s2__composite__b08__post_winter_baseline__p90,41.11387634277344
s2__composite__b11__prebattle_baseline__min,38.3873176574707
s2__composite__b04__prebattle_baseline__min,35.655391693115234
s2__composite__b02__prebattle_baseline__min,31.254186630249023
s2__composite__b04__prebattle_baseline__p90,29.699392318725586
s2__composite__b04__prebattle_baseline__p10,28.983901977539062
s2__composite__b08__prebattle_baseline__min,22.370128631591797
s2__composite__b08__post_winter_baseline__max,21.12201499938965
s2__composite__b03__prebattle_baseline__p90,20.207353591918945
s2__composite__b04__post_winter_baseline__max_abs_delta,19.458635330200195
s2__composite__b12__post_winter_baseline__min,17.814823150634766
s2__composite__b11__winter_baseline__max_abs_delta,12.24323844909668
s2__composite__b05__prebattle_baseline__max_abs_delta,11.554986000061035
s2__composite__ndbi__prebattle_baseline__min,5.215228080749512
s2__composite__ndre__post_winter_baseline__max_abs_delta,4.287571430206299
