feature,VIF
s2__composite__b12__winter_baseline__max_abs_delta,inf
s2__composite__b12__prebattle_baseline__max_abs_delta,inf
s2__composite__b11__prebattle_baseline__max_abs_delta,inf
s2__composite__b11__winter_baseline__max_abs_delta,inf
s2__composite__b03__prebattle_baseline__max_abs_delta,inf
s2__composite__b03__winter_baseline__max_abs_delta,inf
s2__composite__mndwi__winter_baseline__max_abs_delta,inf
s2__composite__mndwi__prebattle_baseline__max_abs_delta,inf
s2__composite__b02__prebattle_baseline__max_abs_delta,inf
s2__composite__b02__winter_baseline__max_abs_delta,inf
s2__composite__ndre__prebattle_baseline__max_abs_delta,inf
s2__composite__b08__winter_baseline__max_abs_delta,inf
s2__composite__b08__prebattle_baseline__max_abs_delta,inf
s2__composite__b04__winter_baseline__max_abs_delta,inf
s2__composite__b04__prebattle_baseline__max_abs_delta,inf
s2__composite__cire__prebattle_baseline__max_abs_delta,inf
s2__composite__cire__winter_baseline__max_abs_delta,inf
s2__composite__ndre__winter_baseline__max_abs_delta,inf
s2__composite__ndbi__winter_baseline__max_abs_delta,inf
s2__composite__ndbi__prebattle_baseline__max_abs_delta,inf
s2__composite__cire__prebattle_baseline__mean,1010.0064086914062
s2__composite__b12__prebattle_baseline__p90,764.1986083984375
s2__composite__b11__prebattle_baseline__max,706.4091186523438
s2__composite__b11__prebattle_baseline__p90,673.1619873046875
s2__composite__b12__prebattle_baseline__max,671.7603759765625
s2__composite__ndwi__prebattle_baseline__mean,377.9503479003906
s2__composite__cire__prebattle_baseline__p10,320.41436767578125
s2__composite__b12__prebattle_baseline__std,264.67913818359375
s2__composite__b11__prebattle_baseline__std,257.99591064453125
s2__composite__b03__prebattle_baseline__std,230.40878295898438
s2__composite__b04__prebattle_baseline__std,207.31552124023438
s2__composite__cire__prebattle_baseline__p50,197.49517822265625
s2__composite__ndre__prebattle_baseline__p10,162.43612670898438
s2__composite__cire__prebattle_baseline__min,160.44772338867188
s2__composite__ndre__prebattle_baseline__min,158.66180419921875
s2__composite__b08__prebattle_baseline__std,151.37930297851562
s2__composite__cire__prebattle_baseline__std,143.4612274169922
s2__composite__ndvi__prebattle_baseline__mean,130.65350341796875
s2__composite__ndwi__prebattle_baseline__p90,118.3936996459961
s2__composite__b12__prebattle_baseline__p50,113.79707336425781
s2__composite__ndre__prebattle_baseline__std,92.22557830810547
s2__composite__ndwi__prebattle_baseline__p50,81.10106658935547
s2__composite__ndbi__prebattle_baseline__std,72.9688491821289
s2__composite__ndwi__prebattle_baseline__std,66.453369140625
s2__composite__mndwi__prebattle_baseline__std,64.77664184570312
s2__composite__ndvi__prebattle_baseline__p50,64.30590057373047
s2__composite__ndvi__prebattle_baseline__p10,52.709476470947266
s2__composite__ndwi__prebattle_baseline__max,51.48311996459961
s2__composite__ndwi__prebattle_baseline__max_abs_delta,41.23878479003906
s2__composite__ndvi__prebattle_baseline__min,26.693336486816406
