feature,VIF
s2__composite__b02__post_winter_baseline__max,inf
s2__composite__b02__post_winter_baseline__min,inf
s2__composite__b02__post_winter_baseline__max_abs_delta,inf
s2__composite__b05__post_winter_baseline__mean,1854.245849609375
s2__composite__ndre__post_winter_baseline__mean,1653.7423095703125
s2__composite__b03__prebattle_baseline__mean,1233.9818115234375
s2__composite__b02__prebattle_baseline__mean,1220.69384765625
s2__composite__b03__post_winter_baseline__mean,927.481689453125
s2__composite__b02__post_winter_baseline__mean,847.376953125
s2__composite__b04__post_winter_baseline__mean,819.960693359375
s2__composite__b02__post_winter_baseline__std,390.10430908203125
s2__composite__b05__post_winter_baseline__p90,327.06036376953125
s2__composite__ndre__post_winter_baseline__p50,301.282470703125
s2__composite__ndre__post_winter_baseline__p10,294.5955505371094
s2__composite__b05__post_winter_baseline__p50,289.52191162109375
s2__composite__ndre__post_winter_baseline__p90,282.3544006347656
s2__composite__b02__prebattle_baseline__p90,249.3677978515625
s2__composite__b03__prebattle_baseline__p90,243.14100646972656
s2__composite__b02__post_winter_baseline__p90,241.86163330078125
s2__composite__b05__post_winter_baseline__p10,227.48150634765625
s2__composite__b03__prebattle_baseline__p50,225.53053283691406
s2__composite__cire__post_winter_baseline__mean,209.1322479248047
s2__composite__b03__post_winter_baseline__p90,196.7078857421875
s2__composite__b02__prebattle_baseline__p50,195.14971923828125
s2__composite__b02__post_winter_baseline__p10,188.74343872070312
s2__composite__b04__prebattle_baseline__mean,185.10543823242188
s2__composite__b03__prebattle_baseline__p10,179.1212921142578
s2__composite__b04__post_winter_baseline__p90,176.23497009277344
s2__composite__cire__post_winter_baseline__p10,160.68128967285156
s2__composite__b02__prebattle_baseline__p10,160.30821228027344
s2__composite__b02__post_winter_baseline__p50,152.15220642089844
s2__composite__cire__post_winter_baseline__p50,149.18650817871094
s2__composite__b03__post_winter_baseline__p50,147.1388702392578
s2__composite__b03__post_winter_baseline__p10,140.4244842529297
s2__composite__ndre__post_winter_baseline__min,133.65318298339844
s2__composite__b04__post_winter_baseline__p50,133.2212371826172
s2__composite__b04__post_winter_baseline__p10,113.92302703857422
s2__composite__b04__prebattle_baseline__p50,113.459228515625
s2__composite__b05__post_winter_baseline__max,111.90779113769531
s2__composite__b04__prebattle_baseline__p10,111.72000122070312
s2__composite__b03__post_winter_baseline__max,110.44544982910156
s2__composite__cire__post_winter_baseline__min,107.69744873046875
s2__composite__ndre__post_winter_baseline__max,106.62084197998047
s2__composite__b03__prebattle_baseline__min,92.58029174804688
s2__composite__b02__prebattle_baseline__min,80.22808074951172
s2__composite__b02__prebattle_baseline__max,73.87752532958984
s2__composite__b03__post_winter_baseline__min,72.63650512695312
s2__composite__b04__prebattle_baseline__min,72.46739196777344
s2__composite__b04__post_winter_baseline__max,72.09061431884766
s2__composite__b04__post_winter_baseline__min,63.287322998046875
