feature,VIF
s2__composite__mndwi__prebattle_baseline__max_abs_delta,inf
s2__composite__mndwi__winter_baseline__max_abs_delta,inf
s2__composite__b05__winter_baseline__max_abs_delta,inf
s2__composite__b04__winter_baseline__max_abs_delta,inf
s2__composite__b04__prebattle_baseline__max_abs_delta,inf
s2__composite__b11__prebattle_baseline__max_abs_delta,inf
s2__composite__b08__prebattle_baseline__max_abs_delta,inf
s2__composite__b08__winter_baseline__max_abs_delta,inf
s2__composite__b12__prebattle_baseline__max_abs_delta,inf
s2__composite__b12__winter_baseline__max_abs_delta,inf
s2__composite__b11__winter_baseline__max_abs_delta,inf
s2__composite__ndbi__prebattle_baseline__max_abs_delta,inf
s2__composite__ndbi__winter_baseline__max_abs_delta,inf
s2__composite__b07__prebattle_baseline__max_abs_delta,inf
s2__composite__b07__winter_baseline__max_abs_delta,inf
s2__composite__b03__prebattle_baseline__max_abs_delta,inf
s2__composite__b03__winter_baseline__max_abs_delta,inf
s2__composite__b05__prebattle_baseline__max_abs_delta,inf
s2__composite__ndre__prebattle_baseline__mean,1529.2330322265625
s2__composite__cire__prebattle_baseline__mean,1304.8076171875
s2__composite__ndre__prebattle_baseline__p50,266.8726501464844
s2__composite__ndre__prebattle_baseline__p90,265.18115234375
s2__composite__b03__prebattle_baseline__std,259.1956481933594
s2__composite__b04__prebattle_baseline__std,245.17340087890625
s2__composite__ndre__prebattle_baseline__p10,225.12197875976562
s2__composite__cire__prebattle_baseline__p90,224.91978454589844
s2__composite__cire__prebattle_baseline__p50,216.0453338623047
s2__composite__cire__prebattle_baseline__p10,179.73341369628906
s2__composite__b08__prebattle_baseline__std,144.60250854492188
s2__composite__b12__prebattle_baseline__std,140.98263549804688
s2__composite__ndvi__prebattle_baseline__mean,140.67056274414062
s2__composite__b11__prebattle_baseline__std,118.21601104736328
s2__composite__b05__prebattle_baseline__std,114.3119125366211
s2__composite__b07__prebattle_baseline__std,104.80061340332031
s2__composite__ndre__prebattle_baseline__max,82.05060577392578
s2__composite__ndre__prebattle_baseline__min,80.09173583984375
s2__composite__ndvi__prebattle_baseline__p10,78.91966247558594
s2__composite__ndwi__prebattle_baseline__p90,72.50936126708984
s2__composite__b04__prebattle_baseline__p90,68.1385726928711
s2__composite__ndvi__prebattle_baseline__p50,64.56822967529297
s2__composite__cire__prebattle_baseline__min,62.24365234375
s2__composite__ndbi__prebattle_baseline__std,60.015724182128906
s2__composite__mndwi__prebattle_baseline__std,59.347618103027344
s2__composite__ndvi__prebattle_baseline__min,48.91302490234375
s2__composite__ndwi__prebattle_baseline__mean,48.44789505004883
s2__composite__ndwi__prebattle_baseline__max,45.3171272277832
s2__composite__mndwi__prebattle_baseline__p90,40.8521842956543
s2__composite__b04__prebattle_baseline__p50,39.393585205078125
s2__composite__mndwi__prebattle_baseline__p50,33.14247131347656
s2__composite__b02__prebattle_baseline__std,28.30670738220215
