feature,VIF
s2__composite__ndre__prebattle_baseline__mean,4105.02
s2__composite__cire__prebattle_baseline__mean,3251.3984
s2__composite__ndvi__prebattle_baseline__mean,1488.3975
s2__composite__ndwi__prebattle_baseline__mean,1427.3623
s2__composite__ndwi__post_winter_baseline__mean,1288.6716
s2__composite__ndvi__post_winter_baseline__mean,1221.0492
s2__composite__ndre__post_winter_baseline__mean,886.2298
s2__composite__ndre__prebattle_baseline__p90,797.0174
s2__composite__ndre__prebattle_baseline__p10,796.60114
s2__composite__cire__post_winter_baseline__mean,655.4112
s2__composite__cire__prebattle_baseline__p10,643.12555
s2__composite__ndre__prebattle_baseline__p50,617.05896
s2__composite__cire__prebattle_baseline__p90,604.58435
s2__composite__ndre__post_winter_baseline__p10,565.232
s2__composite__cire__prebattle_baseline__p50,548.7054
s2__composite__ndre__post_winter_baseline__p50,476.27365
s2__composite__cire__post_winter_baseline__p10,452.5332
s2__composite__cire__post_winter_baseline__p50,395.53046
s2__composite__ndre__post_winter_baseline__min,376.53378
s2__composite__ndre__prebattle_baseline__min,356.1966
s2__composite__ndre__prebattle_baseline__max,333.8218
s2__composite__cire__prebattle_baseline__min,304.89062
s2__composite__cire__post_winter_baseline__min,300.6562
s2__composite__cire__prebattle_baseline__max,273.9182
s2__composite__ndvi__prebattle_baseline__p90,255.32988
s2__composite__ndwi__post_winter_baseline__p10,246.6621
s2__composite__ndwi__prebattle_baseline__p10,240.68195
s2__composite__ndvi__post_winter_baseline__p90,235.73106
s2__composite__ndvi__prebattle_baseline__p50,224.19843
s2__composite__ndwi__prebattle_baseline__p50,219.19826
s2__composite__ndwi__prebattle_baseline__p90,213.0846
s2__composite__ndvi__prebattle_baseline__p10,211.76936
s2__composite__ndvi__post_winter_baseline__p50,205.25601
s2__composite__ndwi__post_winter_baseline__p50,200.72041
s2__composite__ndwi__post_winter_baseline__p90,193.7211
s2__composite__ndvi__post_winter_baseline__p10,172.75618
s2__composite__ndvi__prebattle_baseline__max,128.27304
s2__composite__ndwi__prebattle_baseline__min,124.70151
s2__composite__ndwi__post_winter_baseline__min,121.44291
s2__composite__ndvi__post_winter_baseline__max,120.73327
s2__composite__ndwi__prebattle_baseline__max,103.03263
s2__composite__ndvi__prebattle_baseline__min,90.67981
s2__composite__ndwi__post_winter_baseline__max,88.70732
s2__composite__mndwi__post_winter_baseline__mean,85.79458
s2__composite__ndvi__post_winter_baseline__min,85.10996
s2__composite__mndwi__post_winter_baseline__p90,62.52037
s2__composite__b02__post_winter_baseline__max,60.66678
s2__composite__b02__post_winter_baseline__p90,56.67672
s2__composite__mndwi__post_winter_baseline__max,49.671417
s2__composite__mndwi__post_winter_baseline__p50,46.337837
