feature,VIF
s2__composite__ndre__prebattle_baseline__max_abs_delta,inf
s2__composite__ndre__winter_baseline__max_abs_delta,inf
s2__composite__b07__winter_baseline__max_abs_delta,inf
s2__composite__b07__prebattle_baseline__max_abs_delta,inf
s2__composite__b05__prebattle_baseline__max_abs_delta,inf
s2__composite__b05__winter_baseline__max_abs_delta,inf
s2__composite__b8a__winter_baseline__max_abs_delta,inf
s2__composite__b8a__prebattle_baseline__max_abs_delta,inf
s2__composite__mndwi__winter_baseline__max_abs_delta,inf
s2__composite__mndwi__prebattle_baseline__max_abs_delta,inf
s2__composite__b12__winter_baseline__max_abs_delta,inf
s2__composite__b12__prebattle_baseline__max_abs_delta,inf
s2__composite__b11__winter_baseline__max_abs_delta,inf
s2__composite__b11__prebattle_baseline__max_abs_delta,inf
s2__composite__b12__prebattle_baseline__mean,1910.409423828125
s2__composite__b12__prebattle_baseline__p10,995.3851318359375
s2__composite__b11__prebattle_baseline__min,912.8470458984375
s2__composite__b11__prebattle_baseline__p10,907.1707763671875
s2__composite__b12__prebattle_baseline__min,650.1284790039062
s2__composite__b07__post_winter_baseline__p90,368.0021057128906
s2__composite__b12__prebattle_baseline__p50,354.0766906738281
s2__composite__b12__prebattle_baseline__std,307.0388488769531
s2__composite__b11__prebattle_baseline__std,258.855712890625
s2__composite__b07__post_winter_baseline__max,222.83457946777344
s2__composite__b07__post_winter_baseline__std,153.09634399414062
s2__composite__b03__post_winter_baseline__max_abs_delta,150.53041076660156
s2__composite__b05__prebattle_baseline__std,148.7803497314453
s2__composite__b05__post_winter_baseline__std,139.765869140625
s2__composite__b8a__prebattle_baseline__std,138.3802032470703
s2__composite__b05__post_winter_baseline__max_abs_delta,135.465087890625
s2__composite__b07__prebattle_baseline__std,134.53199768066406
s2__composite__b07__post_winter_baseline__max_abs_delta,124.244384765625
s2__composite__b08__post_winter_baseline__mean,121.83270263671875
s2__composite__b03__post_winter_baseline__std,105.78053283691406
s2__composite__b07__post_winter_baseline__p50,77.38639831542969
s2__composite__mndwi__post_winter_baseline__max_abs_delta,70.93870544433594
s2__composite__mndwi__post_winter_baseline__std,67.63997650146484
s2__composite__ndre__prebattle_baseline__std,48.581172943115234
s2__composite__b08__post_winter_baseline__p50,45.003021240234375
s2__composite__b03__prebattle_baseline__min,36.368953704833984
s2__composite__b08__post_winter_baseline__p90,36.26463317871094
s2__composite__ndwi__post_winter_baseline__std,35.01504898071289
s2__composite__ndwi__post_winter_baseline__max_abs_delta,32.52016067504883
s2__composite__b03__post_winter_baseline__max,30.68366813659668
s2__composite__b02__post_winter_baseline__max_abs_delta,28.614826202392578
s2__composite__b02__prebattle_baseline__min,23.684354782104492
s2__composite__b04__prebattle_baseline__min,21.20694351196289
s2__composite__b08__post_winter_baseline__max,19.685930252075195
s2__composite__b04__post_winter_baseline__max_abs_delta,15.429084777832031
s2__composite__ndbi__prebattle_baseline__p90,5.4663405418396
