feature,VIF
s2__composite__b12__winter_baseline__max_abs_delta,inf
s2__composite__b12__prebattle_baseline__max_abs_delta,inf
s2__composite__b11__prebattle_baseline__max_abs_delta,inf
s2__composite__b11__winter_baseline__max_abs_delta,inf
s2__composite__b8a__prebattle_baseline__max_abs_delta,inf
s2__composite__b8a__winter_baseline__max_abs_delta,inf
s2__composite__b07__prebattle_baseline__max_abs_delta,inf
s2__composite__b07__winter_baseline__max_abs_delta,inf
s2__composite__ndre__post_winter_baseline__mean,1149.2818603515625
s2__composite__ndvi__post_winter_baseline__mean,382.4302673339844
s2__composite__b12__prebattle_baseline__std,367.0681457519531
s2__composite__b11__prebattle_baseline__std,292.6173400878906
s2__composite__b12__post_winter_baseline__std,282.9735107421875
s2__composite__b11__post_winter_baseline__std,275.9955139160156
s2__composite__b12__post_winter_baseline__max_abs_delta,272.9911193847656
s2__composite__b11__post_winter_baseline__max_abs_delta,260.9493408203125
s2__composite__ndre__post_winter_baseline__p50,225.97708129882812
s2__composite__ndre__post_winter_baseline__p10,201.69529724121094
s2__composite__b8a__post_winter_baseline__std,178.06427001953125
s2__composite__b8a__post_winter_baseline__max_abs_delta,166.9939727783203
s2__composite__b05__post_winter_baseline__max_abs_delta,165.31393432617188
s2__composite__b05__post_winter_baseline__std,163.64822387695312
s2__composite__b08__post_winter_baseline__std,154.24063110351562
s2__composite__b07__post_winter_baseline__max_abs_delta,145.751953125
s2__composite__b07__post_winter_baseline__std,142.62823486328125
s2__composite__ndre__post_winter_baseline__p90,139.36184692382812
s2__composite__ndbi__post_winter_baseline__std,102.96687316894531
s2__composite__ndre__post_winter_baseline__min,99.80319213867188
s2__composite__b08__post_winter_baseline__max_abs_delta,93.58473205566406
s2__composite__ndbi__post_winter_baseline__max_abs_delta,85.96073913574219
s2__composite__ndre__post_winter_baseline__max,82.16352081298828
s2__composite__ndvi__post_winter_baseline__p50,69.2195053100586
s2__composite__b12__prebattle_baseline__max,68.1468734741211
s2__composite__b8a__prebattle_baseline__std,66.6169662475586
s2__composite__ndvi__post_winter_baseline__p90,59.53927993774414
s2__composite__ndvi__post_winter_baseline__p10,55.271480560302734
s2__composite__b11__prebattle_baseline__max,54.38337326049805
s2__composite__cire__post_winter_baseline__p10,53.530696868896484
s2__composite__cire__post_winter_baseline__min,50.571407318115234
s2__composite__ndwi__post_winter_baseline__max_abs_delta,49.17409133911133
s2__composite__ndwi__post_winter_baseline__std,46.65365982055664
s2__composite__ndwi__post_winter_baseline__p90,33.767845153808594
s2__composite__ndwi__post_winter_baseline__max,31.005300521850586
s2__composite__ndwi__prebattle_baseline__p90,27.95606231689453
s2__composite__ndvi__post_winter_baseline__max,25.453344345092773
s2__composite__b04__post_winter_baseline__std,22.212299346923828
s2__composite__ndwi__prebattle_baseline__max,21.048425674438477
s2__composite__ndvi__post_winter_baseline__min,15.380596160888672
s2__composite__ndvi__prebattle_baseline__p50,7.351705074310303
s2__composite__b08__post_winter_baseline__min,3.5660240650177
