feature,VIF
s2__composite__ndre__post_winter_baseline__mean,3680.8284
s2__composite__cire__post_winter_baseline__mean,2889.1365
s2__composite__ndre__prebattle_baseline__mean,2387.1963
s2__composite__cire__prebattle_baseline__mean,1944.508
s2__composite__ndvi__post_winter_baseline__mean,934.14343
s2__composite__ndwi__post_winter_baseline__mean,876.2779
s2__composite__ndre__post_winter_baseline__p10,745.72034
s2__composite__ndre__post_winter_baseline__p90,624.8032
s2__composite__ndvi__prebattle_baseline__mean,582.38043
s2__composite__cire__post_winter_baseline__p10,581.3311
s2__composite__ndre__post_winter_baseline__p50,552.3363
s2__composite__cire__post_winter_baseline__p90,462.28415
s2__composite__ndre__prebattle_baseline__p90,451.44946
s2__composite__cire__post_winter_baseline__p50,432.31332
s2__composite__ndre__prebattle_baseline__p10,418.6977
s2__composite__ndre__post_winter_baseline__min,383.5406
s2__composite__cire__prebattle_baseline__p90,380.47025
s2__composite__ndre__prebattle_baseline__p50,375.25366
s2__composite__cire__prebattle_baseline__p10,328.3534
s2__composite__cire__post_winter_baseline__min,310.1665
s2__composite__cire__prebattle_baseline__p50,305.06247
s2__composite__ndre__prebattle_baseline__min,205.46465
s2__composite__ndre__prebattle_baseline__max,201.81418
s2__composite__cire__prebattle_baseline__max,173.72574
s2__composite__cire__prebattle_baseline__min,158.6693
s2__composite__ndwi__prebattle_baseline__mean,156.27065
s2__composite__ndvi__post_winter_baseline__p90,152.80353
s2__composite__ndvi__post_winter_baseline__p50,146.64374
s2__composite__ndwi__post_winter_baseline__p10,137.83224
s2__composite__ndvi__post_winter_baseline__p10,137.65244
s2__composite__ndwi__post_winter_baseline__p50,137.38303
s2__composite__ndwi__post_winter_baseline__p90,133.45543
s2__composite__ndre__post_winter_baseline__max,131.41182
s2__composite__ndvi__prebattle_baseline__p50,117.1806
s2__composite__ndvi__prebattle_baseline__p10,111.75796
s2__composite__ndvi__prebattle_baseline__p90,82.0109
s2__composite__ndwi__prebattle_baseline__p90,80.18667
s2__composite__ndwi__prebattle_baseline__p50,71.01858
s2__composite__ndvi__post_winter_baseline__min,62.910236
s2__composite__ndwi__post_winter_baseline__max,59.60358
s2__composite__mndwi__post_winter_baseline__mean,57.79348
s2__composite__ndvi__prebattle_baseline__min,55.886425
s2__composite__ndwi__prebattle_baseline__max,47.127674
s2__composite__b02__post_winter_baseline__mean,42.422092
s2__composite__b02__post_winter_baseline__p50,41.143215
s2__composite__mndwi__post_winter_baseline__p50,37.318527
s2__composite__ndvi__prebattle_baseline__max,29.570827
s2__composite__mndwi__post_winter_baseline__p90,27.474716
s2__composite__mndwi__post_winter_baseline__max,16.36891
s2__composite__mndwi__prebattle_baseline__p50,5.369905
