feature,VIF
s2__composite__b12__prebattle_baseline__min,inf
s2__composite__b12__prebattle_baseline__max,inf
s2__composite__b12__prebattle_baseline__max_abs_delta,inf
s2__composite__b11__prebattle_baseline__max,inf
s2__composite__b12__winter_baseline__max_abs_delta,inf
s2__composite__b02__prebattle_baseline__max_abs_delta,inf
s2__composite__b11__winter_baseline__max_abs_delta,inf
s2__composite__b11__prebattle_baseline__max_abs_delta,inf
s2__composite__b05__winter_baseline__max_abs_delta,inf
s2__composite__b05__prebattle_baseline__max_abs_delta,inf
s2__composite__b02__winter_baseline__max_abs_delta,inf
s2__composite__b11__prebattle_baseline__min,inf
s2__composite__b11__prebattle_baseline__mean,2638.341796875
s2__composite__b12__prebattle_baseline__mean,2503.6884765625
s2__composite__b12__prebattle_baseline__p90,1127.42529296875
s2__composite__b11__prebattle_baseline__p90,1109.6776123046875
s2__composite__b11__prebattle_baseline__p10,858.0379638671875
s2__composite__b12__prebattle_baseline__p10,777.3347778320312
s2__composite__b12__prebattle_baseline__std,634.3712158203125
s2__composite__b11__prebattle_baseline__std,536.6648559570312
s2__composite__b04__prebattle_baseline__mean,460.9378662109375
s2__composite__ndre__prebattle_baseline__mean,422.7489929199219
s2__composite__b11__prebattle_baseline__p50,366.18682861328125
s2__composite__b12__prebattle_baseline__p50,348.07501220703125
s2__composite__b03__prebattle_baseline__mean,309.2973327636719
s2__composite__b05__prebattle_baseline__p10,198.3169403076172
s2__composite__b08__prebattle_baseline__mean,183.78538513183594
s2__composite__ndre__prebattle_baseline__p50,125.26387023925781
s2__composite__b03__prebattle_baseline__p10,115.99051666259766
s2__composite__b05__prebattle_baseline__min,111.43061065673828
s2__composite__b05__prebattle_baseline__std,100.72232055664062
s2__composite__b04__prebattle_baseline__p50,91.35578918457031
s2__composite__b02__prebattle_baseline__std,85.33159637451172
s2__composite__b02__prebattle_baseline__p10,80.78669738769531
s2__composite__b04__prebattle_baseline__p10,78.23989868164062
s2__composite__b04__prebattle_baseline__p90,76.51675415039062
s2__composite__b03__prebattle_baseline__min,72.67961120605469
s2__composite__b03__prebattle_baseline__p50,69.3113021850586
s2__composite__ndre__prebattle_baseline__p90,64.12965393066406
s2__composite__b05__prebattle_baseline__p50,62.06496810913086
s2__composite__cire__prebattle_baseline__mean,59.23070526123047
s2__composite__b02__prebattle_baseline__min,53.928863525390625
s2__composite__cire__prebattle_baseline__p10,49.918373107910156
s2__composite__b04__prebattle_baseline__min,49.870445251464844
s2__composite__b08__prebattle_baseline__p50,49.37394332885742
s2__composite__cire__prebattle_baseline__p50,39.93719482421875
s2__composite__ndre__prebattle_baseline__min,37.52318572998047
s2__composite__b08__prebattle_baseline__p90,35.70098876953125
s2__composite__cire__prebattle_baseline__min,34.308815002441406
s2__composite__ndvi__prebattle_baseline__min,4.851198673248291
