feature,VIF
s2__composite__ndre__post_winter_baseline__mean,537.28357
s2__composite__ndwi__post_winter_baseline__mean,445.16068
s2__composite__cire__post_winter_baseline__mean,423.7527
s2__composite__ndre__post_winter_baseline__p10,361.75726
s2__composite__mndwi__prebattle_baseline__mean,322.47134
s2__composite__mndwi__post_winter_baseline__mean,311.4852
s2__composite__cire__post_winter_baseline__p10,298.85135
s2__composite__ndre__post_winter_baseline__p50,282.7446
s2__composite__ndre__post_winter_baseline__min,244.69424
s2__composite__ndvi__post_winter_baseline__mean,237.87347
s2__composite__cire__post_winter_baseline__p50,235.69464
s2__composite__cire__post_winter_baseline__min,203.39964
s2__composite__ndre__prebattle_baseline__p10,182.03654
s2__composite__ndre__prebattle_baseline__mean,166.32184
s2__composite__b02__post_winter_baseline__std,145.8939
s2__composite__b03__post_winter_baseline__std,136.68573
s2__composite__ndre__prebattle_baseline__min,135.37656
s2__composite__ndwi__prebattle_baseline__mean,126.0876
s2__composite__ndre__prebattle_baseline__p50,120.11438
s2__composite__cire__prebattle_baseline__p10,115.32952
s2__composite__ndvi__prebattle_baseline__mean,115.14114
s2__composite__b02__post_winter_baseline__max_abs_delta,111.51653
s2__composite__b02__post_winter_baseline__p90,109.3541
s2__composite__cire__prebattle_baseline__min,103.243774
s2__composite__b02__post_winter_baseline__max,94.277855
s2__composite__b03__post_winter_baseline__max_abs_delta,88.505165
s2__composite__ndwi__post_winter_baseline__p50,84.77066
s2__composite__b02__post_winter_baseline__mean,82.23964
s2__composite__mndwi__post_winter_baseline__p90,80.66202
s2__composite__ndwi__post_winter_baseline__p90,77.09905
s2__composite__ndvi__post_winter_baseline__p50,69.335075
s2__composite__ndvi__post_winter_baseline__p10,63.217213
s2__composite__b03__post_winter_baseline__p90,63.039062
s2__composite__mndwi__prebattle_baseline__p50,57.83432
s2__composite__mndwi__prebattle_baseline__p90,50.103825
s2__composite__ndwi__post_winter_baseline__p10,49.550533
s2__composite__mndwi__post_winter_baseline__p50,49.21419
s2__composite__ndwi__prebattle_baseline__p50,45.17047
s2__composite__mndwi__prebattle_baseline__p10,45.001934
s2__composite__mndwi__post_winter_baseline__max,43.993004
s2__composite__ndvi__prebattle_baseline__p50,42.100708
s2__composite__ndwi__prebattle_baseline__p90,40.627422
s2__composite__mndwi__post_winter_baseline__p10,39.56648
s2__composite__ndvi__prebattle_baseline__p10,36.948036
s2__composite__ndwi__post_winter_baseline__max,33.77818
s2__composite__ndvi__post_winter_baseline__min,32.432148
s2__composite__ndwi__prebattle_baseline__max,21.691685
s2__composite__mndwi__prebattle_baseline__min,19.804607
s2__composite__ndvi__prebattle_baseline__min,19.25881
s2__composite__mndwi__prebattle_baseline__max,18.002695
