feature,VIF
s2__composite__ndwi__winter_baseline__max_abs_delta,inf
s2__composite__ndwi__prebattle_baseline__max_abs_delta,inf
s2__composite__b12__winter_baseline__max_abs_delta,inf
s2__composite__b12__prebattle_baseline__max_abs_delta,inf
s2__composite__b11__winter_baseline__max_abs_delta,inf
s2__composite__b11__prebattle_baseline__max_abs_delta,inf
s2__composite__b04__winter_baseline__max_abs_delta,inf
s2__composite__b04__prebattle_baseline__max_abs_delta,inf
s2__composite__b12__post_winter_baseline__mean,5044.26220703125
s2__composite__b11__post_winter_baseline__mean,3825.174560546875
s2__composite__b11__prebattle_baseline__mean,1896.587890625
s2__composite__b12__post_winter_baseline__p90,1339.8192138671875
s2__composite__b12__post_winter_baseline__p10,1158.5675048828125
s2__composite__b11__post_winter_baseline__p90,874.63330078125
s2__composite__b12__post_winter_baseline__p50,839.1544799804688
s2__composite__b12__post_winter_baseline__max,753.3211669921875
s2__composite__b11__prebattle_baseline__p90,735.4234619140625
s2__composite__b11__post_winter_baseline__p10,723.5300903320312
s2__composite__b02__post_winter_baseline__mean,648.745849609375
s2__composite__b11__post_winter_baseline__p50,631.4107666015625
s2__composite__b12__post_winter_baseline__min,552.663818359375
s2__composite__b11__prebattle_baseline__max,415.7406921386719
s2__composite__b11__prebattle_baseline__p50,372.2892761230469
s2__composite__b11__post_winter_baseline__min,351.48779296875
s2__composite__b11__post_winter_baseline__max,339.8192443847656
s2__composite__b04__post_winter_baseline__max_abs_delta,277.4974060058594
s2__composite__b04__post_winter_baseline__std,244.90855407714844
s2__composite__b11__prebattle_baseline__std,159.19625854492188
s2__composite__b03__post_winter_baseline__std,155.72091674804688
s2__composite__b02__post_winter_baseline__p90,150.34291076660156
s2__composite__b04__post_winter_baseline__max,143.14053344726562
s2__composite__b03__post_winter_baseline__max_abs_delta,135.95248413085938
s2__composite__b05__post_winter_baseline__max_abs_delta,116.23722076416016
s2__composite__b02__post_winter_baseline__p50,114.30022430419922
s2__composite__b05__post_winter_baseline__std,113.21422576904297
s2__composite__b04__post_winter_baseline__p90,96.50897216796875
s2__composite__b12__prebattle_baseline__std,91.09783935546875
s2__composite__mndwi__post_winter_baseline__p10,87.45968627929688
s2__composite__mndwi__post_winter_baseline__min,65.50273895263672
s2__composite__b02__post_winter_baseline__max,61.84168243408203
s2__composite__b02__post_winter_baseline__p10,53.544532775878906
s2__composite__b08__post_winter_baseline__max_abs_delta,52.72703552246094
s2__composite__b08__post_winter_baseline__std,52.610965728759766
s2__composite__b04__prebattle_baseline__std,43.30252456665039
s2__composite__b05__post_winter_baseline__max,38.1406135559082
s2__composite__mndwi__post_winter_baseline__p50,26.339677810668945
s2__composite__ndbi__post_winter_baseline__max,19.577388763427734
s2__composite__ndbi__post_winter_baseline__p90,18.870437622070312
s2__composite__ndwi__prebattle_baseline__std,15.129179000854492
s2__composite__b04__prebattle_baseline__p90,7.701524257659912
