feature,VIF
s2__composite__ndre__prebattle_baseline__mean,3291.5864
s2__composite__ndre__post_winter_baseline__mean,2145.424
s2__composite__ndvi__prebattle_baseline__mean,1393.3407
s2__composite__ndre__post_winter_baseline__p10,1194.1929
s2__composite__ndre__prebattle_baseline__p10,972.7614
s2__composite__ndwi__prebattle_baseline__mean,809.3596
s2__composite__ndre__prebattle_baseline__p50,802.5072
s2__composite__b03__post_winter_baseline__p90,792.0506
s2__composite__cire__prebattle_baseline__mean,761.1131
s2__composite__b04__post_winter_baseline__p90,720.8256
s2__composite__ndre__post_winter_baseline__min,674.2441
s2__composite__ndre__prebattle_baseline__p90,640.5229
s2__composite__cire__post_winter_baseline__mean,582.6434
s2__composite__ndre__post_winter_baseline__p50,554.3072
s2__composite__cire__prebattle_baseline__p50,506.95642
s2__composite__ndre__prebattle_baseline__min,477.88806
s2__composite__cire__prebattle_baseline__p10,456.75903
s2__composite__b03__post_winter_baseline__std,449.39374
s2__composite__b02__post_winter_baseline__p90,446.7491
s2__composite__b02__post_winter_baseline__std,424.40656
s2__composite__cire__post_winter_baseline__p10,403.25
s2__composite__cire__post_winter_baseline__p50,351.56146
s2__composite__ndwi__prebattle_baseline__p90,350.75296
s2__composite__b04__post_winter_baseline__std,332.2945
s2__composite__cire__post_winter_baseline__min,328.7394
s2__composite__ndvi__prebattle_baseline__p10,328.19922
s2__composite__b04__post_winter_baseline__max,310.44772
s2__composite__cire__prebattle_baseline__min,308.80774
s2__composite__ndwi__prebattle_baseline__p50,289.49194
s2__composite__b02__prebattle_baseline__p90,288.35254
s2__composite__b05__post_winter_baseline__p90,281.90842
s2__composite__ndvi__prebattle_baseline__p50,274.71207
s2__composite__b05__post_winter_baseline__max,256.19156
s2__composite__b02__prebattle_baseline__max,247.83171
s2__composite__b04__prebattle_baseline__p90,242.37177
s2__composite__ndwi__prebattle_baseline__max,230.3139
s2__composite__b04__prebattle_baseline__max,229.589
s2__composite__ndvi__post_winter_baseline__p10,223.36563
s2__composite__ndwi__post_winter_baseline__p90,218.02466
s2__composite__ndvi__prebattle_baseline__min,217.65413
s2__composite__b04__post_winter_baseline__mean,201.76807
s2__composite__ndre__prebattle_baseline__max,193.0657
s2__composite__ndre__post_winter_baseline__std,160.47227
s2__composite__ndvi__post_winter_baseline__min,150.33617
s2__composite__ndwi__post_winter_baseline__max,145.329
s2__composite__ndvi__prebattle_baseline__p90,118.23517
s2__composite__ndre__post_winter_baseline__max_abs_delta,118.0563
s2__composite__b04__prebattle_baseline__mean,77.19447
s2__composite__b08__prebattle_baseline__p10,63.12231
s2__composite__b08__prebattle_baseline__min,42.77556
