feature,VIF
s2__composite__b02__post_winter_baseline__min,inf
s2__composite__b02__post_winter_baseline__max,inf
s2__composite__b04__post_winter_baseline__max,inf
s2__composite__b03__post_winter_baseline__max,inf
s2__composite__b02__post_winter_baseline__max_abs_delta,inf
s2__composite__b04__post_winter_baseline__max_abs_delta,inf
s2__composite__b03__post_winter_baseline__max_abs_delta,inf
s2__composite__b04__post_winter_baseline__min,inf
s2__composite__b03__post_winter_baseline__min,inf
s2__composite__b12__post_winter_baseline__mean,2512.687744140625
s2__composite__b04__post_winter_baseline__mean,1745.98974609375
s2__composite__b05__post_winter_baseline__mean,1703.962646484375
s2__composite__ndvi__post_winter_baseline__mean,1695.1820068359375
s2__composite__b03__post_winter_baseline__mean,1622.240966796875
s2__composite__ndwi__post_winter_baseline__mean,1331.5250244140625
s2__composite__b02__post_winter_baseline__mean,840.7946166992188
s2__composite__b12__post_winter_baseline__p90,608.2888793945312
s2__composite__b11__post_winter_baseline__mean,574.4638061523438
s2__composite__b12__post_winter_baseline__p10,451.5709533691406
s2__composite__b12__post_winter_baseline__p50,447.0347900390625
s2__composite__b05__post_winter_baseline__p90,399.6192626953125
s2__composite__b03__post_winter_baseline__p90,373.5492248535156
s2__composite__b11__post_winter_baseline__p90,360.49798583984375
s2__composite__b11__post_winter_baseline__p50,335.1354675292969
s2__composite__b02__post_winter_baseline__std,314.85223388671875
s2__composite__b03__post_winter_baseline__std,313.58697509765625
s2__composite__b02__post_winter_baseline__p90,296.842041015625
s2__composite__b05__post_winter_baseline__p50,289.3271789550781
s2__composite__b12__post_winter_baseline__max,280.24615478515625
s2__composite__b05__post_winter_baseline__p10,232.687255859375
s2__composite__b04__post_winter_baseline__p90,222.92933654785156
s2__composite__b11__post_winter_baseline__max,221.98838806152344
s2__composite__mndwi__post_winter_baseline__mean,190.0993194580078
s2__composite__ndwi__post_winter_baseline__p90,180.3594512939453
s2__composite__ndvi__post_winter_baseline__p10,177.56861877441406
s2__composite__b03__post_winter_baseline__p10,164.57447814941406
s2__composite__b05__post_winter_baseline__max,164.41159057617188
s2__composite__b02__post_winter_baseline__p10,163.41868591308594
s2__composite__ndvi__post_winter_baseline__p50,154.03953552246094
s2__composite__b04__post_winter_baseline__p50,151.53379821777344
s2__composite__b03__post_winter_baseline__p50,150.9516143798828
s2__composite__ndwi__post_winter_baseline__p50,147.79473876953125
s2__composite__b12__post_winter_baseline__min,146.0069122314453
s2__composite__b02__post_winter_baseline__p50,128.8899383544922
s2__composite__b04__post_winter_baseline__p10,127.89071655273438
s2__composite__ndvi__post_winter_baseline__min,114.28777313232422
s2__composite__ndwi__post_winter_baseline__max,113.87972259521484
s2__composite__mndwi__post_winter_baseline__p90,75.06517028808594
s2__composite__mndwi__post_winter_baseline__max,57.245079040527344
s2__composite__mndwi__post_winter_baseline__p50,53.44475173950195
