feature,VIF
s2__composite__ndre__post_winter_baseline__mean,6657.6255
s2__composite__cire__post_winter_baseline__mean,5886.7427
s2__composite__ndvi__post_winter_baseline__mean,2170.403
s2__composite__ndwi__post_winter_baseline__mean,1996.5746
s2__composite__ndre__post_winter_baseline__p10,1433.3375
s2__composite__cire__post_winter_baseline__p10,1221.0492
s2__composite__ndre__post_winter_baseline__p90,1181.5773
s2__composite__cire__post_winter_baseline__p90,1054.4413
s2__composite__ndwi__prebattle_baseline__mean,978.8912
s2__composite__ndre__post_winter_baseline__p50,969.7252
s2__composite__mndwi__prebattle_baseline__mean,913.8415
s2__composite__cire__post_winter_baseline__p50,876.2321
s2__composite__ndre__post_winter_baseline__min,684.61664
s2__composite__cire__post_winter_baseline__min,606.8587
s2__composite__mndwi__post_winter_baseline__mean,603.1715
s2__composite__ndre__post_winter_baseline__max,503.92624
s2__composite__cire__post_winter_baseline__max,453.25452
s2__composite__ndvi__post_winter_baseline__p10,423.04745
s2__composite__ndwi__post_winter_baseline__p90,399.14392
s2__composite__ndvi__post_winter_baseline__p90,366.4668
s2__composite__ndre__prebattle_baseline__p10,364.4923
s2__composite__ndvi__post_winter_baseline__p50,341.33334
s2__composite__ndre__prebattle_baseline__mean,336.99338
s2__composite__ndwi__post_winter_baseline__p10,325.6384
s2__composite__ndwi__post_winter_baseline__p50,315.14795
s2__composite__ndvi__prebattle_baseline__mean,284.48013
s2__composite__ndre__prebattle_baseline__p50,267.50668
s2__composite__ndre__prebattle_baseline__min,259.3038
s2__composite__ndwi__prebattle_baseline__p90,237.19414
s2__composite__ndvi__post_winter_baseline__min,223.24971
s2__composite__ndwi__post_winter_baseline__max,203.85191
s2__composite__ndwi__prebattle_baseline__p50,198.7139
s2__composite__ndvi__prebattle_baseline__p10,194.16725
s2__composite__cire__prebattle_baseline__p10,174.65715
s2__composite__mndwi__prebattle_baseline__p90,167.30205
s2__composite__cire__prebattle_baseline__min,164.7652
s2__composite__mndwi__prebattle_baseline__p50,161.89848
s2__composite__ndvi__prebattle_baseline__p50,137.87868
s2__composite__ndvi__prebattle_baseline__min,129.64288
s2__composite__ndwi__prebattle_baseline__max,127.83615
s2__composite__mndwi__prebattle_baseline__p10,127.38287
s2__composite__ndwi__prebattle_baseline__p10,123.21783
s2__composite__mndwi__post_winter_baseline__p90,113.9803
s2__composite__mndwi__post_winter_baseline__p50,100.42329
s2__composite__mndwi__prebattle_baseline__max,74.439026
s2__composite__mndwi__post_winter_baseline__p10,70.6195
s2__composite__ndvi__post_winter_baseline__max,58.927387
s2__composite__mndwi__prebattle_baseline__min,50.024796
s2__composite__mndwi__post_winter_baseline__max,47.985493
s2__composite__b02__post_winter_baseline__p50,2.3239245
