feature,VIF
s2__composite__mndwi__post_winter_baseline__mean,1531.8861
s2__composite__b02__post_winter_baseline__mean,1490.2484
s2__composite__b02__post_winter_baseline__max,1288.9686
s2__composite__b02__post_winter_baseline__p90,1094.7612
s2__composite__b03__post_winter_baseline__max,764.65137
s2__composite__b03__post_winter_baseline__std,684.8402
s2__composite__b02__post_winter_baseline__std,636.3201
s2__composite__b03__post_winter_baseline__p90,623.225
s2__composite__b02__post_winter_baseline__max_abs_delta,598.22485
s2__composite__mndwi__post_winter_baseline__p90,582.98755
s2__composite__b03__post_winter_baseline__max_abs_delta,486.08478
s2__composite__b11__post_winter_baseline__p10,428.06665
s2__composite__b11__post_winter_baseline__min,423.48526
s2__composite__mndwi__post_winter_baseline__max,312.12265
s2__composite__mndwi__post_winter_baseline__p50,252.886
s2__composite__b02__post_winter_baseline__p50,250.38753
s2__composite__mndwi__post_winter_baseline__std,246.68024
s2__composite__b04__post_winter_baseline__std,242.79617
s2__composite__b04__post_winter_baseline__max_abs_delta,205.74434
s2__composite__cire__post_winter_baseline__max_abs_delta,196.60185
s2__composite__mndwi__post_winter_baseline__max_abs_delta,190.39488
s2__composite__ndre__prebattle_baseline__mean,189.68022
s2__composite__cire__post_winter_baseline__p10,188.20776
s2__composite__ndwi__post_winter_baseline__max_abs_delta,181.0758
s2__composite__ndwi__post_winter_baseline__std,176.8685
s2__composite__cire__post_winter_baseline__std,176.69899
s2__composite__ndre__prebattle_baseline__p50,176.33313
s2__composite__cire__post_winter_baseline__min,164.70859
s2__composite__b11__post_winter_baseline__max_abs_delta,142.6998
s2__composite__b08__post_winter_baseline__std,139.88474
s2__composite__ndre__prebattle_baseline__p10,135.64581
s2__composite__ndvi__post_winter_baseline__std,132.7154
s2__composite__b11__post_winter_baseline__std,129.5818
s2__composite__ndwi__post_winter_baseline__p90,129.28325
s2__composite__ndvi__post_winter_baseline__max_abs_delta,129.08827
s2__composite__b08__post_winter_baseline__max_abs_delta,126.61476
s2__composite__ndre__post_winter_baseline__max_abs_delta,122.63599
s2__composite__ndre__post_winter_baseline__std,118.65243
s2__composite__ndbi__post_winter_baseline__min,109.20818
s2__composite__ndwi__post_winter_baseline__max,96.22556
s2__composite__ndbi__post_winter_baseline__p10,95.76747
s2__composite__ndbi__post_winter_baseline__std,83.76462
s2__composite__ndre__prebattle_baseline__min,82.98035
s2__composite__ndbi__post_winter_baseline__max_abs_delta,76.49303
s2__composite__ndwi__prebattle_baseline__p10,52.6014
s2__composite__ndwi__prebattle_baseline__min,50.226223
s2__composite__ndvi__post_winter_baseline__p10,38.64151
s2__composite__b8a__post_winter_baseline__max_abs_delta,25.715046
s2__composite__b07__post_winter_baseline__max_abs_delta,22.192142
s2__composite__b8a__prebattle_baseline__std,1.7504779
