feature,VIF
s2__composite__b11__prebattle_baseline__mean,3313.6907
s2__composite__b12__prebattle_baseline__mean,2656.7246
s2__composite__b05__prebattle_baseline__mean,1873.2935
s2__composite__ndre__prebattle_baseline__mean,1777.2474
s2__composite__cire__prebattle_baseline__mean,1406.7765
s2__composite__b11__prebattle_baseline__p90,761.28577
s2__composite__b12__prebattle_baseline__p90,630.55646
s2__composite__b11__prebattle_baseline__p50,554.9489
s2__composite__b11__prebattle_baseline__p10,497.11743
s2__composite__b05__prebattle_baseline__p90,461.10254
s2__composite__b12__prebattle_baseline__p10,456.9083
s2__composite__b12__prebattle_baseline__p50,448.9728
s2__composite__b11__prebattle_baseline__max,347.18903
s2__composite__ndbi__prebattle_baseline__mean,339.5373
s2__composite__ndre__prebattle_baseline__p10,336.4595
s2__composite__b12__prebattle_baseline__max,335.2627
s2__composite__ndre__prebattle_baseline__p90,323.47858
s2__composite__b05__prebattle_baseline__p50,301.09323
s2__composite__cire__prebattle_baseline__p90,276.75583
s2__composite__ndre__prebattle_baseline__p50,276.53687
s2__composite__cire__prebattle_baseline__p10,256.71292
s2__composite__b05__prebattle_baseline__p10,233.45137
s2__composite__cire__prebattle_baseline__p50,233.12698
s2__composite__b05__prebattle_baseline__max,225.2066
s2__composite__b11__prebattle_baseline__min,196.312
s2__composite__b12__prebattle_baseline__min,167.87624
s2__composite__ndre__prebattle_baseline__min,143.51276
s2__composite__ndre__prebattle_baseline__max,126.86178
s2__composite__ndre__post_winter_baseline__min,126.31068
s2__composite__cire__prebattle_baseline__max,120.491356
s2__composite__cire__prebattle_baseline__min,105.64532
s2__composite__ndre__post_winter_baseline__p10,99.22591
s2__composite__b05__prebattle_baseline__min,88.38953
s2__composite__b08__post_winter_baseline__max_abs_delta,87.86505
s2__composite__b08__post_winter_baseline__std,85.144516
s2__composite__b04__prebattle_baseline__p90,63.913204
s2__composite__b08__post_winter_baseline__min,61.82687
s2__composite__ndbi__post_winter_baseline__max,60.18322
s2__composite__b08__post_winter_baseline__p10,60.03484
s2__composite__ndbi__prebattle_baseline__p90,59.60485
s2__composite__ndbi__post_winter_baseline__p90,57.66932
s2__composite__ndbi__prebattle_baseline__p50,57.165108
s2__composite__ndbi__post_winter_baseline__max_abs_delta,56.951653
s2__composite__b04__prebattle_baseline__max,55.935986
s2__composite__ndbi__post_winter_baseline__std,54.19715
s2__composite__ndbi__prebattle_baseline__p10,47.960392
s2__composite__cire__post_winter_baseline__min,41.14251
s2__composite__ndbi__prebattle_baseline__max,25.384754
s2__composite__ndbi__prebattle_baseline__min,19.71216
s2__composite__mndwi__prebattle_baseline__min,2.8225763
