city,base,pre_col,post_col,rho_all,rho_damaged,rho_control,delta_rho
Avdiivka,s2__composite__b02__max,s2__composite__b02__prebattle_baseline__max,s2__composite__b02__post_winter_baseline__max,0.015534464562739552,-0.11595662537429181,0.02850999793185954,0.14446662330615134
Avdiivka,s2__composite__b02__mean,s2__composite__b02__prebattle_baseline__mean,s2__composite__b02__post_winter_baseline__mean,0.10905682002491521,-0.01659156694816627,0.11805952927756415,0.1346510962257304
Avdiivka,s2__composite__b02__min,s2__composite__b02__prebattle_baseline__min,s2__composite__b02__post_winter_baseline__min,0.2356288584599188,0.26162161770540404,0.23613871985365883,-0.025482897851745206
Avdiivka,s2__composite__b02__p10,s2__composite__b02__prebattle_baseline__p10,s2__composite__b02__post_winter_baseline__p10,0.21655385745297492,0.2449055717004434,0.21808322722224271,-0.02682234447820067
Avdiivka,s2__composite__b02__p50,s2__composite__b02__prebattle_baseline__p50,s2__composite__b02__post_winter_baseline__p50,0.14401517364530156,0.021970725595916344,0.1477196885802787,0.12574896298436236
Avdiivka,s2__composite__b02__p90,s2__composite__b02__prebattle_baseline__p90,s2__composite__b02__post_winter_baseline__p90,0.03464458077634961,-0.16427564289528562,0.04904382670160441,0.21331946959689002
Avdiivka,s2__composite__b02__std,s2__composite__b02__prebattle_baseline__std,s2__composite__b02__post_winter_baseline__std,0.001711909228406191,-0.14759332756408342,0.012753583127478114,0.16034691069156154
Avdiivka,s2__composite__b03__max,s2__composite__b03__prebattle_baseline__max,s2__composite__b03__post_winter_baseline__max,0.02731938024476308,-0.05165918145202771,0.04374090655495196,0.09540008800697967
Avdiivka,s2__composite__b03__mean,s2__composite__b03__prebattle_baseline__mean,s2__composite__b03__post_winter_baseline__mean,0.11281010577200087,0.004647744948500555,0.1282129145344127,0.12356516958591214
Avdiivka,s2__composite__b03__min,s2__composite__b03__prebattle_baseline__min,s2__composite__b03__post_winter_baseline__min,0.2665495576419715,0.34839990022506545,0.26603602884184,-0.08236387138322543
Avdiivka,s2__composite__b03__p10,s2__composite__b03__prebattle_baseline__p10,s2__composite__b03__post_winter_baseline__p10,0.23767187170641013,0.2820502299646236,0.2402597780944263,-0.04179045187019728
Avdiivka,s2__composite__b03__p50,s2__composite__b03__prebattle_baseline__p50,s2__composite__b03__post_winter_baseline__p50,0.1450162563614316,0.02000880327716622,0.1549706385926954,0.13496183531552916
Avdiivka,s2__composite__b03__p90,s2__composite__b03__prebattle_baseline__p90,s2__composite__b03__post_winter_baseline__p90,0.04105146040507369,-0.11385813613440363,0.05833995797609545,0.17219809411049908
Avdiivka,s2__composite__b03__std,s2__composite__b03__prebattle_baseline__std,s2__composite__b03__post_winter_baseline__std,0.04644537554215189,-0.01095162782369968,0.056511002454189135,0.06746263027788882
Avdiivka,s2__composite__b04__max,s2__composite__b04__prebattle_baseline__max,s2__composite__b04__post_winter_baseline__max,0.05637396613195798,0.010451869922629206,0.07197360015286858,0.06152173023023937
