city,variable,morans_I,expected_I,p_value,z_score,significant,lisa_HH,lisa_LL,lisa_LH,lisa_HL
Avdiivka,damaged,0.12758856457023682,-0.0008438818565400844,0.001,9.64666144764751,True,,,,
Avdiivka,damaged_LISA,0.12748098567936814,,,,True,47.0,0.0,145.0,0.0
Avdiivka,rf_residuals,0.012192826944295692,-0.0008438818565400844,0.16,0.9365435431477993,False,,,,
Bucha,damaged,0.11504712211017162,-0.0006020469596628537,0.001,9.90350132029277,True,,,,
Bucha,damaged_LISA,0.1149779000150392,,,,True,50.0,0.0,104.0,46.0
Bucha,rf_residuals,0.08312620113818767,-0.0006020469596628537,0.001,7.15721830284776,True,,,,
Chernihiv,damaged,0.13720984807750142,-0.000355998576005696,0.001,15.701776945316169,True,,,,
Chernihiv,damaged_LISA,0.1371610189500717,,,,True,63.0,0.0,189.0,70.0
Chernihiv,rf_residuals,0.11583479364491038,-0.000355998576005696,0.001,13.754181041730194,True,,,,
Chornobaivka,damaged,0.054114490161001776,-0.0070921985815602835,0.061,1.5977509335813,False,,,,
Chornobaivka,damaged_LISA,0.053733402202121486,,,,True,4.0,56.0,12.0,6.0
Chornobaivka,rf_residuals,0.017447802500327268,-0.0070921985815602835,0.249,0.5831591141299097,False,,,,
Dmytrivka,damaged,0.1887004317336727,-0.0003189792663476874,0.001,22.048272009591035,True,,,,
Dmytrivka,damaged_LISA,0.18864025940212506,,,,True,89.0,0.0,119.0,0.0
Dmytrivka,rf_residuals,0.14591026586461228,-0.0003189792663476874,0.001,16.761490616067846,True,,,,
Hostomel,damaged,0.22153924417513282,-0.00022241992882562276,0.001,32.23365290182582,True,,,,
Hostomel,damaged_LISA,0.22148998038945886,,,,True,206.0,0.0,270.0,0.0
Hostomel,rf_residuals,0.12998184405076452,-0.00022241992882562276,0.001,19.087829716868768,True,,,,
Irpin,damaged,0.12900972695882568,-0.000363901018922853,0.001,14.793636982157151,True,,,,
Irpin,damaged_LISA,0.12896279726549761,,,,True,110.0,0.0,376.0,73.0
Irpin,rf_residuals,0.10810883651946644,-0.000363901018922853,0.001,11.721096718387821,True,,,,
Kharkiv,damaged,0.4175245270619161,-0.0005313496280552603,0.001,38.17759934034034,True,,,,
Kharkiv,damaged_LISA,0.41730279337786835,,,,True,137.0,1181.0,126.0,25.0
Kharkiv,rf_residuals,0.24666273037682374,-0.0005313496280552603,0.001,23.449965677988448,True,,,,
Kherson,damaged,0.054114490161001776,-0.0070921985815602835,0.069,1.5719460909475624,False,,,,
Kherson,damaged_LISA,0.053733402202121486,,,,True,4.0,56.0,12.0,6.0
