feature,city,auc,source
s1__coh__running_min__mean,Avdiivka,0.5033841946305424,coh_drop
s1__coh__running_min__p10,Avdiivka,0.5146435282196579,coh_drop
s1__coh__running_min__p50,Avdiivka,0.5000787022007103,coh_drop
s1__coh__running_min__p90,Avdiivka,0.5148058515086228,coh_drop
s1__coh__running_min__std,Avdiivka,0.5063699593699889,coh_drop
s1__coh__running_min__min,Avdiivka,0.526075022872827,coh_drop
s1__coh__running_min__max,Avdiivka,0.5111166858503281,coh_drop
s1__coh__running_min__max_abs_delta,Avdiivka,0.5190164192466231,coh_drop
s1__coh__drop_count__mean,Avdiivka,0.5433255614910131,coh_drop
s1__coh__drop_count__p10,Avdiivka,0.5177325895975367,coh_drop
s1__coh__drop_count__p50,Avdiivka,0.5678511347873564,coh_drop
s1__coh__drop_count__p90,Avdiivka,0.5319973634762762,coh_drop
s1__coh__drop_count__std,Avdiivka,0.5428090782988518,coh_drop
s1__coh__drop_count__min,Avdiivka,0.5029316569764581,coh_drop
s1__coh__drop_count__max,Avdiivka,0.5448061466418754,coh_drop
s1__coh__drop_count__max_abs_delta,Avdiivka,0.5379541362925362,coh_drop
s1__coh__date_first_drop__mean,Avdiivka,0.5176194551840156,coh_drop
s1__coh__date_first_drop__p10,Avdiivka,0.5632322993831717,coh_drop
s1__coh__date_first_drop__p50,Avdiivka,0.5235860657753643,coh_drop
s1__coh__date_first_drop__p90,Avdiivka,0.5440633946226721,coh_drop
s1__coh__date_first_drop__std,Avdiivka,0.5195132268886069,coh_drop
s1__coh__date_first_drop__min,Avdiivka,0.5460457063030625,coh_drop
s1__coh__date_first_drop__max,Avdiivka,0.5204871666223967,coh_drop
s1__coh__date_first_drop__max_abs_delta,Avdiivka,0.520954460939114,coh_drop
s1__coh__date_worst_drop__mean,Avdiivka,0.5406103355665083,coh_drop
s1__coh__date_worst_drop__p10,Avdiivka,0.548893742191266,coh_drop
s1__coh__date_worst_drop__p50,Avdiivka,0.5438272880205414,coh_drop
s1__coh__date_worst_drop__p90,Avdiivka,0.5542405729520211,coh_drop
s1__coh__date_worst_drop__std,Avdiivka,0.5282491711674488,coh_drop
s1__coh__date_worst_drop__min,Avdiivka,0.5577034697832739,coh_drop
s1__coh__date_worst_drop__max,Avdiivka,0.5087752953791971,coh_drop
s1__coh__date_worst_drop__max_abs_delta,Avdiivka,0.5267489104664088,coh_drop
s1__coh__max_drop__mean,Avdiivka,0.5135662918474357,coh_drop
s1__coh__max_drop__p10,Avdiivka,0.5181064250509104,coh_drop
s1__coh__max_drop__p50,Avdiivka,0.5017707995159815,coh_drop
s1__coh__max_drop__p90,Avdiivka,0.5347716160513137,coh_drop
s1__coh__max_drop__std,Avdiivka,0.547467264803392,coh_drop
s1__coh__max_drop__min,Avdiivka,0.5141959094531181,coh_drop
s1__coh__max_drop__max,Avdiivka,0.5083424332752904,coh_drop
s1__coh__max_drop__max_abs_delta,Avdiivka,0.5580231974736594,coh_drop
s1__coh__scenes_observed__mean,Avdiivka,0.512794026502966,coh_drop
s1__coh__scenes_observed__p10,Avdiivka,0.5058879083906385,coh_drop
s1__coh__scenes_observed__p50,Avdiivka,0.5103690149435804,coh_drop
s1__coh__scenes_observed__p90,Avdiivka,0.5077767612076853,coh_drop
s1__coh__scenes_observed__std,Avdiivka,0.5111904691634941,coh_drop
s1__coh__scenes_observed__min,Avdiivka,0.5128038642780548,coh_drop
s1__coh__scenes_observed__max,Avdiivka,0.5056518017885075,coh_drop
s1__coh__scenes_observed__max_abs_delta,Avdiivka,0.5108264714852089,coh_drop
s1__coh__lu_transition,Avdiivka,0.5050615352831803,coh_drop
was_observed_cohdrop,Avdiivka,0.5095475607236668,coh_drop
s1__coh__running_min__mean,Bucha,0.5096386134441979,coh_drop
s1__coh__running_min__p10,Bucha,0.5041258181409591,coh_drop
s1__coh__running_min__p50,Bucha,0.5090557319025815,coh_drop
s1__coh__running_min__p90,Bucha,0.5041293294755471,coh_drop
s1__coh__running_min__std,Bucha,0.5101073766117025,coh_drop
s1__coh__running_min__min,Bucha,0.5090416865642293,coh_drop
s1__coh__running_min__max,Bucha,0.5160713784095059,coh_drop
s1__coh__running_min__max_abs_delta,Bucha,0.5078636338099386,coh_drop
s1__coh__drop_count__mean,Bucha,0.503571027276047,coh_drop
s1__coh__drop_count__p10,Bucha,0.5,coh_drop
s1__coh__drop_count__p50,Bucha,0.5014203348408663,coh_drop
s1__coh__drop_count__p90,Bucha,0.500340599455041,coh_drop
s1__coh__drop_count__std,Bucha,0.5086852861035422,coh_drop
s1__coh__drop_count__min,Bucha,0.5000596926879969,coh_drop
s1__coh__drop_count__max,Bucha,0.5042926065338914,coh_drop
s1__coh__drop_count__max_abs_delta,Bucha,0.5051300598331414,coh_drop
s1__coh__date_first_drop__mean,Bucha,0.5010972920587657,coh_drop
s1__coh__date_first_drop__p10,Bucha,0.500340599455041,coh_drop
s1__coh__date_first_drop__p50,Bucha,0.5010744683839434,coh_drop
s1__coh__date_first_drop__p90,Bucha,0.500340599455041,coh_drop
s1__coh__date_first_drop__std,Bucha,0.5066557347116492,coh_drop
s1__coh__date_first_drop__min,Bucha,0.5064643669766006,coh_drop
s1__coh__date_first_drop__max,Bucha,0.5028354026798506,coh_drop
s1__coh__date_first_drop__max_abs_delta,Bucha,0.5053144048990139,coh_drop
s1__coh__date_worst_drop__mean,Bucha,0.5059095761116885,coh_drop
s1__coh__date_worst_drop__p10,Bucha,0.5048052613837467,coh_drop
s1__coh__date_worst_drop__p50,Bucha,0.5062958229163741,coh_drop
s1__coh__date_worst_drop__p90,Bucha,0.5027809769937357,coh_drop
s1__coh__date_worst_drop__std,Bucha,0.5147072249220483,coh_drop
s1__coh__date_worst_drop__min,Bucha,0.5126864518666254,coh_drop
s1__coh__date_worst_drop__max,Bucha,0.5162030534565576,coh_drop
s1__coh__date_worst_drop__max_abs_delta,Bucha,0.5100898199387623,coh_drop
s1__coh__max_drop__mean,Bucha,0.5001562543891684,coh_drop
s1__coh__max_drop__p10,Bucha,0.5003370881204529,coh_drop
s1__coh__max_drop__p50,Bucha,0.5007953172841935,coh_drop
s1__coh__max_drop__p90,Bucha,0.5016959746060282,coh_drop
s1__coh__max_drop__std,Bucha,0.5008655439759544,coh_drop
s1__coh__max_drop__min,Bucha,0.5020576420685975,coh_drop
s1__coh__max_drop__max,Bucha,0.5055812663277058,coh_drop
s1__coh__max_drop__max_abs_delta,Bucha,0.504401457906121,coh_drop
s1__coh__scenes_observed__mean,Bucha,0.5042452035169527,coh_drop
s1__coh__scenes_observed__p10,Bucha,0.5027669316553836,coh_drop
s1__coh__scenes_observed__p50,Bucha,0.5043400095508301,coh_drop
s1__coh__scenes_observed__p90,Bucha,0.5027704429899715,coh_drop
s1__coh__scenes_observed__std,Bucha,0.5023841961852862,coh_drop
s1__coh__scenes_observed__min,Bucha,0.5042452035169527,coh_drop
s1__coh__scenes_observed__max,Bucha,0.5044664175959999,coh_drop
s1__coh__scenes_observed__max_abs_delta,Bucha,0.5023841961852862,coh_drop
s1__coh__lu_transition,Bucha,0.504473440265176,coh_drop
was_observed_cohdrop,Bucha,0.5044980196072925,coh_drop
s1__coh__running_min__mean,Dmytrivka,0.5010137006812907,coh_drop
s1__coh__running_min__p10,Dmytrivka,0.5012053604851389,coh_drop
s1__coh__running_min__p50,Dmytrivka,0.5006543385490754,coh_drop
s1__coh__running_min__p90,Dmytrivka,0.5008450001247785,coh_drop
s1__coh__running_min__std,Dmytrivka,0.5024007386888273,coh_drop
s1__coh__running_min__min,Dmytrivka,0.5010137006812907,coh_drop
s1__coh__running_min__max,Dmytrivka,0.5002979711012953,coh_drop
s1__coh__running_min__max_abs_delta,Dmytrivka,0.5016850091088318,coh_drop
s1__coh__drop_count__mean,Dmytrivka,0.5015612288188465,coh_drop
s1__coh__drop_count__p10,Dmytrivka,0.5,coh_drop
s1__coh__drop_count__p50,Dmytrivka,0.5012612612612612,coh_drop
s1__coh__drop_count__p90,Dmytrivka,0.5,coh_drop
s1__coh__drop_count__std,Dmytrivka,0.5001801801801802,coh_drop
s1__coh__drop_count__min,Dmytrivka,0.5009009009009009,coh_drop
s1__coh__drop_count__max,Dmytrivka,0.5006628234883083,coh_drop
s1__coh__drop_count__max_abs_delta,Dmytrivka,0.5003603603603604,coh_drop
s1__coh__date_first_drop__mean,Dmytrivka,0.5024621297197474,coh_drop
s1__coh__date_first_drop__p10,Dmytrivka,0.5,coh_drop
s1__coh__date_first_drop__p50,Dmytrivka,0.5024621297197474,coh_drop
s1__coh__date_first_drop__p90,Dmytrivka,0.5,coh_drop
s1__coh__date_first_drop__std,Dmytrivka,0.5007207207207207,coh_drop
s1__coh__date_first_drop__min,Dmytrivka,0.5028214918519627,coh_drop
s1__coh__date_first_drop__max,Dmytrivka,0.5022824486536397,coh_drop
s1__coh__date_first_drop__max_abs_delta,Dmytrivka,0.5007207207207207,coh_drop
s1__coh__date_worst_drop__mean,Dmytrivka,0.5019799855256919,coh_drop
s1__coh__date_worst_drop__p10,Dmytrivka,0.5012023658007037,coh_drop
s1__coh__date_worst_drop__p50,Dmytrivka,0.5026947168775424,coh_drop
s1__coh__date_worst_drop__p90,Dmytrivka,0.5001252776322028,coh_drop
s1__coh__date_worst_drop__std,Dmytrivka,0.5002415712111001,coh_drop
s1__coh__date_worst_drop__min,Dmytrivka,0.5012537745501735,coh_drop
s1__coh__date_worst_drop__max,Dmytrivka,0.5035487010556263,coh_drop
s1__coh__date_worst_drop__max_abs_delta,Dmytrivka,0.5025085473284919,coh_drop
s1__coh__max_drop__mean,Dmytrivka,0.5028629183199821,coh_drop
s1__coh__max_drop__p10,Dmytrivka,0.5015647226173541,coh_drop
s1__coh__max_drop__p50,Dmytrivka,0.5021471887399865,coh_drop
s1__coh__max_drop__p90,Dmytrivka,0.5019240847495694,coh_drop
s1__coh__max_drop__std,Dmytrivka,0.5007117366674153,coh_drop
s1__coh__max_drop__min,Dmytrivka,0.5007082428689077,coh_drop
s1__coh__max_drop__max,Dmytrivka,0.5042993686206982,coh_drop
s1__coh__max_drop__max_abs_delta,Dmytrivka,0.5016810161962516,coh_drop
s1__coh__scenes_observed__mean,Dmytrivka,0.5035362232038132,coh_drop
s1__coh__scenes_observed__p10,Dmytrivka,0.5001237802899853,coh_drop
s1__coh__scenes_observed__p50,Dmytrivka,0.5035362232038132,coh_drop
s1__coh__scenes_observed__p90,Dmytrivka,0.5001237802899853,coh_drop
s1__coh__scenes_observed__std,Dmytrivka,0.5,coh_drop
s1__coh__scenes_observed__min,Dmytrivka,0.5035362232038132,coh_drop
s1__coh__scenes_observed__max,Dmytrivka,0.5035362232038132,coh_drop
s1__coh__scenes_observed__max_abs_delta,Dmytrivka,0.5,coh_drop
s1__coh__lu_transition,Dmytrivka,0.5001801801801802,coh_drop
was_observed_cohdrop,Dmytrivka,0.5037164033839934,coh_drop
s1__coh__running_min__mean,Hostomel,0.5185172670699668,coh_drop
s1__coh__running_min__p10,Hostomel,0.5028985634204924,coh_drop
s1__coh__running_min__p50,Hostomel,0.5189719600437506,coh_drop
s1__coh__running_min__p90,Hostomel,0.5068035000513094,coh_drop
s1__coh__running_min__std,Hostomel,0.5007708923078464,coh_drop
s1__coh__running_min__min,Hostomel,0.5146131647381845,coh_drop
s1__coh__running_min__max,Hostomel,0.517176757096339,coh_drop
s1__coh__running_min__max_abs_delta,Hostomel,0.5032233143196583,coh_drop
s1__coh__drop_count__mean,Hostomel,0.5252909409307941,coh_drop
s1__coh__drop_count__p10,Hostomel,0.5009742526974974,coh_drop
s1__coh__drop_count__p50,Hostomel,0.5014775435900387,coh_drop
s1__coh__drop_count__p90,Hostomel,0.5019117962374783,coh_drop
s1__coh__drop_count__std,Hostomel,0.5132941379646941,coh_drop
s1__coh__drop_count__min,Hostomel,0.5018832214955478,coh_drop
s1__coh__drop_count__max,Hostomel,0.5282191219670102,coh_drop
s1__coh__drop_count__max_abs_delta,Hostomel,0.5112565711477701,coh_drop
s1__coh__date_first_drop__mean,Hostomel,0.5112058874814264,coh_drop
s1__coh__date_first_drop__p10,Hostomel,0.5024115413591232,coh_drop
s1__coh__date_first_drop__p50,Hostomel,0.5075080655859157,coh_drop
s1__coh__date_first_drop__p90,Hostomel,0.5008856084250853,coh_drop
s1__coh__date_first_drop__std,Hostomel,0.502587787030154,coh_drop
s1__coh__date_first_drop__min,Hostomel,0.5119836627563071,coh_drop
s1__coh__date_first_drop__max,Hostomel,0.5091055396621589,coh_drop
s1__coh__date_first_drop__max_abs_delta,Hostomel,0.501191379021217,coh_drop
s1__coh__date_worst_drop__mean,Hostomel,0.5066948326020702,coh_drop
s1__coh__date_worst_drop__p10,Hostomel,0.5008518193141894,coh_drop
s1__coh__date_worst_drop__p50,Hostomel,0.5015586791711406,coh_drop
s1__coh__date_worst_drop__p90,Hostomel,0.5087912175009239,coh_drop
s1__coh__date_worst_drop__std,Hostomel,0.5129864901957348,coh_drop
s1__coh__date_worst_drop__min,Hostomel,0.5085553194489287,coh_drop
s1__coh__date_worst_drop__max,Hostomel,0.5148749260602481,coh_drop
s1__coh__date_worst_drop__max_abs_delta,Hostomel,0.51231487947299,coh_drop
s1__coh__max_drop__mean,Hostomel,0.5277698519369504,coh_drop
s1__coh__max_drop__p10,Hostomel,0.5206088547493725,coh_drop
s1__coh__max_drop__p50,Hostomel,0.5258359467750588,coh_drop
