feature,VIF
s1__vv__date_worst_drop__max_abs_delta,178.3501
s1__vv__date_first_drop__std,110.40838
s1__vv__drop_count__max_abs_delta,107.52282
s1__vv__drop_count__std,60.153442
s1__vv__max_z_drop__max_abs_delta,37.989044
s1__vv__scenes_observed__p50,35.99527
s1__vv__max_z_drop__min,35.679276
s1__vv__date_worst_drop__std,35.44365
s1__vv__date_first_drop__max_abs_delta,34.033348
s1__vv__z_running_min__max_abs_delta,33.949947
s1__vv__drop_count__max,25.036959
s1__vv__z_running_min__mean,22.002705
s1__vv__drop_count__min,21.713581
s1__vv__max_z_drop__p90,19.850958
s1__vv__scenes_observed__min,19.435192
s1__vv__z_running_min__p90,17.12492
s1__vv__max_z_drop__p10,12.90996
s1__vv__drop_count__p90,12.137262
s1__vv__drop_count__p50,11.150327
s1__vv__z_running_min__std,10.580655
s1__vv__max_z_drop__p50,9.543262
s1__vv__drop_count__mean,8.0918045
s1__vv__z_running_min__p10,7.677924
s1__vv__scenes_observed__max,7.0644536
s1__vv__z_running_min__min,5.298173
s1__vv__max_z_drop__std,5.0627446
s1__vv__max_z_drop__mean,4.3875594
s1__vv__date_worst_drop__max,3.5669384
s1__vv__scenes_observed__mean,3.476219
s1__vv__drop_count__p10,3.1547909
s1__vv__scenes_observed__p10,1.6893526
s1__vv__scenes_observed__p90,1.6832814
s1__vv__z_running_min__p50,1.5656679
s1__vv__max_z_drop__max,1.4301172
s1__vv__lu_transition,0.8759289
s1__vv__z_running_min__max,0.5247227
s1__vv__scenes_observed__max_abs_delta,0.25242814
s1__vv__scenes_observed__std,0.115285
s1__vv__date_first_drop__p50,0.027745685
s1__vv__date_worst_drop__p90,0.027050663
s1__vv__date_worst_drop__min,0.021400187
s1__vv__date_first_drop__mean,0.018429974
s1__vv__date_worst_drop__p10,0.01817186
s1__vv__date_first_drop__max,0.017104136
s1__vv__date_worst_drop__mean,0.015869549
s1__vv__date_first_drop__p90,0.013595272
s1__vv__date_worst_drop__p50,0.012798325
s1__vv__date_first_drop__p10,0.009931311
s1__vv__date_first_drop__min,0.007197912
