city,feature,jm_distance,bhattacharyya
Avdiivka,s1__coh__running_min__mean,0.0016174316,0.00080906716
Avdiivka,s1__coh__running_min__p10,0.006693363,0.0033522728
Avdiivka,s1__coh__running_min__p50,0.0013279915,0.0006642443
Avdiivka,s1__coh__running_min__p90,0.06469476,0.032882098
Avdiivka,s1__coh__running_min__std,0.05649078,0.028651962
Avdiivka,s1__coh__running_min__min,3.20673e-05,1.6034173e-05
Avdiivka,s1__coh__running_min__max,0.029604316,0.014912885
Avdiivka,s1__coh__running_min__max_abs_delta,0.0804615,0.041062344
Avdiivka,s1__coh__drop_count__mean,0.017650127,0.008864164
Avdiivka,s1__coh__drop_count__p10,0.488114,0.2797893
Avdiivka,s1__coh__drop_count__p50,0.0436846,0.022084406
Avdiivka,s1__coh__drop_count__p90,0.054626226,0.027693104
Avdiivka,s1__coh__drop_count__std,0.010016084,0.0050206445
Avdiivka,s1__coh__drop_count__min,0.0052490234,0.002627914
Avdiivka,s1__coh__drop_count__max,0.014734745,0.007394654
Avdiivka,s1__coh__drop_count__max_abs_delta,0.018324733,0.009204581
Avdiivka,s1__coh__date_first_drop__mean,0.024151444,0.012149278
Avdiivka,s1__coh__date_first_drop__p10,0.0054018497,0.0027046083
Avdiivka,s1__coh__date_first_drop__p50,0.022837281,0.011484342
Avdiivka,s1__coh__date_first_drop__p90,0.014129639,0.0070898896
Avdiivka,s1__coh__date_first_drop__std,0.018338323,0.009211419
Avdiivka,s1__coh__date_first_drop__min,0.009016991,0.004518649
Avdiivka,s1__coh__date_first_drop__max,0.010440111,0.005233739
Avdiivka,s1__coh__date_first_drop__max_abs_delta,0.0032389164,0.0016207391
Avdiivka,s1__coh__date_worst_drop__mean,0.0063706636,0.003190463
Avdiivka,s1__coh__date_worst_drop__p10,0.01718235,0.008628306
Avdiivka,s1__coh__date_worst_drop__p50,0.0037698746,0.0018866444
Avdiivka,s1__coh__date_worst_drop__p90,0.024128914,0.012137816
Avdiivka,s1__coh__date_worst_drop__std,0.030013323,0.015120334
Avdiivka,s1__coh__date_worst_drop__min,0.016946793,0.00850944
Avdiivka,s1__coh__date_worst_drop__max,0.0016789436,0.00083984766
