feature,VIF
s1__coh__scenes_observed__max_abs_delta,5592405.5
s1__coh__date_worst_drop__p50,47127.01
s1__coh__scenes_observed__p50,31418.008
s1__coh__scenes_observed__min,20336.02
s1__coh__date_first_drop__mean,19622.475
s1__coh__date_first_drop__p90,10810.062
s1__coh__scenes_observed__p10,4330.7217
s1__coh__date_worst_drop__p10,1572.078
s1__coh__max_drop__mean,1163.7914
s1__coh__date_first_drop__p50,1109.3108
s1__coh__drop_count__mean,860.23773
s1__coh__drop_count__max,783.7257
s1__coh__running_min__min,730.1426
s1__coh__scenes_observed__p90,726.8213
s1__coh__max_drop__max,714.5018
s1__coh__date_worst_drop__max,639.8633
s1__coh__drop_count__max_abs_delta,631.0308
s1__coh__scenes_observed__mean,562.1073
s1__coh__running_min__p90,505.65768
s1__coh__date_first_drop__max_abs_delta,501.621
s1__coh__max_drop__max_abs_delta,465.60696
s1__coh__running_min__max_abs_delta,408.2147
s1__coh__scenes_observed__max,366.09894
s1__coh__date_worst_drop__min,308.29703
s1__coh__running_min__max,266.58853
s1__coh__running_min__mean,263.87152
s1__coh__date_first_drop__min,252.4978
s1__coh__max_drop__p50,229.48851
s1__coh__max_drop__std,211.6438
s1__coh__scenes_observed__std,150.93532
s1__coh__running_min__p10,136.54778
s1__coh__date_first_drop__std,132.58324
s1__coh__drop_count__p50,110.81604
s1__coh__running_min__std,109.788475
s1__coh__date_worst_drop__mean,109.76262
s1__coh__date_worst_drop__p90,99.113945
s1__coh__max_drop__p90,87.57061
s1__coh__date_worst_drop__max_abs_delta,86.15585
s1__coh__drop_count__min,71.99441
s1__coh__drop_count__std,70.483025
s1__coh__date_first_drop__p10,56.95397
s1__coh__date_worst_drop__std,50.032406
s1__coh__drop_count__p90,41.55996
s1__coh__drop_count__p10,40.07638
s1__coh__max_drop__min,36.11164
s1__coh__max_drop__p10,25.22351
s1__coh__date_first_drop__max,23.13901
s1__coh__running_min__p50,16.70297
s1__coh__lu_transition,15.942757
