city,feature,auc_best,mann_whitney_p,direction
Avdiivka,landuse__post_winter_baseline,0.5715599759958288,7.738768723671511e-05,lower=damaged
Avdiivka,landuse__prebattle_baseline,0.6835974775944673,2.136154399150448e-12,higher=damaged
Avdiivka,landuse__winter_baseline,0.6835974775944673,2.136154399150448e-12,higher=damaged
Avdiivka,landuse_changed,0.517486645220317,0.3344314540402106,higher=damaged
Bucha,landuse__post_winter_baseline,0.5628915138065675,0.0009745495790836117,higher=damaged
Bucha,landuse__prebattle_baseline,0.5105410264333268,0.33040242526490415,lower=damaged
Bucha,landuse__winter_baseline,0.5105410264333268,0.33040242526490415,lower=damaged
Bucha,landuse_changed,0.503714991994157,0.7477882842411514,lower=damaged
Chernihiv,landuse__post_winter_baseline,0.5547107822140404,7.170685770803758e-05,higher=damaged
Chernihiv,landuse__prebattle_baseline,0.5864714245354379,1.739533531981124e-09,higher=damaged
Chernihiv,landuse__winter_baseline,0.5864714245354379,1.739533531981124e-09,higher=damaged
Chernihiv,landuse_changed,0.5576396420206512,4.571136055637513e-05,lower=damaged
Chornobaivka,landuse__post_winter_baseline,0.5110316040548599,0.8860715354474618,higher=damaged
Chornobaivka,landuse__prebattle_baseline,0.5664877757901013,0.3514640524419649,lower=damaged
Chornobaivka,landuse__winter_baseline,0.5664877757901013,0.3514640524419649,lower=damaged
Chornobaivka,landuse_changed,0.6010733452593918,0.11585682528809298,lower=damaged
Dmytrivka,landuse__post_winter_baseline,0.5,1.0,higher=damaged
Dmytrivka,landuse__prebattle_baseline,0.515106186518929,0.03051785198678146,lower=damaged
Dmytrivka,landuse__winter_baseline,0.515106186518929,0.03051785198678146,lower=damaged
Dmytrivka,landuse_changed,0.5,1.0,higher=damaged
Hostomel,landuse__post_winter_baseline,0.5824815140191438,9.947569039757318e-14,higher=damaged
Hostomel,landuse__prebattle_baseline,0.592239475526255,1.7687551777420887e-18,higher=damaged
Hostomel,landuse__winter_baseline,0.592239475526255,1.7687551777420887e-18,higher=damaged
Hostomel,landuse_changed,0.500103870229791,0.9921143948460386,lower=damaged
Irpin,landuse__post_winter_baseline,0.5,1.0,higher=damaged
Irpin,landuse__prebattle_baseline,0.5022917475805637,0.7853952425378592,lower=damaged
Irpin,landuse__winter_baseline,0.5022917475805637,0.7853952425378592,lower=damaged
Irpin,landuse_changed,0.5,1.0,higher=damaged
Kharkiv,landuse__post_winter_baseline,0.7059921137867905,2.2070284080937852e-36,higher=damaged
Kharkiv,landuse__prebattle_baseline,0.705660000938835,1.8735834658093742e-37,higher=damaged
Kharkiv,landuse__winter_baseline,0.705660000938835,1.8735834658093742e-37,higher=damaged
Kharkiv,landuse_changed,0.5406844106463878,0.0027265575779359926,higher=damaged
Kherson,landuse__post_winter_baseline,0.5110316040548599,0.8860715354474618,higher=damaged
Kherson,landuse__prebattle_baseline,0.5986881335718545,0.11541367564917908,lower=damaged
Kherson,landuse__winter_baseline,0.5986881335718545,0.11541367564917908,lower=damaged
Kherson,landuse_changed,0.60912343470483,0.11864753901709421,lower=damaged
Kramatorsk,landuse__post_winter_baseline,0.576258064516129,1.8144373906771872e-05,lower=damaged
Kramatorsk,landuse__prebattle_baseline,0.580516129032258,0.013202507568817193,lower=damaged
Kramatorsk,landuse__winter_baseline,0.580516129032258,0.013202507568817193,lower=damaged
Kramatorsk,landuse_changed,0.6245161290322582,0.00017961371601282495,higher=damaged
Lysychansk,landuse__post_winter_baseline,0.6183432482786446,1.221962161102643e-58,higher=damaged
Lysychansk,landuse__prebattle_baseline,0.6142554831925493,7.492057626285954e-57,higher=damaged
Lysychansk,landuse__winter_baseline,0.601376691845854,1.856623919265835e-35,higher=damaged
Lysychansk,landuse_changed,0.5048020073595335,0.3864474886937933,higher=damaged
Makariv,landuse__post_winter_baseline,0.5,1.0,higher=damaged
Makariv,landuse__prebattle_baseline,0.5056762824585928,0.8207935179730455,lower=damaged
Makariv,landuse__winter_baseline,0.5056762824585928,0.8207935179730455,lower=damaged
Makariv,landuse_changed,0.5,1.0,higher=damaged
Mariupol,landuse__post_winter_baseline,0.6463757313870316,6.882256595760794e-255,higher=damaged
Mariupol,landuse__prebattle_baseline,0.6373715914864152,1.89160951496019e-182,higher=damaged
Mariupol,landuse__winter_baseline,0.6373715914864152,1.89160951496019e-182,higher=damaged
Mariupol,landuse_changed,0.5224951539174884,5.854728648920407e-07,higher=damaged
Moschun,landuse__post_winter_baseline,0.5525454423502583,0.051133811816903865,lower=damaged
Moschun,landuse__prebattle_baseline,0.5055469850425918,0.845700609797192,lower=damaged
Moschun,landuse__winter_baseline,0.5055469850425918,0.845700609797192,lower=damaged
Moschun,landuse_changed,0.5210611040311222,0.3957594612460479,lower=damaged
Okhtyrka,landuse__post_winter_baseline,0.5754186602870814,0.035029012419430156,higher=damaged
Okhtyrka,landuse__prebattle_baseline,0.5991626794258373,0.01704266787997212,higher=damaged
Okhtyrka,landuse__winter_baseline,0.5991626794258373,0.01704266787997212,higher=damaged
Okhtyrka,landuse_changed,0.5138755980861245,0.728518584451741,lower=damaged
Rubizhne,landuse__post_winter_baseline,0.5609847841386172,2.2688735028368044e-08,higher=damaged
Rubizhne,landuse__prebattle_baseline,0.503133153181189,0.5122516078457598,higher=damaged
Rubizhne,landuse__winter_baseline,0.503133153181189,0.5122516078457598,higher=damaged
Rubizhne,landuse_changed,0.5142215985576408,0.0025976496899591424,lower=damaged
Sievierodonetsk,landuse__post_winter_baseline,0.622896012438266,2.888088721168038e-26,higher=damaged
Sievierodonetsk,landuse__prebattle_baseline,0.6121584049753064,4.7235678208039394e-23,higher=damaged
Sievierodonetsk,landuse__winter_baseline,0.6043225260654838,3.6773436855595844e-19,higher=damaged
Sievierodonetsk,landuse_changed,0.5240191146881288,0.017255462295359337,lower=damaged
Trostianets,landuse__post_winter_baseline,0.5119047619047619,0.8590390820602881,lower=damaged
Trostianets,landuse__prebattle_baseline,0.5242763772175536,0.6798860411960099,higher=damaged
Trostianets,landuse__winter_baseline,0.5242763772175536,0.6798860411960099,higher=damaged
Trostianets,landuse_changed,0.5056022408963585,0.8477967131492348,lower=damaged
Volnovakha,landuse__post_winter_baseline,0.5217508479929689,0.1920059777455938,higher=damaged
Volnovakha,landuse__prebattle_baseline,0.5106067784506791,0.5791558591042222,lower=damaged
Volnovakha,landuse__winter_baseline,0.5106067784506791,0.5791558591042222,lower=damaged
Volnovakha,landuse_changed,0.5471099575660199,0.01505083746387733,lower=damaged
