city,feature,jm_distance,bhattacharyya
Avdiivka,landuse__post_winter_baseline,0.19715726375579834,0.10378251224756241
Avdiivka,landuse__prebattle_baseline,0.10409915447235107,0.053453005850315094
Avdiivka,landuse__winter_baseline,0.10409915447235107,0.053453005850315094
Avdiivka,landuse_changed,0.011352063354524766,0.005692201561275269
Bucha,landuse__post_winter_baseline,0.01763916015625,0.008858762681484222
Bucha,landuse__prebattle_baseline,0.06807935237884521,0.03463258966803551
Bucha,landuse__winter_baseline,0.06807935237884521,0.03463258966803551
Bucha,landuse_changed,0.0007129035288457874,0.00035651530845379745
Chernihiv,landuse__post_winter_baseline,0.01387631893157959,0.006962385959923267
Chernihiv,landuse__prebattle_baseline,0.031836628913879395,0.016046423465013504
Chernihiv,landuse__winter_baseline,0.031836628913879395,0.016046423465013504
Chernihiv,landuse_changed,0.01396266424763204,0.007005815641180947
Chornobaivka,landuse__post_winter_baseline,0.014319300651550293,0.007185440044850111
Chornobaivka,landuse__prebattle_baseline,0.01924765110015869,0.009670467115938663
Chornobaivka,landuse__winter_baseline,0.01924765110015869,0.009670467115938663
Chornobaivka,landuse_changed,0.1777493670642485,0.09307483194232472
Dmytrivka,landuse__prebattle_baseline,0.10202991962432861,0.05236219987273216
Dmytrivka,landuse__winter_baseline,0.10202991962432861,0.05236219987273216
Hostomel,landuse__post_winter_baseline,0.030272364616394043,0.015251890756189823
Hostomel,landuse__prebattle_baseline,0.03870284557342529,0.019541120156645775
Hostomel,landuse__winter_baseline,0.03870284557342529,0.019541120156645775
Hostomel,landuse_changed,2.0870953654217317e-07,1.0435477372074189e-07
Irpin,landuse__prebattle_baseline,0.06045663356781006,0.030694574117660522
Irpin,landuse__winter_baseline,0.06045663356781006,0.030694574117660522
Kharkiv,landuse__post_winter_baseline,0.16880369186401367,0.0881776437163353
Kharkiv,landuse__prebattle_baseline,0.15856778621673584,0.0826035887002945
Kharkiv,landuse__winter_baseline,0.15856778621673584,0.0826035887002945
Kharkiv,landuse_changed,0.01607408367877472,0.008069512958338979
Kherson,landuse__post_winter_baseline,0.014319300651550293,0.007185440044850111
Kherson,landuse__prebattle_baseline,0.055910468101501465,0.028353381901979446
Kherson,landuse__winter_baseline,0.055910468101501465,0.028353381901979446
Kherson,landuse_changed,0.09349558026166793,0.047875761999927276
Kramatorsk,landuse__post_winter_baseline,0.02936553955078125,0.014791551977396011
Kramatorsk,landuse__prebattle_baseline,0.13503193855285645,0.06990328431129456
Kramatorsk,landuse__winter_baseline,0.13503193855285645,0.06990328431129456
Kramatorsk,landuse_changed,0.26445636803843775,0.14182648369682516
Lysychansk,landuse__post_winter_baseline,0.07366180419921875,0.037526343017816544
Lysychansk,landuse__prebattle_baseline,0.06980705261230469,0.03552711755037308
Lysychansk,landuse__winter_baseline,0.03262293338775635,0.01644599810242653
Lysychansk,landuse_changed,0.0006129015328257825,0.00030649773204434645
Makariv,landuse__prebattle_baseline,0.0007457733154296875,0.0003730095049832016
Makariv,landuse__winter_baseline,0.0007457733154296875,0.0003730095049832016
Mariupol,landuse__post_winter_baseline,0.10468840599060059,0.053763967007398605
Mariupol,landuse__prebattle_baseline,0.07849776744842529,0.040039852261543274
Mariupol,landuse__winter_baseline,0.07849776744842529,0.040039852261543274
Mariupol,landuse_changed,0.0024799825996870695,0.0012407607251749412
Moschun,landuse__post_winter_baseline,0.009839415550231934,0.004931837320327759
Moschun,landuse__prebattle_baseline,0.00013363361358642578,6.675589247606695e-05
Moschun,landuse__winter_baseline,0.00013363361358642578,6.675589247606695e-05
Moschun,landuse_changed,0.0036597338903465726,0.0018315431968823266
Okhtyrka,landuse__post_winter_baseline,0.03292381763458252,0.016598841175436974
Okhtyrka,landuse__prebattle_baseline,0.08224773406982422,0.04199337214231491
Okhtyrka,landuse__winter_baseline,0.08224773406982422,0.04199337214231491
Okhtyrka,landuse_changed,0.0011447819934318204,0.0005725548749803988
Rubizhne,landuse__post_winter_baseline,0.03509640693664551,0.01770392805337906
Rubizhne,landuse__prebattle_baseline,0.021773219108581543,0.010946343652904034
Rubizhne,landuse__winter_baseline,0.021773219108581543,0.010946343652904034
Rubizhne,landuse_changed,0.04113603438779889,0.020782484737501293
Sievierodonetsk,landuse__post_winter_baseline,0.05222046375274658,0.02645709365606308
Sievierodonetsk,landuse__prebattle_baseline,0.05368387699127197,0.0272087212651968
Sievierodonetsk,landuse__winter_baseline,0.03979039192199707,0.020095814019441605
Sievierodonetsk,landuse_changed,0.0047110200134421465,0.002358288584586452
Trostianets,landuse__post_winter_baseline,0.02590620517730713,0.013037791475653648
Trostianets,landuse__prebattle_baseline,0.0028257369995117188,0.0014138652477413416
Trostianets,landuse__winter_baseline,0.0028257369995117188,0.0014138652477413416
Trostianets,landuse_changed,0.008507609997694399,0.004262878166797824
Volnovakha,landuse__post_winter_baseline,0.0021129846572875977,0.0010570274898782372
Volnovakha,landuse__prebattle_baseline,0.000255584716796875,0.00012783285637851804
Volnovakha,landuse__winter_baseline,0.000255584716796875,0.00012783285637851804
Volnovakha,landuse_changed,0.011779302487445076,0.005907063641905368
