timestep,best_auc,best_feature,n_obs
-6.0,0.5571823221072302,s2__ndvi__p10,20470
-5.0,0.6064191007334788,s2__ndvi__p10,23219
-4.0,0.6085724278696065,s2__ndvi__p10,28678
-3.0,0.602591445043402,s2__ndvi__p10,51293
-7.0,0.5956887007884947,s2__ndvi__p10,5984
-2.0,0.6073769713382561,s2__ndvi__p10,51293
-1.0,0.6341409688976894,s2__ndvi__p10,51293
0.0,0.6577731101788631,s2__ndvi__p10,51293
1.0,0.6580811885556359,s2__ndvi__min,51293
2.0,0.6376657453078939,s2__ndvi__p10,51293
3.0,0.6465342946942902,s2__ndvi__min,51293
4.0,0.641351164360265,s2__ndvi__p10,45408
5.0,0.6490459156267882,s2__ndvi__p10,45408
6.0,0.6972887258423972,s2__ndvi__min,36439
7.0,0.7119583597322938,s2__ndvi__p10,36439
8.0,0.7520601223867938,s2__ndvi__p10,28219
9.0,0.8149268561422149,s2__ndvi__p10,1186
10.0,0.8243465257897273,s2__ndvi__p10,1186
11.0,0.8252663577605288,s2__ndvi__min,1186
12.0,0.8172780843884347,s2__ndvi__min,1186
13.0,0.8037117925409989,s2__ndvi__min,1186
14.0,0.8073517693238497,s2__ndvi__min,1186
15.0,0.8034068215132466,s2__ndvi__min,1186
16.0,0.8049070822142864,s2__ndvi__min,1186
17.0,0.8139824297336915,s2__ndvi__min,1186
18.0,0.8214099499257248,s2__ndvi__min,1186
19.0,0.7448868163976035,s2__ndvi__p10,1186
20.0,0.8076911725644128,s2__ndvi__p10,1186
