timestep,best_auc,best_feature,n_obs
-7,0.6237621929775853,s2__b02__p50,5984
-6,0.5349040561387357,s2__b02__p50,20470
-5,0.5752802405086118,s2__b02__p50,23219
-4,0.576242691201246,s2__b02__p50,28678
-3,0.5585628438816526,s2__b02__p90,51293
-2,0.5475523390699932,s2__b02__std,51293
-1,0.5852404055110557,s2__b02__p90,51293
0,0.6453543063097267,s2__b02__p90,51293
1,0.6611673153008565,s2__b02__p90,51293
2,0.6741851675462933,s2__b02__p50,45408
3,0.6530075932243975,s2__b02__p90,38287
4,0.6559325792185243,s2__b02__p90,38287
5,0.6701721847024187,s2__b02__p90,30325
6,0.7022701207549538,s2__b02__p90,24059
7,0.6686619516560252,s2__b02__std,24059
8,0.7049332428728055,s2__b02__p90,23801
9,0.7595451012798946,s2__b02__p50,1186
10,0.7922507845625633,s2__b02__p50,1186
11,0.7865055239107124,s2__b02__p50,1186
12,0.7814144753022656,s2__b02__p50,1186
13,0.7762988322560969,s2__b02__p50,1186
14,0.7903225806451613,s2__b02__p50,1186
15,0.7751379747956202,s2__b02__mean,1186
16,0.8015179686961996,s2__b02__p50,1186
17,0.7997865202805734,s2__b02__mean,1186
