city,feature,jm_distance,bhattacharyya
Avdiivka,s2__lu__date_first_loss__mean,0.485561,0.27810216
Avdiivka,s2__lu__date_first_loss__p10,0.83225334,0.53807133
Avdiivka,s2__lu__date_first_loss__p50,0.46607518,0.2653175
Avdiivka,s2__lu__date_first_loss__p90,0.3410139,0.18694046
Avdiivka,s2__lu__date_first_loss__std,0.3536948,0.19461368
Avdiivka,s2__lu__date_first_loss__min,0.84801066,0.5516569
Avdiivka,s2__lu__date_first_loss__max,0.40578973,0.2267686
Avdiivka,s2__lu__date_first_loss__max_abs_delta,0.3746091,0.20739886
Avdiivka,s2__lu__date_persistent_loss__mean,0.27534294,0.14811885
Avdiivka,s2__lu__date_persistent_loss__p10,0.34094143,0.1868969
Avdiivka,s2__lu__date_persistent_loss__p50,0.23722124,0.1262558
Avdiivka,s2__lu__date_persistent_loss__p90,0.2395227,0.1275622
Avdiivka,s2__lu__date_persistent_loss__std,0.22842479,0.12127809
Avdiivka,s2__lu__date_persistent_loss__min,0.40547204,0.22656938
Avdiivka,s2__lu__date_persistent_loss__max,0.26833475,0.14406377
Avdiivka,s2__lu__date_persistent_loss__max_abs_delta,0.22719836,0.12058595
Avdiivka,s2__lu__loss_count__mean,0.13002479,0.06722202
Avdiivka,s2__lu__loss_count__p10,0.038748145,0.0195642
Avdiivka,s2__lu__loss_count__p50,0.1393168,0.07220344
Avdiivka,s2__lu__loss_count__p90,0.0014297962,0.0007151859
Avdiivka,s2__lu__loss_count__std,0.2597723,0.13913122
Avdiivka,s2__lu__loss_count__min,0.20982218,0.110832244
Avdiivka,s2__lu__loss_count__max,0.03303218,0.016653903
Avdiivka,s2__lu__loss_count__max_abs_delta,0.2688011,0.14433293
Avdiivka,s2__lu__loss_fraction__mean,0.331931,0.18148054
Avdiivka,s2__lu__loss_fraction__p10,0.15114355,0.07857983
Avdiivka,s2__lu__loss_fraction__p50,0.3378327,0.18502474
Avdiivka,s2__lu__loss_fraction__p90,0.24589336,0.13118747
Avdiivka,s2__lu__loss_fraction__std,0.2282623,0.12118642
Avdiivka,s2__lu__loss_fraction__min,0.31829262,0.17333758
Avdiivka,s2__lu__loss_fraction__max,0.28561175,0.1540908
Avdiivka,s2__lu__loss_fraction__max_abs_delta,0.23974252,0.12768704
Avdiivka,s2__lu__final_class,0.005254388,0.002630661
Avdiivka,s2__lu__modal_post_class,0.30728722,0.16681477
Avdiivka,s2__lu__scenes_observed__mean,0.11929977,0.061503
Avdiivka,s2__lu__scenes_observed__p10,0.042713284,0.02158803
Avdiivka,s2__lu__scenes_observed__p50,0.11445141,0.05892835
Avdiivka,s2__lu__scenes_observed__p90,0.04966736,0.025147254
Avdiivka,s2__lu__scenes_observed__std,0.113361,0.058350194
Avdiivka,s2__lu__scenes_observed__min,0.11867118,0.061168753
Avdiivka,s2__lu__scenes_observed__max,0.11811459,0.060872976
Avdiivka,s2__lu__scenes_observed__max_abs_delta,0.11287415,0.058092173
Bucha,s2__lu__date_first_loss__mean,0.008960128,0.004490132
Bucha,s2__lu__date_first_loss__p10,0.16370273,0.08539596
Bucha,s2__lu__date_first_loss__p50,0.0077064037,0.0038606017
Bucha,s2__lu__date_first_loss__p90,0.07138419,0.036344532
Bucha,s2__lu__date_first_loss__std,0.013531089,0.006788466
Bucha,s2__lu__date_first_loss__min,0.01053524,0.0052814963
Bucha,s2__lu__date_first_loss__max,0.008799195,0.004409297
Bucha,s2__lu__date_first_loss__max_abs_delta,0.011766434,0.0059006447
Bucha,s2__lu__date_persistent_loss__mean,0.04340577,0.021941895
Bucha,s2__lu__date_persistent_loss__p50,0.044057965,0.022275208
Bucha,s2__lu__date_persistent_loss__std,0.0017830133,0.00089193275
Bucha,s2__lu__date_persistent_loss__min,0.045528412,0.023027275
Bucha,s2__lu__date_persistent_loss__max,0.039314747,0.01985321
Bucha,s2__lu__date_persistent_loss__max_abs_delta,0.0006303787,0.00031521448
Bucha,s2__lu__loss_count__mean,0.024095297,0.012120749
Bucha,s2__lu__loss_count__p10,0.012050867,0.0060436055
Bucha,s2__lu__loss_count__p50,0.020908475,0.010509225
Bucha,s2__lu__loss_count__p90,0.16742766,0.087426536
Bucha,s2__lu__loss_count__std,0.013078332,0.0065606628
Bucha,s2__lu__loss_count__min,0.19879663,0.10469222
Bucha,s2__lu__loss_count__max,0.005908847,0.0029587788
Bucha,s2__lu__loss_count__max_abs_delta,0.010589123,0.0053086355
Bucha,s2__lu__loss_fraction__mean,0.030882955,0.01556195
Bucha,s2__lu__loss_fraction__p10,0.013952255,0.007000601
Bucha,s2__lu__loss_fraction__p50,0.036100507,0.01821514
Bucha,s2__lu__loss_fraction__p90,0.10464561,0.053741317
Bucha,s2__lu__loss_fraction__std,0.024965167,0.012561121
Bucha,s2__lu__loss_fraction__min,0.04848218,0.024539785
Bucha,s2__lu__loss_fraction__max,0.013993382,0.0070212455
Bucha,s2__lu__loss_fraction__max_abs_delta,0.02190113,0.011010962
