feature,VIF
s2__lu__scenes_observed__max_abs_delta,285828.6444957426
s2__lu__date_persistent_loss__max_abs_delta,3123.703875769965
s2__lu__loss_count__mean,1079.6210096274615
s2__lu__scenes_observed__p90,841.2436333039584
s2__lu__scenes_observed__min,510.4862772785616
s2__lu__scenes_observed__mean,351.97857866441166
s2__lu__scenes_observed__max,264.44606392280105
s2__lu__loss_count__max,248.5448484554466
s2__lu__scenes_observed__p10,216.7722759212409
s2__lu__loss_count__min,215.14655269087933
s2__lu__loss_fraction__mean,159.07097247029108
s2__lu__loss_count__p50,122.2776869220125
s2__lu__date_persistent_loss__std,89.81473692872225
s2__lu__date_first_loss__max_abs_delta,67.44798804825496
s2__lu__scenes_observed__std,63.1187169942197
s2__lu__date_first_loss__std,61.04388382018639
s2__lu__loss_count__std,56.53730419392534
s2__lu__loss_fraction__max_abs_delta,56.15805734720454
s2__lu__loss_count__max_abs_delta,45.032640539446824
s2__lu__loss_count__p10,29.329352477531216
s2__lu__loss_fraction__std,28.543967169475007
s2__lu__loss_fraction__min,27.181135092136238
s2__lu__scenes_observed__p50,26.839695925760182
s2__lu__loss_count__p90,16.368959534286567
s2__lu__loss_fraction__p50,13.688080815659168
s2__lu__loss_fraction__p10,5.870720672853402
s2__lu__loss_fraction__max,5.296915598519855
s2__lu__loss_fraction__p90,5.181833711485276
s2__lu__modal_post_class,0.8238088478831189
s2__lu__final_class,0.5932438827038089
s2__lu__date_persistent_loss__min,0.007216974471730911
s2__lu__date_persistent_loss__max,0.003280485480226022
s2__lu__date_first_loss__max,0.0018427339725550888
s2__lu__date_first_loss__min,0.00011669181265096036
s2__lu__date_persistent_loss__p50,3.434543844060122e-05
s2__lu__date_first_loss__p50,1.3550249685241206e-05
s2__lu__date_persistent_loss__mean,6.206749255197178e-06
s2__lu__date_first_loss__p10,3.417877624851141e-06
s2__lu__date_first_loss__mean,3.0804587672070983e-06
s2__lu__date_first_loss__p90,2.6651910751747885e-06
s2__lu__date_persistent_loss__p90,2.477932838863457e-06
s2__lu__date_persistent_loss__p10,2.2739074308435519e-07
s2__lu__urban_retained__max,0.0
s2__lu__urban_retained__min,0.0
s2__lu__urban_retained__p10,0.0
s2__lu__urban_retained__mean,0.0
s2__lu__urban_retained__p90,0.0
s2__lu__urban_retained__p50,0.0
s2__lu__urban_retained__std,
s2__lu__urban_retained__max_abs_delta,
