city,feature,auc_best,mann_whitney_p,direction
Avdiivka,s2__date_worst_swir_rise__mean,0.5,1.0,higher=damaged
Avdiivka,s2__date_worst_swir_rise__p10,0.5,1.0,higher=damaged
Avdiivka,s2__date_worst_swir_rise__p50,0.5,1.0,higher=damaged
Avdiivka,s2__date_worst_swir_rise__p90,0.5,1.0,higher=damaged
Avdiivka,s2__date_worst_swir_rise__std,0.5,1.0,higher=damaged
Avdiivka,s2__date_worst_swir_rise__min,0.5,1.0,higher=damaged
Avdiivka,s2__date_worst_swir_rise__max,0.5,1.0,higher=damaged
Avdiivka,s2__date_worst_swir_rise__max_abs_delta,0.5,1.0,higher=damaged
Avdiivka,s2__scenes_observed__mean,0.5,1.0,higher=damaged
Avdiivka,s2__scenes_observed__p10,0.5,1.0,higher=damaged
Avdiivka,s2__scenes_observed__p50,0.5,1.0,higher=damaged
Avdiivka,s2__scenes_observed__p90,0.5,1.0,higher=damaged
Avdiivka,s2__scenes_observed__std,0.5,1.0,higher=damaged
Avdiivka,s2__scenes_observed__min,0.5,1.0,higher=damaged
Avdiivka,s2__scenes_observed__max,0.5,1.0,higher=damaged
Avdiivka,s2__scenes_observed__max_abs_delta,0.5,1.0,higher=damaged
Avdiivka,s2__lu_transition,0.5,1.0,higher=damaged
Avdiivka,s2__swir_baseline_mean__mean,0.5,1.0,higher=damaged
Avdiivka,s2__swir_baseline_mean__p10,0.5,1.0,higher=damaged
Avdiivka,s2__swir_baseline_mean__p50,0.5,1.0,higher=damaged
Avdiivka,s2__swir_baseline_mean__p90,0.5,1.0,higher=damaged
Avdiivka,s2__swir_baseline_mean__std,0.5,1.0,higher=damaged
Avdiivka,s2__swir_baseline_mean__min,0.5,1.0,higher=damaged
Avdiivka,s2__swir_baseline_mean__max,0.5,1.0,higher=damaged
Avdiivka,s2__swir_baseline_mean__max_abs_delta,0.5,1.0,higher=damaged
Avdiivka,s2__swir_baseline_std__mean,0.5,1.0,higher=damaged
Avdiivka,s2__swir_baseline_std__p10,0.5,1.0,higher=damaged
Avdiivka,s2__swir_baseline_std__p50,0.5,1.0,higher=damaged
Avdiivka,s2__swir_baseline_std__p90,0.5,1.0,higher=damaged
Avdiivka,s2__swir_baseline_std__std,0.5,1.0,higher=damaged
Avdiivka,s2__swir_baseline_std__min,0.5,1.0,higher=damaged
Avdiivka,s2__swir_baseline_std__max,0.5,1.0,higher=damaged
Avdiivka,s2__swir_baseline_std__max_abs_delta,0.5,1.0,higher=damaged
Avdiivka,s2__swir_z_running_max__mean,0.5,1.0,higher=damaged
Avdiivka,s2__swir_z_running_max__p10,0.5,1.0,higher=damaged
Avdiivka,s2__swir_z_running_max__p50,0.5,1.0,higher=damaged
Avdiivka,s2__swir_z_running_max__p90,0.5,1.0,higher=damaged
Avdiivka,s2__swir_z_running_max__std,0.5,1.0,higher=damaged
Avdiivka,s2__swir_z_running_max__min,0.5,1.0,higher=damaged
Avdiivka,s2__swir_z_running_max__max,0.5,1.0,higher=damaged
Avdiivka,s2__swir_z_running_max__max_abs_delta,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_mean__mean,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_mean__p50,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_mean__std,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_mean__min,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_mean__max,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_mean__max_abs_delta,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_std__mean,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_std__p50,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_std__std,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_std__min,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_std__max,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_std__max_abs_delta,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_mean__mean,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_mean__p50,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_mean__std,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_mean__min,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_mean__max,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_mean__max_abs_delta,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_std__mean,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_std__p50,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_std__std,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_std__min,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_std__max,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_std__max_abs_delta,0.5,1.0,higher=damaged
Chornobaivka,s2__date_worst_swir_rise__mean,0.5,1.0,higher=damaged
Chornobaivka,s2__date_worst_swir_rise__p10,0.5,1.0,higher=damaged
Chornobaivka,s2__date_worst_swir_rise__p50,0.5,1.0,higher=damaged
Chornobaivka,s2__date_worst_swir_rise__p90,0.5,1.0,higher=damaged
Chornobaivka,s2__date_worst_swir_rise__std,0.5,1.0,higher=damaged
Chornobaivka,s2__date_worst_swir_rise__min,0.5,1.0,higher=damaged
Chornobaivka,s2__date_worst_swir_rise__max,0.5,1.0,higher=damaged
Chornobaivka,s2__date_worst_swir_rise__max_abs_delta,0.5,1.0,higher=damaged
Chornobaivka,s2__scenes_observed__mean,0.5,1.0,higher=damaged
Chornobaivka,s2__scenes_observed__p10,0.5,1.0,higher=damaged
Chornobaivka,s2__scenes_observed__p50,0.5,1.0,higher=damaged
Chornobaivka,s2__scenes_observed__p90,0.5,1.0,higher=damaged
Chornobaivka,s2__scenes_observed__std,0.5,1.0,higher=damaged
Chornobaivka,s2__scenes_observed__min,0.5,1.0,higher=damaged
Chornobaivka,s2__scenes_observed__max,0.5,1.0,higher=damaged
Chornobaivka,s2__scenes_observed__max_abs_delta,0.5,1.0,higher=damaged
Chornobaivka,s2__lu_transition,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_mean__mean,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_mean__p10,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_mean__p50,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_mean__p90,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_mean__std,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_mean__min,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_mean__max,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_mean__max_abs_delta,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_std__mean,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_std__p10,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_std__p50,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_std__p90,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_std__std,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_std__min,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_std__max,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_std__max_abs_delta,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_z_running_max__mean,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_z_running_max__p10,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_z_running_max__p50,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_z_running_max__p90,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_z_running_max__std,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_z_running_max__min,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_z_running_max__max,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_z_running_max__max_abs_delta,0.5,1.0,higher=damaged
Dmytrivka,s2__swir_baseline_mean__mean,0.5,1.0,higher=damaged
Dmytrivka,s2__swir_baseline_mean__p50,0.5,1.0,higher=damaged
Dmytrivka,s2__swir_baseline_mean__std,0.5,1.0,higher=damaged
Dmytrivka,s2__swir_baseline_mean__min,0.5,1.0,higher=damaged
Dmytrivka,s2__swir_baseline_mean__max,0.5,1.0,higher=damaged
Dmytrivka,s2__swir_baseline_mean__max_abs_delta,0.5,1.0,higher=damaged
Dmytrivka,s2__swir_baseline_std__mean,0.5,1.0,higher=damaged
Dmytrivka,s2__swir_baseline_std__p50,0.5,1.0,higher=damaged
Dmytrivka,s2__swir_baseline_std__std,0.5,1.0,higher=damaged
Dmytrivka,s2__swir_baseline_std__min,0.5,1.0,higher=damaged
Dmytrivka,s2__swir_baseline_std__max,0.5,1.0,higher=damaged
Dmytrivka,s2__swir_baseline_std__max_abs_delta,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_mean__mean,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_mean__p50,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_mean__std,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_mean__min,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_mean__max,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_mean__max_abs_delta,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_std__mean,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_std__p50,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_std__std,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_std__min,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_std__max,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_std__max_abs_delta,0.5,1.0,higher=damaged
Irpin,s2__swir_baseline_mean__mean,0.5,1.0,higher=damaged
Irpin,s2__swir_baseline_mean__p50,0.5,1.0,higher=damaged
Irpin,s2__swir_baseline_mean__std,0.5,1.0,higher=damaged
Irpin,s2__swir_baseline_mean__min,0.5,1.0,higher=damaged
Irpin,s2__swir_baseline_mean__max,0.5,1.0,higher=damaged
Irpin,s2__swir_baseline_mean__max_abs_delta,0.5,1.0,higher=damaged
Irpin,s2__swir_baseline_std__mean,0.5,1.0,higher=damaged
Irpin,s2__swir_baseline_std__p50,0.5,1.0,higher=damaged
Irpin,s2__swir_baseline_std__std,0.5,1.0,higher=damaged
Irpin,s2__swir_baseline_std__min,0.5,1.0,higher=damaged
Irpin,s2__swir_baseline_std__max,0.5,1.0,higher=damaged
Irpin,s2__swir_baseline_std__max_abs_delta,0.5,1.0,higher=damaged
Kharkiv,s2__date_worst_swir_rise__mean,0.5,1.0,higher=damaged
Kharkiv,s2__date_worst_swir_rise__p10,0.5,1.0,higher=damaged
Kharkiv,s2__date_worst_swir_rise__p50,0.5,1.0,higher=damaged
Kharkiv,s2__date_worst_swir_rise__p90,0.5,1.0,higher=damaged
Kharkiv,s2__date_worst_swir_rise__std,0.5,1.0,higher=damaged
Kharkiv,s2__date_worst_swir_rise__min,0.5,1.0,higher=damaged
Kharkiv,s2__date_worst_swir_rise__max,0.5,1.0,higher=damaged
Kharkiv,s2__date_worst_swir_rise__max_abs_delta,0.5,1.0,higher=damaged
Kharkiv,s2__scenes_observed__mean,0.5,1.0,higher=damaged
Kharkiv,s2__scenes_observed__p10,0.5,1.0,higher=damaged
Kharkiv,s2__scenes_observed__p50,0.5,1.0,higher=damaged
Kharkiv,s2__scenes_observed__p90,0.5,1.0,higher=damaged
Kharkiv,s2__scenes_observed__std,0.5,1.0,higher=damaged
Kharkiv,s2__scenes_observed__min,0.5,1.0,higher=damaged
Kharkiv,s2__scenes_observed__max,0.5,1.0,higher=damaged
Kharkiv,s2__scenes_observed__max_abs_delta,0.5,1.0,higher=damaged
Kharkiv,s2__lu_transition,0.5,1.0,higher=damaged
Kharkiv,s2__swir_baseline_mean__mean,0.5,1.0,higher=damaged
Kharkiv,s2__swir_baseline_mean__p10,0.5,1.0,higher=damaged
Kharkiv,s2__swir_baseline_mean__p50,0.5,1.0,higher=damaged
Kharkiv,s2__swir_baseline_mean__p90,0.5,1.0,higher=damaged
Kharkiv,s2__swir_baseline_mean__std,0.5,1.0,higher=damaged
Kharkiv,s2__swir_baseline_mean__min,0.5,1.0,higher=damaged
Kharkiv,s2__swir_baseline_mean__max,0.5,1.0,higher=damaged
Kharkiv,s2__swir_baseline_mean__max_abs_delta,0.5,1.0,higher=damaged
Kharkiv,s2__swir_baseline_std__mean,0.5,1.0,higher=damaged
Kharkiv,s2__swir_baseline_std__p10,0.5,1.0,higher=damaged
Kharkiv,s2__swir_baseline_std__p50,0.5,1.0,higher=damaged
Kharkiv,s2__swir_baseline_std__p90,0.5,1.0,higher=damaged
Kharkiv,s2__swir_baseline_std__std,0.5,1.0,higher=damaged
Kharkiv,s2__swir_baseline_std__min,0.5,1.0,higher=damaged
Kharkiv,s2__swir_baseline_std__max,0.5,1.0,higher=damaged
Kharkiv,s2__swir_baseline_std__max_abs_delta,0.5,1.0,higher=damaged
Kharkiv,s2__swir_z_running_max__mean,0.5,1.0,higher=damaged
Kharkiv,s2__swir_z_running_max__p10,0.5,1.0,higher=damaged
Kharkiv,s2__swir_z_running_max__p50,0.5,1.0,higher=damaged
Kharkiv,s2__swir_z_running_max__p90,0.5,1.0,higher=damaged
Kharkiv,s2__swir_z_running_max__std,0.5,1.0,higher=damaged
Kharkiv,s2__swir_z_running_max__min,0.5,1.0,higher=damaged
Kharkiv,s2__swir_z_running_max__max,0.5,1.0,higher=damaged
Kharkiv,s2__swir_z_running_max__max_abs_delta,0.5,1.0,higher=damaged
Kherson,s2__date_worst_swir_rise__mean,0.5,1.0,higher=damaged
Kherson,s2__date_worst_swir_rise__p10,0.5,1.0,higher=damaged
Kherson,s2__date_worst_swir_rise__p50,0.5,1.0,higher=damaged
Kherson,s2__date_worst_swir_rise__p90,0.5,1.0,higher=damaged
Kherson,s2__date_worst_swir_rise__std,0.5,1.0,higher=damaged
Kherson,s2__date_worst_swir_rise__min,0.5,1.0,higher=damaged
Kherson,s2__date_worst_swir_rise__max,0.5,1.0,higher=damaged
Kherson,s2__date_worst_swir_rise__max_abs_delta,0.5,1.0,higher=damaged
Kherson,s2__scenes_observed__mean,0.5,1.0,higher=damaged
Kherson,s2__scenes_observed__p10,0.5,1.0,higher=damaged
Kherson,s2__scenes_observed__p50,0.5,1.0,higher=damaged
Kherson,s2__scenes_observed__p90,0.5,1.0,higher=damaged
Kherson,s2__scenes_observed__std,0.5,1.0,higher=damaged
