city,feature,jm_distance,bhattacharyya
Avdiivka,s2__mahalanobis_running_max__mean,0.15271437,0.07942992
Avdiivka,s2__mahalanobis_running_max__p10,0.12332642,0.063646376
Avdiivka,s2__mahalanobis_running_max__p50,0.15951085,0.08311578
Avdiivka,s2__mahalanobis_running_max__p90,0.16331422,0.08518443
Avdiivka,s2__mahalanobis_running_max__std,0.18632746,0.09779329
Avdiivka,s2__mahalanobis_running_max__min,0.13338542,0.069020785
Avdiivka,s2__mahalanobis_running_max__max,0.14924538,0.07755376
Avdiivka,s2__mahalanobis_running_max__max_abs_delta,0.17046165,0.089083456
Avdiivka,s2__mahalanobis_exceedance_count__mean,0.09294486,0.047586963
Avdiivka,s2__mahalanobis_exceedance_count__p10,0.20637667,0.10890937
Avdiivka,s2__mahalanobis_exceedance_count__p50,0.031938553,0.016098067
Avdiivka,s2__mahalanobis_exceedance_count__p90,0.27061927,0.14538382
Avdiivka,s2__mahalanobis_exceedance_count__min,0.20819783,0.10992534
Avdiivka,s2__mahalanobis_exceedance_count__max,0.025929451,0.013049525
Avdiivka,s2__date_first_exceedance__mean,0.20352817,0.10732254
Avdiivka,s2__date_first_exceedance__p10,0.18076277,0.094729856
Avdiivka,s2__date_first_exceedance__p50,0.20353198,0.107324675
Avdiivka,s2__date_first_exceedance__p90,0.18070447,0.0946978
Avdiivka,s2__date_first_exceedance__min,0.20353317,0.10732527
Avdiivka,s2__date_first_exceedance__max,0.20352173,0.10731893
Avdiivka,s2__date_worst_exceedance__mean,0.012535691,0.006287619
Avdiivka,s2__date_worst_exceedance__p10,0.016300201,0.008183474
Avdiivka,s2__date_worst_exceedance__p50,0.008232117,0.0041246014
Avdiivka,s2__date_worst_exceedance__p90,0.020230412,0.01016672
Avdiivka,s2__date_worst_exceedance__std,0.00017273426,8.6318796e-05
Avdiivka,s2__date_worst_exceedance__min,0.0042550564,0.002129814
Avdiivka,s2__date_worst_exceedance__max,0.019954324,0.010027317
Avdiivka,s2__date_worst_exceedance__max_abs_delta,0.0010383129,0.00051925087
Avdiivka,s2__scenes_observed__mean,0.0014885664,0.00074459845
Avdiivka,s2__scenes_observed__p10,0.0012129545,0.00060662767
Avdiivka,s2__scenes_observed__p50,0.0011863708,0.0005933619
Avdiivka,s2__scenes_observed__p90,0.006963849,0.003487997
Avdiivka,s2__scenes_observed__std,0.0015243292,0.00076249475
Avdiivka,s2__scenes_observed__min,0.0015565157,0.00077863125
Avdiivka,s2__scenes_observed__max,0.0059286356,0.0029686498
Avdiivka,s2__scenes_observed__max_abs_delta,0.0002616644,0.00013081229
Avdiivka,s2__lu_transition,0.01776743,0.008923406
Bucha,s2__mahalanobis_running_max__mean,0.01903963,0.009565461
Bucha,s2__mahalanobis_running_max__p10,0.008869052,0.0044443803
Bucha,s2__mahalanobis_running_max__p50,0.017257929,0.008666397
Bucha,s2__mahalanobis_running_max__p90,0.025850177,0.013009274
Bucha,s2__mahalanobis_running_max__std,0.037256956,0.018804142
Bucha,s2__mahalanobis_running_max__min,0.009229898,0.0046255672
Bucha,s2__mahalanobis_running_max__max,0.03402996,0.017161425
Bucha,s2__mahalanobis_running_max__max_abs_delta,0.043326855,0.021901574
Bucha,s2__date_first_exceedance__mean,0.044203162,0.022349542
Bucha,s2__date_first_exceedance__p50,0.044203162,0.022349542
Bucha,s2__date_first_exceedance__min,0.044203162,0.022349542
Bucha,s2__date_first_exceedance__max,0.044203162,0.022349542
Bucha,s2__date_worst_exceedance__mean,0.0008561611,0.00042821723
Bucha,s2__date_worst_exceedance__p50,0.0025576353,0.0012796997
Bucha,s2__date_worst_exceedance__std,0.0025773048,0.0012894914
Bucha,s2__date_worst_exceedance__min,0.001330018,0.00066526764
Bucha,s2__date_worst_exceedance__max,0.00038659573,0.000193271
Bucha,s2__date_worst_exceedance__max_abs_delta,0.009506226,0.0047644787
Bucha,s2__scenes_observed__mean,0.55240405,0.32324296
Bucha,s2__scenes_observed__p10,0.5018462,0.2889135
Bucha,s2__scenes_observed__p50,0.48353064,0.27676237
Bucha,s2__scenes_observed__p90,0.6248771,0.37460408
Bucha,s2__scenes_observed__std,0.24903154,0.13297814
Bucha,s2__scenes_observed__min,0.49730492,0.28588694
Bucha,s2__scenes_observed__max,0.65147483,0.39413568
Bucha,s2__scenes_observed__max_abs_delta,0.2518016,0.1345614
Bucha,s2__lu_transition,0.001618743,0.00080970064
Chernihiv,s2__mahalanobis_running_max__mean,0.041374207,0.020904016
Chernihiv,s2__mahalanobis_running_max__p10,0.0416162,0.021027565
Chernihiv,s2__mahalanobis_running_max__p50,0.041855812,0.021150054
Chernihiv,s2__mahalanobis_running_max__p90,0.044890642,0.022701055
Chernihiv,s2__mahalanobis_running_max__std,0.09997785,0.0512816
Chernihiv,s2__mahalanobis_running_max__min,0.039425492,0.019909615
Chernihiv,s2__mahalanobis_running_max__max,0.04195988,0.0212031
Chernihiv,s2__mahalanobis_running_max__max_abs_delta,0.0937798,0.04802485
Chernihiv,s2__mahalanobis_exceedance_count__mean,0.027159214,0.013672665
Chernihiv,s2__mahalanobis_exceedance_count__p10,0.23774612,0.12655358
Chernihiv,s2__mahalanobis_exceedance_count__p50,0.053409696,0.027067889
Chernihiv,s2__mahalanobis_exceedance_count__p90,0.027487636,0.013839108
Chernihiv,s2__mahalanobis_exceedance_count__std,0.00033795834,0.0001689577
Chernihiv,s2__mahalanobis_exceedance_count__min,0.019433737,0.009764341
Chernihiv,s2__mahalanobis_exceedance_count__max,1.0728836e-05,5.399128e-06
Chernihiv,s2__mahalanobis_exceedance_count__max_abs_delta,0.00064241886,0.00032126225
Chernihiv,s2__date_first_exceedance__mean,0.0065853596,0.0032981005
Chernihiv,s2__date_first_exceedance__p10,0.10849023,0.055771865
Chernihiv,s2__date_first_exceedance__p50,0.008924723,0.0044723246
Chernihiv,s2__date_first_exceedance__p90,0.3128451,0.17010358
Chernihiv,s2__date_first_exceedance__std,0.009698033,0.004860836
Chernihiv,s2__date_first_exceedance__min,0.003561616,0.0017824371
Chernihiv,s2__date_first_exceedance__max,0.0045149326,0.0022599942
Chernihiv,s2__date_first_exceedance__max_abs_delta,0.0009967089,0.0004984061
Chernihiv,s2__date_worst_exceedance__mean,0.0013270378,0.000663742
Chernihiv,s2__date_worst_exceedance__p10,0.0010592937,0.00052976864
Chernihiv,s2__date_worst_exceedance__p50,0.0020993948,0.0010503157
Chernihiv,s2__date_worst_exceedance__p90,0.0043588877,0.0021818322
Chernihiv,s2__date_worst_exceedance__std,0.071605206,0.036459222
Chernihiv,s2__date_worst_exceedance__min,0.0037260056,0.0018648042
Chernihiv,s2__date_worst_exceedance__max,0.0018988848,0.00094993797
Chernihiv,s2__date_worst_exceedance__max_abs_delta,0.08790994,0.04495027
Chernihiv,s2__scenes_observed__mean,0.06223941,0.03161418
Chernihiv,s2__scenes_observed__p10,0.05787337,0.029363668
Chernihiv,s2__scenes_observed__p50,0.05545771,0.02812053
Chernihiv,s2__scenes_observed__p90,0.068262815,0.03472742
Chernihiv,s2__scenes_observed__std,0.021370292,0.010742666
Chernihiv,s2__scenes_observed__min,0.051800013,0.026241316
Chernihiv,s2__scenes_observed__max,0.06852245,0.03486186
Chernihiv,s2__scenes_observed__max_abs_delta,0.017910361,0.008995539
Chernihiv,s2__lu_transition,0.00020718575,0.00010362541
Chornobaivka,s2__mahalanobis_running_max__mean,1.3929255,1.192251
Chornobaivka,s2__mahalanobis_running_max__p10,1.0205374,0.71389824
Chornobaivka,s2__mahalanobis_running_max__p50,1.2376461,0.96449155
