feature,VIF
s2__date_first_exceedance__mean,16777216.0
s2__mahalanobis_exceedance_count__min,16777216.0
s2__date_first_exceedance__p10,2097152.0
s2__date_first_exceedance__max,1864135.1
s2__date_worst_exceedance__max,1677721.6
s2__mahalanobis_running_max__max,699050.7
s2__mahalanobis_exceedance_count__max,645277.56
s2__date_first_exceedance__p90,621378.4
s2__date_first_exceedance__p50,621378.4
s2__scenes_observed__max,524288.0
s2__scenes_observed__max_abs_delta,419430.4
s2__date_first_exceedance__min,419430.4
s2__scenes_observed__min,409200.38
s2__date_worst_exceedance__mean,322638.78
s2__date_worst_exceedance__p10,322638.78
s2__scenes_observed__mean,137518.16
s2__scenes_observed__p50,134217.73
s2__mahalanobis_exceedance_count__max_abs_delta,124275.67
s2__mahalanobis_running_max__max_abs_delta,107546.26
s2__scenes_observed__p90,96978.125
s2__date_worst_exceedance__p90,91180.52
s2__scenes_observed__p10,64280.52
s2__date_worst_exceedance__p50,55553.695
s2__date_worst_exceedance__min,22046.275
s2__mahalanobis_running_max__min,13486.508
s2__date_first_exceedance__max_abs_delta,11602.501
s2__mahalanobis_exceedance_count__mean,9083.495
s2__mahalanobis_exceedance_count__p50,2363.321
s2__mahalanobis_running_max__mean,1818.6685
s2__mahalanobis_running_max__std,804.1227
s2__mahalanobis_running_max__p90,647.3191
s2__mahalanobis_running_max__p10,314.4804
s2__mahalanobis_running_max__p50,273.57874
s2__scenes_observed__std,136.72137
s2__date_first_exceedance__std,85.816086
s2__date_worst_exceedance__max_abs_delta,82.77932
s2__mahalanobis_exceedance_count__p10,66.14082
s2__date_worst_exceedance__std,54.7908
s2__mahalanobis_exceedance_count__p90,53.40341
s2__mahalanobis_exceedance_count__std,50.512634
s2__lu_transition,36.845146
