city,feature,jm_distance,bhattacharyya
Avdiivka,pre_vv__mean,0.019467354,0.009781312
Avdiivka,pre_vv__p10,0.038333178,0.01935267
Avdiivka,pre_vv__p50,0.021271586,0.010692762
Avdiivka,pre_vv__p90,0.007912517,0.0039640944
Avdiivka,pre_vv__std,0.019836068,0.009967491
Avdiivka,pre_vv__min,0.04164779,0.021043783
Avdiivka,pre_vv__max,0.005307555,0.0026573155
Avdiivka,pre_vv__max_abs_delta,0.019091964,0.009591913
Avdiivka,post_vv__mean,0.013962269,0.007005579
Avdiivka,post_vv__p10,0.02565229,0.012909118
Avdiivka,post_vv__p50,0.009600282,0.004811691
Avdiivka,post_vv__p90,0.010789394,0.00540931
Avdiivka,post_vv__std,0.018173337,0.009128186
Avdiivka,post_vv__min,0.029591322,0.014906187
Avdiivka,post_vv__max,0.011578083,0.0058059497
Avdiivka,post_vv__max_abs_delta,0.007856131,0.0039357664
Avdiivka,delta_vv__mean,0.036420345,0.018377986
Avdiivka,delta_vv__p10,0.027179837,0.013683104
Avdiivka,delta_vv__p50,0.03387916,0.01708471
Avdiivka,delta_vv__p90,0.049337983,0.024978468
Avdiivka,delta_vv__std,0.013828754,0.006938451
Avdiivka,delta_vv__min,0.025009274,0.012583561
Avdiivka,delta_vv__max,0.048636436,0.024618769
Avdiivka,delta_vv__max_abs_delta,0.008188486,0.0041026007
Avdiivka,pre_vh__mean,0.06071937,0.030830106
Avdiivka,pre_vh__p10,0.040701985,0.020560894
Avdiivka,pre_vh__p50,0.07369733,0.03754469
Avdiivka,pre_vh__p90,0.06494236,0.03301004
Avdiivka,pre_vh__std,0.08545995,0.04366981
Avdiivka,pre_vh__min,0.03398025,0.01713606
Avdiivka,pre_vh__max,0.061597705,0.031283114
Avdiivka,pre_vh__max_abs_delta,0.06771755,0.03444528
Avdiivka,post_vh__mean,0.067005634,0.034076907
Avdiivka,post_vh__p10,0.080353975,0.04100634
Avdiivka,post_vh__p50,0.066112876,0.03361516
Avdiivka,post_vh__p90,0.048631072,0.024616063
Avdiivka,post_vh__std,0.01505053,0.0075537506
Avdiivka,post_vh__min,0.07693446,0.039226707
Avdiivka,post_vh__max,0.04692614,0.023742655
Avdiivka,post_vh__max_abs_delta,0.007149577,0.003581138
Avdiivka,delta_vh__mean,0.024800539,0.012477784
Avdiivka,delta_vh__p10,0.013425112,0.0067352136
Avdiivka,delta_vh__p50,0.02081263,0.010460848
Avdiivka,delta_vh__p90,0.042354226,0.02140455
Avdiivka,delta_vh__std,0.019503832,0.009799829
Avdiivka,delta_vh__min,0.014477968,0.0072652926
Avdiivka,delta_vh__max,0.049797416,0.025213968
Avdiivka,delta_vh__max_abs_delta,0.017919421,0.00900007
Borodyanka,pre_vv__mean,0.086622715,0.044277348
Borodyanka,pre_vv__p10,0.07897878,0.040290218
Borodyanka,pre_vv__p50,0.08226633,0.04200303
Borodyanka,pre_vv__p90,0.07697821,0.039249375
Borodyanka,pre_vv__std,0.020136952,0.0101194875
Borodyanka,pre_vv__min,0.08073425,0.04120445
Borodyanka,pre_vv__max,0.085912704,0.04390631
Borodyanka,pre_vv__max_abs_delta,0.022969365,0.011551123
Borodyanka,post_vv__mean,0.045728445,0.023129731
Borodyanka,post_vv__p10,0.037522197,0.018939279
Borodyanka,post_vv__p50,0.046054006,0.023296311
Borodyanka,post_vv__p90,0.05137062,0.026020907
Borodyanka,post_vv__std,0.041758776,0.021100437
Borodyanka,post_vv__min,0.041119814,0.020774141
Borodyanka,post_vv__max,0.05385363,0.027295964
Borodyanka,post_vv__max_abs_delta,0.043153048,0.021812702
Borodyanka,delta_vv__mean,0.05633676,0.028572664
Borodyanka,delta_vv__p10,0.07413876,0.037773944
Borodyanka,delta_vv__p50,0.06016743,0.030545568
Borodyanka,delta_vv__p90,0.051716328,0.026198309
Borodyanka,delta_vv__std,0.10395467,0.05337689
Borodyanka,delta_vv__min,0.089515924,0.04579053
Borodyanka,delta_vv__max,0.04369378,0.02208908
Borodyanka,delta_vv__max_abs_delta,0.11590886,0.05970161
Borodyanka,pre_vh__mean,0.007581711,0.0037980152
Borodyanka,pre_vh__p10,0.0057291985,0.0028686917
Borodyanka,pre_vh__p50,0.0063564777,0.0031833434
Borodyanka,pre_vh__p90,0.009269953,0.004645791
Borodyanka,pre_vh__std,0.024010539,0.012077946
Borodyanka,pre_vh__min,0.0060384274,0.003023726
Borodyanka,pre_vh__max,0.0124515295,0.0062452108
Borodyanka,pre_vh__max_abs_delta,0.015731812,0.007897001
Borodyanka,post_vh__mean,0.006498575,0.0032545496
Borodyanka,post_vh__p10,0.0010865927,0.0005434564
Borodyanka,post_vh__p50,0.0038404465,0.0019221201
Borodyanka,post_vh__p90,0.01956296,0.009829628
Borodyanka,post_vh__std,0.012531042,0.006285212
Borodyanka,post_vh__min,0.0006855726,0.00034281152
Borodyanka,post_vh__max,0.03211522,0.016187837
Borodyanka,post_vh__max_abs_delta,0.010913968,0.0054719085
Borodyanka,delta_vh__mean,0.013239861,0.0066419537
Borodyanka,delta_vh__p10,0.017213225,0.008643927
Borodyanka,delta_vh__p50,0.004711628,0.0023585958
Borodyanka,delta_vh__p90,0.008546114,0.0042822086
Borodyanka,delta_vh__std,0.017049551,0.008561299
Borodyanka,delta_vh__min,0.02452004,0.012335805
Borodyanka,delta_vh__max,0.008531451,0.004274896
Borodyanka,delta_vh__max_abs_delta,0.024632215,0.012392605
Bucha,pre_vv__mean,0.02286315,0.011497416
Bucha,pre_vv__p10,0.022029638,0.011075902
Bucha,pre_vv__p50,0.02208221,0.011102483
Bucha,pre_vv__p90,0.020178318,0.0101403585
Bucha,pre_vv__std,0.0023276806,0.0011644937
Bucha,pre_vv__min,0.02182138,0.010970663
Bucha,pre_vv__max,0.018859029,0.009474269
Bucha,pre_vv__max_abs_delta,0.0020712614,0.0010361092
Bucha,post_vv__mean,0.008172393,0.0040945928
Bucha,post_vv__p10,0.010734081,0.0053815423
Bucha,post_vv__p50,0.009691119,0.004857338
Bucha,post_vv__p90,0.0050137043,0.0025100072
Bucha,post_vv__std,0.005479574,0.0027435406
Bucha,post_vv__min,0.012122154,0.006079619
Bucha,post_vv__max,0.0035651922,0.0017842349
Bucha,post_vv__max_abs_delta,0.0030272007,0.0015147853
Bucha,delta_vv__mean,0.0050206184,0.0025134792
Bucha,delta_vv__p10,0.005641103,0.002824543
Bucha,delta_vv__p50,0.003952861,0.0019783264
Bucha,delta_vv__p90,0.004506469,0.0022557671
Bucha,delta_vv__std,0.0023642778,0.0011828459
Bucha,delta_vv__min,0.006981373,0.0034968245
Bucha,delta_vv__max,0.0056289434,0.0028184534
Bucha,delta_vv__max_abs_delta,0.0027730465,0.0013875226
Bucha,pre_vh__mean,0.023064017,0.011599037
Bucha,pre_vh__p10,0.030319214,0.015275729
Bucha,pre_vh__p50,0.022918344,0.011525365
Bucha,pre_vh__p90,0.012037158,0.006036696
Bucha,pre_vh__std,0.002139926,0.0010705104
Bucha,pre_vh__min,0.027495623,0.013843249
Bucha,pre_vh__max,0.008367062,0.0041923705
Bucha,pre_vh__max_abs_delta,0.0051988363,0.0026027441
Bucha,post_vh__mean,0.014916658,0.0074862437
Bucha,post_vh__p10,0.012500048,0.00626959
Bucha,post_vh__p50,0.015148044,0.007602889
Bucha,post_vh__p90,0.014791727,0.0074233874
Bucha,post_vh__std,0.0009849072,0.0004925581
Bucha,post_vh__min,0.012557626,0.0062985634
Bucha,post_vh__max,0.012078047,0.0060573616
Bucha,post_vh__max_abs_delta,9.381771e-05,4.691269e-05
Bucha,delta_vh__mean,0.00089240074,0.00044628102
Bucha,delta_vh__p10,0.0008518696,0.00042608235
Bucha,delta_vh__p50,0.0009884834,0.0004944022
Bucha,delta_vh__p90,0.0009518862,0.0004760613
Bucha,delta_vh__std,0.0056831837,0.0028455958
Bucha,delta_vh__min,0.0021833181,0.0010922136
Bucha,delta_vh__max,0.0004441738,0.00022210016
Bucha,delta_vh__max_abs_delta,0.0058420897,0.002925265
Chernihiv,pre_vv__mean,0.0009918213,0.0004960769
Chernihiv,pre_vv__p10,0.0006875992,0.00034386318
Chernihiv,pre_vv__p50,0.00083076954,0.00041547188
